  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.59033951e-06   1.06662105e-07
     1       3   3.81164234e-14   8.16595922e-15
     2       1   1.16926587e-02   7.49033419e-01
     2       2   8.01320744e-06   1.85452477e-07
     2       3   3.28564549e-13   1.41336723e-16
     3       1   1.97053577e-02   5.52683951e-01
     3       2   1.45754719e-05   1.52659452e-07
     3       3   6.25458395e-13   1.36559898e-14
     4       1   2.80014256e-02   4.32394533e-01
     4       2   2.13358909e-05   1.24878374e-07
     4       3   9.31107776e-13   7.17704952e-16
     5       1   3.66908974e-02   3.52500464e-01
     5       2   2.83620496e-05   1.04362792e-07
     5       3   1.24962164e-12   7.43541720e-16
     6       1   4.59054005e-02   2.95560982e-01
     6       2   3.57344211e-05   8.89373495e-08
     6       3   1.58385822e-12   1.44039432e-15
     7       1   5.58080994e-02   2.52738893e-01
     7       2   4.35520338e-05   7.69519167e-08
     7       3   1.93883299e-12   0.00000000e+00
     8       1   6.66081945e-02   2.19166130e-01
     8       2   5.19407381e-05   6.73452817e-08
     8       3   2.31994820e-12   0.00000000e+00
     9       1   7.85829746e-02   1.91958528e-01
     9       2   6.10657648e-05   5.94338287e-08
     9       3   2.73522682e-12   4.93904845e-16
    10       1   9.21127846e-02   1.69302751e-01
    10       2   7.11516072e-05   5.27646293e-08
    10       3   3.19429725e-12   0.00000000e+00
    11       1   1.07739016e-01   1.50001883e-01
    11       2   8.25149368e-05   4.70272075e-08
    11       3   3.71208932e-12   0.00000000e+00
    12       1   1.26265313e-01   1.33233110e-01
    12       2   9.56219591e-05   4.20026426e-08
    12       3   4.31098209e-12   0.00000000e+00
    13       1   1.48945233e-01   1.18410746e-01
    13       2   1.11194633e-04   3.75316436e-08
    13       3   5.02254794e-12   0.00000000e+00
    14       1   1.77857267e-01   1.05104862e-01
    14       2   1.30422719e-04   3.34952419e-08
    14       3   5.90187966e-12   0.00000000e+00
    15       1   2.16729538e-01   9.29908387e-02
    15       2   1.55429754e-04   2.98023182e-08
    15       3   7.04746051e-12   0.00000000e+00
    16       1   2.73001177e-01   8.18168819e-02
    16       2   1.90437151e-04   2.63812635e-08
    16       3   8.65297029e-12   0.00000000e+00
    17       1   3.64006456e-01   7.13823522e-02
    17       2   2.45255155e-04   2.31744459e-08
    17       3   1.11702996e-11   0.00000000e+00
    18       1   5.41715306e-01   6.15227981e-02
    18       2   3.49244051e-04   2.01340441e-08
    18       3   1.59506357e-11   0.00000000e+00
    19       1   1.06600083e+00   5.20992271e-02
    19       2   6.49036077e-04   1.72192448e-08
    19       3   2.97424930e-11   0.00000000e+00
    20       1   1.76028837e+03   4.29900674e-02
    20       2   1.74332481e+02   1.43938293e-08
    20       3   8.02400714e-06   0.00000000e+00
    20       4   0.00000000e+00   0.00000000e+00
    21       1   9.99996495e-01   3.40847995e-02
    21       2   5.08989510e-04   1.16248035e-08
    21       3   2.35713602e-11   0.00000000e+00
    22       1   4.75893838e-01   2.52785363e-02
    22       2   2.07692280e-04   8.88035329e-09
    22       3   9.71138961e-12   0.00000000e+00
    23       1   2.97103568e-01   1.64669768e-02
    23       2   1.01137468e-04   6.12863041e-09
    23       3   4.81577110e-12   0.00000000e+00
    24       1   2.04349484e-01   7.54120885e-03
    24       2   4.26112486e-05   3.33597052e-09
    24       3   2.13122465e-12   0.00000000e+00
    25       1   1.45678535e-01   1.61821824e-03
