  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   2.66328313e-07   1.78872045e-08
     1       3   1.11197823e-15   0.00000000e+00
     2       1   4.75853347e-03   7.49604755e-01
     2       2   1.33583597e-06   3.10931465e-08
     2       3   9.04987182e-15   0.00000000e+00
     3       1   7.96664840e-03   5.54383180e-01
     3       2   2.41472088e-06   2.56279059e-08
     3       3   1.73429608e-14   0.00000000e+00
     4       1   1.12200999e-02   4.35419815e-01
     4       2   3.50660982e-06   2.10239911e-08
     4       3   2.57368347e-14   0.00000000e+00
     5       1   1.45343159e-02   3.56951869e-01
     5       2   4.61535125e-06   1.76492378e-08
     5       3   3.40826572e-14   0.00000000e+00
     6       1   1.79259591e-02   3.01505145e-01
     6       2   5.74509322e-06   1.51345244e-08
     6       3   4.26905500e-14   0.00000000e+00
     7       1   2.14133273e-02   2.60230308e-01
     7       2   6.90037439e-06   1.32014278e-08
     7       3   5.14123455e-14   0.00000000e+00
     8       1   2.50168340e-02   2.28255987e-01
     8       2   8.08623332e-06   1.16713132e-08
     8       3   6.03319294e-14   0.00000000e+00
     9       1   2.87595974e-02   2.02699116e-01
     9       2   9.30834241e-06   1.04289788e-08
     9       3   6.99197826e-14   0.00000000e+00
    10       1   3.26681765e-02   1.81750082e-01
    10       2   1.05731754e-05   9.39842297e-09
    10       3   7.92665247e-14   0.00000000e+00
    11       1   3.67735095e-02   1.64217551e-01
    11       2   1.18882203e-05   8.52804365e-09
    11       3   8.93678556e-14   0.00000000e+00
    12       1   4.11121292e-02   1.49285847e-01
    12       2   1.32622558e-05   7.78105197e-09
    12       3   9.96764059e-14   0.00000000e+00
    13       1   4.57277655e-02   1.36377912e-01
    13       2   1.47057131e-05   7.13135328e-09
    13       3   1.10728951e-13   0.00000000e+00
    14       1   5.06734912e-02   1.25074017e-01
    14       2   1.62311626e-05   6.55945560e-09
    14       3   1.22542783e-13   0.00000000e+00
    15       1   5.60146502e-02   1.15061508e-01
    15       2   1.78539744e-05   6.05053885e-09
    15       3   1.34810175e-13   0.00000000e+00
    16       1   6.18329249e-02   1.06102616e-01
    16       2   1.95932362e-05   5.59333717e-09
    16       3   1.48187001e-13   0.00000000e+00
    17       1   6.82321063e-02   9.80131848e-02
    17       2   2.14730535e-05   5.17914242e-09
    17       3   1.62196344e-13   0.00000000e+00
    18       1   7.53464654e-02   9.06482423e-02
    18       2   2.35244343e-05   4.80086636e-09
    18       3   1.77809523e-13   0.00000000e+00
    19       1   8.33532142e-02   8.38919692e-02
    19       2   2.57880909e-05   4.45292632e-09
    19       3   1.95006316e-13   0.00000000e+00
    20       1   9.24916000e-02   7.76505819e-02
    20       2   2.83187324e-05   4.13078074e-09
    20       3   2.14691843e-13   0.00000000e+00
    21       1   1.03093164e-01   7.18471825e-02
    21       2   3.11918607e-05   3.83042604e-09
    21       3   2.36687311e-13   0.00000000e+00
    22       1   1.15631615e-01   6.64179692e-02
    22       2   3.45149674e-05   3.54906644e-09
    22       3   2.62155489e-13   0.00000000e+00
    23       1   1.30808951e-01   6.13094011e-02
    23       2   3.84468634e-05   3.28371304e-09
    23       3   2.92159270e-13   0.00000000e+00
    24       1   1.49712847e-01   5.64760460e-02
    24       2   4.32329906e-05   3.03228538e-09
    24       3   3.28887145e-13   0.00000000e+00
    25       1   1.74125101e-01   5.18789225e-02
    25       2   4.92746152e-05   2.79263633e-09
    25       3   3.75144416e-13   0.00000000e+00
    26       1   2.07182577e-01   4.74842048e-02
    26       2   5.72770717e-05   2.56323017e-09
    26       3   4.36357830e-13   0.00000000e+00
    27       1   2.54971240e-01   4.32621951e-02
    27       2   6.86072564e-05   2.34265667e-09
    27       3   5.23193530e-13   0.00000000e+00
    28       1   3.31063157e-01   3.91864974e-02
    28       2   8.63110505e-05   2.12931971e-09
    28       3   6.59075380e-13   0.00000000e+00
    29       1   4.73153297e-01   3.52333397e-02
    29       2   1.18843770e-04   1.92221812e-09
    29       3   9.08655101e-13   0.00000000e+00
    30       1   8.39567478e-01   3.13810087e-02
    30       2   2.01706589e-04   1.72014837e-09
    30       3   1.54476408e-12   0.00000000e+00
    31       1   4.12411111e+00   2.76093665e-02
    31       2   9.38360325e-04   1.52210183e-09
    31       3   7.20092478e-12   0.00000000e+00
    32       1   1.34189685e+00   2.38994262e-02
    32       2   2.86157922e-04   1.32708977e-09
    32       3   2.20131499e-12   0.00000000e+00
    33       1   5.59386066e-01   2.02329686e-02
    33       2   1.09748203e-04   1.13419318e-09
    33       3   8.46764445e-13   0.00000000e+00
    34       1   3.44263560e-01   1.65921802e-02
    34       2   6.06248067e-05   9.42466827e-10
    34       3   4.69693853e-13   0.00000000e+00
    35       1   2.42575329e-01   1.29593015e-02
    35       2   3.68999028e-05   7.51067269e-10
    35       3   2.87916440e-13   0.00000000e+00
    36       1   1.82616517e-01   9.31626606e-03
    36       2   2.24785931e-05   5.58837688e-10
    36       3   1.77409820e-13   0.00000000e+00
    37       1   1.42552884e-01   5.64431832e-03
    37       2   1.24552387e-05   3.65079971e-10
    37       3   1.00491353e-13   0.00000000e+00
    38       1   1.13479416e-01   1.92358885e-03
    38       2   4.82390033e-06   1.68546076e-10
    38       3   4.21616211e-14   0.00000000e+00
    39       1   9.10775340e-02   1.86739308e-03
    39       2   1.39377186e-06   3.18404555e-11
    39       3   5.38077137e-15   0.00000000e+00
    40       1   7.29925474e-02   5.75227813e-03
    40       2   6.73723201e-06   2.37327882e-10
    40       3   4.62300730e-14   0.00000000e+00
    41       1   5.78244933e-02   9.75760300e-03
    41       2   1.15338349e-05   4.49257654e-10
    41       3   8.27570461e-14   0.00000000e+00
    42       1   4.46816706e-02   1.39136734e-02
    42       2   1.59995054e-05   6.69283565e-10
    42       3   1.16944607e-13   0.00000000e+00
    43       1   3.29614748e-02   1.82556926e-02
    43       2   2.02885696e-05   8.99291609e-10
    43       3   1.49512880e-13   0.00000000e+00
    44       1   2.22335074e-02   2.28252320e-02
    44       2   2.45208582e-05   1.14148011e-09
    44       3   1.81385477e-13   0.00000000e+00
    45       1   1.21725757e-02   2.76721857e-02
    45       2   2.87979178e-05   1.39842993e-09
    45       3   2.14352356e-13   0.00000000e+00
    46       1   2.51746644e-03   3.28574162e-02
    46       2   3.32138714e-05   1.67343636e-09
    46       3   2.47671788e-13   0.00000000e+00
    47       1   6.95658632e-03   3.84564070e-02
    47       2   3.78638301e-05   1.97058972e-09
    47       3   2.83074907e-13   0.00000000e+00
    48       1   1.64583740e-02   4.45644114e-02
    48       2   4.28516461e-05   2.29474142e-09
    48       3   3.21128964e-13   0.00000000e+00
    49       1   2.61982801e-02   5.13038738e-02
    49       2   4.82984190e-05   2.65254016e-09
    49       3   3.62307277e-13   0.00000000e+00
    50       1   3.64061531e-02   5.88354001e-02
    50       2   5.43532619e-05   3.05248895e-09
    50       3   4.08339653e-13   0.00000000e+00
