  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   6.92832648e-08   4.88882632e-09
     1       3   1.11111804e-16   0.00000000e+00
     2       1   2.42253264e-03   7.49798587e-01
     2       2   3.46972697e-07   8.36021230e-09
     2       3   6.68285621e-16   0.00000000e+00
     3       1   4.04679822e-03   5.54958145e-01
     3       2   6.25898591e-07   6.88492996e-09
     3       3   1.23014763e-15   0.00000000e+00
     4       1   5.68267863e-03   4.36440631e-01
     4       2   9.06525041e-07   5.65082390e-09
     4       3   1.79947207e-15   0.00000000e+00
     5       1   7.33394651e-03   3.58448933e-01
     5       2   1.18933060e-06   4.74963810e-09
     5       3   2.49241732e-15   0.00000000e+00
     6       1   9.00452863e-03   3.03496452e-01
     6       2   1.47481285e-06   4.08058329e-09
     6       3   2.97210332e-15   0.00000000e+00
     7       1   1.06985495e-02   2.62728614e-01
     7       2   1.76349339e-06   3.56829181e-09
     7       3   3.58156737e-15   0.00000000e+00
     8       1   1.24203793e-02   2.31271696e-01
     8       2   2.05592336e-06   3.16452445e-09
     8       3   4.32785938e-15   0.00000000e+00
     9       1   1.41746885e-02   2.06241641e-01
     9       2   2.35268960e-06   2.83830073e-09
     9       3   4.74507579e-15   0.00000000e+00
    10       1   1.59665083e-02   1.85828567e-01
    10       2   2.65442173e-06   2.56917127e-09
    10       3   5.54394908e-15   0.00000000e+00
    11       1   1.78013021e-02   1.68841286e-01
    11       2   2.96180019e-06   2.34317174e-09
    11       3   6.25595035e-15   0.00000000e+00
    12       1   1.96850473e-02   1.54464545e-01
    12       2   3.27556567e-06   2.15050720e-09
    12       3   6.87939799e-15   0.00000000e+00
    13       1   2.16243316e-02   1.42121894e-01
    13       2   3.59653013e-06   1.98410621e-09
    13       3   7.66705646e-15   0.00000000e+00
    14       1   2.36264678e-02   1.31394368e-01
    14       2   3.92558990e-06   1.83874967e-09
    14       3   8.24057967e-15   0.00000000e+00
    15       1   2.56996305e-02   1.21970199e-01
    15       2   4.26374125e-06   1.71049934e-09
    15       3   9.12314281e-15   0.00000000e+00
    16       1   2.78530213e-02   1.13612621e-01
    16       2   4.61209925e-06   1.59634948e-09
    16       3   9.92880705e-15   0.00000000e+00
    17       1   3.00970700e-02   1.06138597e-01
    17       2   4.97192061e-06   1.49393157e-09
    17       3   1.05116838e-14   0.00000000e+00
    18       1   3.24436809e-02   9.94043860e-02
    18       2   5.34463173e-06   1.40138798e-09
    18       3   1.12926363e-14   0.00000000e+00
    19       1   3.49065386e-02   9.32955251e-02
    19       2   5.73186337e-06   1.31722396e-09
    19       3   1.19903083e-14   0.00000000e+00
    20       1   3.75014892e-02   8.77197191e-02
    20       2   6.13549386e-06   1.24022782e-09
    20       3   1.30697540e-14   0.00000000e+00
    21       1   4.02470216e-02   8.26017041e-02
    21       2   6.55770364e-06   1.16940627e-09
    21       3   1.39232904e-14   0.00000000e+00
    22       1   4.31648801e-02   7.78794743e-02
    22       2   7.00104458e-06   1.10394122e-09
    22       3   1.48659314e-14   0.00000000e+00
    23       1   4.62808538e-02   7.35014661e-02
    23       2   7.46852916e-06   1.04314497e-09
    23       3   1.59113824e-14   0.00000000e+00
    24       1   4.96258038e-02   6.94244293e-02
    24       2   7.96374664e-06   9.86438844e-10
    24       3   1.68885147e-14   0.00000000e+00
    25       1   5.32370193e-02   6.56117969e-02
    25       2   8.49101600e-06   9.33334390e-10
    25       3   1.79850963e-14   0.00000000e+00
    26       1   5.71600301e-02   6.20324214e-02
    26       2   9.05559059e-06   8.83410421e-10
    26       3   1.94308198e-14   0.00000000e+00
    27       1   6.14510683e-02   5.86595862e-02
    27       2   9.66393556e-06   8.36308937e-10
    27       3   2.06246651e-14   0.00000000e+00
    28       1   6.61804652e-02   5.54702236e-02
    28       2   1.03241109e-05   7.91716602e-10
    28       3   2.19893881e-14   0.00000000e+00
    29       1   7.14374304e-02   5.24442905e-02
    29       2   1.10463097e-05   7.49365631e-10
    29       3   2.34333265e-14   0.00000000e+00
    30       1   7.73369140e-02   4.95642665e-02
    30       2   1.18436314e-05   7.09012675e-10
    30       3   2.51088277e-14   0.00000000e+00
    31       1   8.40296968e-02   4.68147463e-02
    31       2   1.27332176e-05   6.70453629e-10
    31       3   2.72183683e-14   0.00000000e+00
    32       1   9.17176315e-02   4.41821059e-02
    32       2   1.37379681e-05   6.33501989e-10
    32       3   2.93913821e-14   0.00000000e+00
    33       1   1.00677389e-01   4.16542284e-02
    33       2   1.48892137e-05   5.97987412e-10
    33       3   3.16389602e-14   0.00000000e+00
    34       1   1.11298813e-01   3.92202756e-02
    34       2   1.62310331e-05   5.63765366e-10
    34       3   3.47647146e-14   0.00000000e+00
    35       1   1.24149582e-01   3.68704979e-02
    35       2   1.78275289e-05   5.30700881e-10
    35       3   3.80808371e-14   0.00000000e+00
    36       1   1.40089913e-01   3.45960728e-02
    36       2   1.97757351e-05   4.98677345e-10
    36       3   4.25287050e-14   0.00000000e+00
    37       1   1.60489244e-01   3.23889695e-02
    37       2   2.22299975e-05   4.67575600e-10
    37       3   4.78841680e-14   0.00000000e+00
    38       1   1.87669001e-01   3.02418316e-02
    38       2   2.54517909e-05   4.37302582e-10
    38       3   5.46013085e-14   0.00000000e+00
    39       1   2.25904689e-01   2.81478769e-02
    39       2   2.99224638e-05   4.07757483e-10
    39       3   6.43678376e-14   0.00000000e+00
    40       1   2.84031388e-01   2.61008098e-02
    40       2   3.66363724e-05   3.78855454e-10
    40       3   7.88032356e-14   0.00000000e+00
    41       1   3.83734415e-01   2.40947438e-02
    41       2   4.80335989e-05   3.50520458e-10
    41       3   1.03148726e-13   0.00000000e+00
    42       1   5.96268560e-01   2.21241334e-02
    42       2   7.21307304e-05   3.22666580e-10
    42       3   1.55090183e-13   0.00000000e+00
    43       1   1.37301545e+00   2.01837119e-02
    43       2   1.59702271e-04   2.95230384e-10
    43       3   3.44232456e-13   0.00000000e+00
    44       1   4.05051311e+00   1.82684352e-02
    44       2   4.50532562e-04   2.68129828e-10
    44       3   9.72617579e-13   0.00000000e+00
    45       1   7.96163042e-01   1.63734289e-02
    45       2   8.39500340e-05   2.41306198e-10
    45       3   1.81488301e-13   0.00000000e+00
    46       1   4.33299276e-01   1.44939385e-02
    46       2   4.29007367e-05   2.14690653e-10
    46       3   9.28348970e-14   0.00000000e+00
    47       1   2.93008412e-01   1.26252815e-02
    47       2   2.68908281e-05   1.88213739e-10
    47       3   5.82826728e-14   0.00000000e+00
    48       1   2.18166133e-01   1.07628001e-02
