  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       5       5       1       3       1       0
     2      10       5       1       6       1       0
     3      14       4       1       6       3       0
     4      18       4       1       6       3       0
     5      23       5       1       8       2       0
     6      27       4       1       8       3       0
     7      31       4       1       8       3       0
     8      36       5       1       9       3       0
     9      40       4       1       9       3       0
    10      46       6       1      10       4       0
    11      50       4       1      12       1       0
    12      53       3       1      11       3       0
    13      57       4       1      13       1       0
    14      61       4       1      13       3       0
    15      66       5       1      14       3       0
    16      70       4       1      15       2       0
    17      74       4       1      15       3       0
    18      78       4       1      15       3       0
    19      82       4       1      15       3       0
    20      87       5       1      16       3       0
