  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   7.19678715e-01   4.96458912e-01
     1       3   3.48657093e-01   1.83032074e-01
     1       4   5.78757398e-02   8.75632267e-02
     1       5   7.33751648e-02   1.34254108e-02
     1       6   2.35187347e-02   7.53060590e-03
     1       7   1.79698705e-02   6.59276197e-03
     1       8   8.30458850e-04   7.59155937e-04
     2       1   5.66381622e-01   4.74308342e-01
     2       2   2.08558287e-01   2.72860183e-01
     2       3   7.31341480e-02   6.89650378e-02
     2       4   1.71470743e-03   5.46036565e-02
     2       5   2.01464003e-03   3.50947110e-02
     2       6   4.08804440e-03   2.66130861e-02
     2       7   1.28415523e-03   1.16496828e-02
     2       8   2.04135017e-04   7.71103604e-04
     3       1   3.92936262e-01   9.10357469e-02
     3       2   6.12419083e-03   3.78913412e-01
     3       3   6.25082205e-04   1.79231694e-01
     3       4   6.51581919e-04   2.39670850e-01
     3       5   1.00093354e-04   2.33124721e-02
     3       6   5.65168136e-05   1.10220140e-02
     3       7   4.66438104e-06   1.93865872e-03
     4       1   3.19830860e-01   9.57358039e-02
     4       2   2.71524095e-03   9.64570365e-01
     4       3   7.37917036e-04   2.45557174e-01
     4       4   2.02120974e-03   2.28718298e-01
     4       5   1.63905074e-04   5.54650553e-02
     4       6   1.60525763e-05   1.01386006e-02
     4       7   2.29010613e-05   4.46023970e-03
     5       1   2.85453450e-01   1.15386373e-01
     5       2   2.51531967e-03   8.73982501e-02
     5       3   4.68459524e-04   6.84568884e-01
     5       4   2.66349616e-04   1.33244516e-01
     5       5   2.27472481e-04   8.16111109e-02
     5       6   9.69725357e-06   2.78159565e-03
     6       1   2.47910204e-01   7.95099090e-02
     6       2   3.91629727e-04   4.22583948e-01
     6       3   1.81533229e-04   3.03775603e-01
     6       4   1.16741096e-04   5.51274952e-02
     6       5   2.79655893e-05   1.26147499e-02
     6       6   4.57162041e-06   3.04707030e-04
     7       1   2.07017585e-01   8.49684654e-02
     7       2   1.68280676e-03   2.12435568e-01
