  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.00565068e-01   4.87058513e-01
     1       3   4.90302604e-01   7.86088870e-03
     1       4   2.84851422e-01   7.55091365e-03
     1       5   2.13370488e-01   3.65944731e-03
     1       6   6.10386503e-02   7.35023769e-03
     1       7   9.96084334e-03   1.16082923e-04
     1       8   5.45302247e-03   4.42205710e-05
     1       9   1.18987737e-07   3.48173929e-06
     2       1   6.56877636e-01   8.63981153e-02
     2       2   5.06934625e-02   9.58308293e-02
     2       3   1.35415594e-02   2.16041272e-02
     2       4   1.60138505e-04   6.32313446e-04
     3       1   4.12441838e-01   7.21116487e-02
     3       2   4.95971166e-03   2.79914244e-02
     3       3   7.23632258e-03   1.39795728e-03
     3       4   2.90215585e-04   2.82868364e-04
     4       1   2.90758599e-01   7.26026513e-02
     4       2   4.58006778e-03   4.06870011e-02
     4       3   1.41965657e-03   1.47196841e-02
     4       4   1.68689548e-04   1.36008834e-03
     5       1   2.03481398e-01   6.71611115e-02
     5       2   7.13577943e-04   1.73514615e-02
     5       3   4.68819543e-04   5.56190204e-03
     5       4   5.71313024e-05   2.45758312e-04
     6       1   1.07896430e-01   5.60222468e-02
     6       2   5.67405366e-03   1.74561044e-02
     6       3   1.00651930e-03   8.68293770e-03
     6       4   5.66528820e-05   3.08641153e-04
     7       1   4.10635119e-02   3.23363593e-02
     7       2   4.99576013e-04   1.13636514e-02
     7       3   1.03318439e-03   5.53423862e-03
     7       4   4.49957680e-05   4.93062107e-04
     8       1   4.67646300e-02   2.85257078e-02
     8       2   1.24032656e-03   2.34416951e-02
     8       3   4.11806350e-04   1.35623885e-02
     8       4   7.77013149e-05   8.37206644e-04
     9       1   1.52191290e-01   2.60089633e-02
     9       2   8.12472723e-04   5.84220765e-03
     9       3   2.28317978e-04   6.41554985e-03
     9       4   1.50175841e-04   6.71709975e-04
    10       1   2.40273092e-01   3.73877420e-02
    10       2   7.93589642e-04   6.99421910e-03
    10       3   3.62245726e-04   3.67139018e-03
    11       1   4.05998096e-01   4.18162230e-02
    11       2   3.09400302e-04   6.80350340e-03
    11       3   3.21335496e-04   5.69498425e-03
    11       4   1.15622272e-04   6.18023746e-04
    12       1   6.62494238e-01   5.38824199e-02
    12       2   4.25250687e-04   8.16427703e-03
    12       3   6.70626161e-04   6.20785016e-03
    12       4   1.88375660e-04   4.35538302e-04
    13       1   1.05544627e+00   4.74707147e-02
    13       2   6.26951462e-03   1.46701001e-02
    13       3   1.59901295e-03   7.93465742e-03
    13       4   9.36447314e-05   6.16307901e-04
    14       1   2.94317105e+00   3.64130896e-02
    14       2   1.05469302e-02   4.39927489e-03
    14       3   3.43473621e-03   2.15172030e-03
    15       1   3.38002524e+00   3.17879397e-02
    15       2   2.87664241e-02   8.54528129e-03
    15       3   1.35525861e-02   4.67670936e-03
    15       4   3.51643877e-04   5.59464572e-05
    16       1   9.69419302e-01   1.24249863e-02
    16       2   3.03969650e-03   7.37923264e-03
    16       3   1.70297348e-03   2.59472973e-03
    17       1   6.90930831e-01   1.70123624e-02
    17       2   1.78669349e-03   3.72737029e-03
    18       1   5.23097848e-01   2.66154396e-02
    18       2   2.02324462e-04   4.85519408e-03
    19       1   3.69745856e-01   4.34085927e-02
    19       2   1.05759883e-04   8.00366623e-03
    19       3   3.57536094e-04   2.40259014e-03
    20       1   2.61096062e-01   4.43942933e-02
    20       2   2.44053312e-04   7.29773495e-03
    20       3   1.34765608e-04   2.56914275e-03
    21       1   1.94862110e-01   4.15827541e-02
    21       2   1.18223554e-04   9.07564904e-03
    21       3   6.05325014e-05   5.34117798e-03
    21       4   1.49878618e-05   1.53728430e-04
    22       1   1.04679700e-01   4.10536968e-02
    22       2   5.19385860e-05   3.01069047e-03
    23       1   3.49019976e-02   2.28690966e-02
    23       2   8.19192635e-05   4.34211559e-03
    24       1   4.31906252e-02   1.58933498e-02
    24       2   6.67783510e-05   4.86328216e-03
    25       1   1.30216957e-01   1.66501659e-02
    25       2   5.25376115e-05   4.37655748e-03
    26       1   2.05919111e-01   2.92983987e-02
    26       2   1.71150836e-04   2.04254415e-03
    27       1   3.13188291e-01   3.23687077e-02
    27       2   1.90332872e-04   3.27535146e-03
    28       1   5.02457601e-01   4.00720255e-02
    28       2   2.46066258e-04   4.62117368e-03
    29       1   6.23810578e-01   4.32921995e-02
    29       2   3.27406037e-04   3.18930317e-03
    30       1   7.50168181e-01   3.01788866e-02
    30       2   6.70755926e-04   2.69970411e-03
    31       1   5.11212519e-01   2.72628602e-02
    31       2   9.32001685e-04   2.30241636e-03
    32       1   3.86810203e-01   1.44343778e-02
    32       2   3.82865645e-04   3.30447548e-03
    33       1   4.10673272e-01   1.32576313e-02
    33       2   3.36401076e-04   5.76127382e-03
    33       3   3.23729587e-04   4.51506162e-03
    34       1   3.85462081e-01   1.97240453e-02
    34       2   4.59532393e-05   1.94440711e-03
    35       1   3.27422513e-01   3.24917008e-02
    35       2   1.32081452e-04   4.57631366e-03
    36       1   2.32314688e-01   3.81844587e-02
    36       2   1.23657035e-04   1.89145575e-03
    37       1   1.72689553e-01   3.28900853e-02
    37       2   3.19101856e-05   2.04865709e-03
    38       1   1.06168057e-01   3.45122862e-02
    38       2   5.48044311e-05   4.21639057e-03
    39       1   4.34180263e-02   2.32885342e-02
    39       2   3.23140869e-05   1.54456019e-03
    40       1   3.60003367e-02   1.10166886e-02
    40       2   1.92648758e-04   1.53069517e-03
    41       1   1.00117463e-01   1.26195719e-02
    41       2   6.79143051e-05   2.74804410e-03
    42       1   1.84219994e-01   2.18272722e-02
    42       2   7.48472679e-05   4.84479622e-03
