  TimeWindow  TotalIterations  Iterations  Convergence
     1       9       9       1
     2      14       5       1
     3      21       7       1
     4      26       5       1
     5      30       4       1
     6      35       5       1
     7      39       4       1
     8      43       4       1
     9      48       5       1
    10      52       4       1
    11      56       4       1
    12      60       4       1
    13      64       4       1
    14      67       3       1
    15      70       3       1
    16      74       4       1
    17      77       3       1
    18      80       3       1
    19      83       3       1
    20      86       3       1
