  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.20592202e+00   5.68816986e-01
     1       3   1.43296757e-01   2.77578309e-02
     1       4   7.19088297e-02   4.86963339e-02
     1       5   7.83629612e-02   4.84407835e-02
     1       6   4.17004410e-02   4.42918066e-02
     1       7   1.11644232e-01   1.76263709e-03
     1       8   7.58477936e-02   1.97359802e-03
     1       9   1.08471304e-04   2.66234613e-03
     2       1   2.96201792e-01   4.31284674e-01
     2       2   8.24272923e-02   2.33095738e-01
     2       3   1.10901469e-02   5.02894205e-02
     2       4   3.10427999e-02   1.60022990e-02
     2       5   4.50413906e-03   2.76880771e-03
     3       1   7.61154632e+01   7.48022275e-02
     3       2   4.75892772e+00   2.31118363e-01
     3       3   1.43131232e+00   1.53553011e-01
     3       4   1.06929835e+00   8.76287274e-03
     3       5   4.17724898e-01   1.45593044e-02
     3       6   1.62146717e-02   4.20084368e-04
     3       7   9.80120666e-04   9.57357300e-05
     4       1   9.71459802e-01   2.97684110e-01
     4       2   2.81621264e-02   1.42359632e-01
     4       3   3.96811814e-02   9.69125104e-02
     4       4   1.45729957e-02   1.93407106e-02
     4       5   4.66641499e-04   2.01976694e-03
     5       1   6.52278393e-02   2.40792475e-01
     5       2   1.44365707e-02   2.90846722e-02
     5       3   8.28736904e-04   1.90965845e-02
     5       4   2.13360012e-03   3.49872258e-03
     6       1   5.95037585e+00   1.26441632e-01
     6       2   1.34930273e-01   2.95091899e-02
     6       3   2.14801567e-02   1.24313639e-02
     6       4   1.30912877e-02   1.02648751e-02
     6       5   4.25973467e-03   4.29641550e-03
     7       1   8.01650305e-01   2.67174491e-01
     7       2   1.98605292e-02   1.10161455e-01
     7       3   8.49162758e-04   1.53401171e-02
     7       4   1.20996152e-03   9.10020892e-04
     8       1   2.91757220e-01   1.22518480e-01
     8       2   1.65595071e-03   1.90567911e-02
     8       3   8.42027050e-03   1.10200445e-02
     8       4   1.19491083e-03   1.78749192e-03
     9       1   2.75770835e+00   1.64938604e-01
     9       2   3.27320537e-03   3.13192842e-02
     9       3   2.22785253e-02   2.17700920e-02
     9       4   5.17781081e-03   9.35864366e-04
     9       5   2.76136179e-04   3.69146664e-04
    10       1   5.08617901e-01   2.13696550e-01
    10       2   3.88473964e-02   4.53972544e-02
    10       3   1.09048338e-02   1.32954668e-02
    10       4   1.11939412e-04   1.07136924e-03
    11       1   4.36348692e-01   4.31716073e-02
    11       2   1.03392277e-02   8.00777222e-03
    11       3   1.32044733e-03   6.59214155e-03
    11       4   6.56184030e-04   1.72850727e-03
    12       1   1.38298619e+00   1.85816136e-01
    12       2   2.62767926e-02   1.57739192e-02
    12       3   1.00983868e-02   8.06720992e-03
    12       4   8.75580676e-04   2.21689620e-04
    13       1   1.28290464e-01   1.54728699e-01
    13       2   3.68643973e-03   1.76785824e-02
    13       3   6.88959298e-03   5.34374123e-03
    13       4   7.36465145e-04   4.67612610e-04
    14       1   5.00679461e-01   5.11474694e-02
    14       2   6.48559054e-04   1.30018591e-02
    14       3   2.47289829e-03   3.45269867e-03
    15       1   8.05127656e-01   1.72733297e-01
    15       2   1.44139735e-03   1.65603119e-02
    15       3   2.52875449e-03   1.59590532e-03
    16       1   2.81625912e-01   9.59108487e-02
    16       2   1.73785555e-02   2.48518970e-02
    16       3   5.41956920e-03   2.22072500e-03
    16       4   5.20928990e-04   1.86261763e-04
    17       1   5.22781713e-01   7.99204905e-02
    17       2   9.56474260e-03   9.84042099e-03
    17       3   9.93218192e-04   9.44714577e-04
    18       1   3.91545139e-01   1.50771074e-01
    18       2   2.50588230e-03   1.91210040e-02
    18       3   2.82628144e-03   2.95151153e-03
    19       1   5.12161987e-01   4.71691790e-02
    19       2   2.68599493e-02   2.06984552e-02
    19       3   2.49546382e-03   1.00779711e-03
    20       1   4.80470326e-01   9.86566323e-02
    20       2   4.33557193e-03   5.76506821e-03
    20       3   1.44463478e-03   1.04469918e-03
