  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       9       9       1       7       1       0
     2      14       5       1       9       2       0
     3      21       7       1      15       0       0
     4      26       5       1      16       3       0
     5      30       4       1      17       2       0
     6      35       5       1      20       1       0
     7      39       4       1      21       2       0
     8      43       4       1      22       2       0
     9      48       5       1      24       2       0
    10      52       4       1      24       3       0
    11      56       4       1      25       2       0
    12      60       4       1      25       3       0
    13      64       4       1      23       5       0
    14      67       3       1      25       0       0
    15      70       3       1      26       1       0
    16      74       4       1      28       1       0
    17      77       3       1      25       3       2
    18      80       3       1      25       1       1
    19      83       3       1      26       0       1
    20      86       3       1      26       2       0
