  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       8       8       1       6       1       0
     2      12       4       1       9       0       0
     3      17       5       1      11       2       0
     4      21       4       1      14       0       0
     5      27       6       1      18       1       0
     6      31       4       1      19       2       0
     7      35       4       1      22       0       0
     8      39       4       1      23       2       0
     9      43       4       1      22       4       0
    10      46       3       1      24       0       0
    11      49       3       1      25       1       0
    12      53       4       1      25       3       0
    13      56       3       1      24       3       0
    14      59       3       1      25       1       0
    15      62       3       1      26       1       0
    16      65       3       1      24       4       0
    17      68       3       1      26       0       0
    18      71       3       1      26       2       0
    19      75       4       1      25       3       1
    20      78       3       1      26       0       1
    21      81       3       1      26       1       1
    22      84       3       1      25       2       1
    23      86       2       1      24       0       2
    24      88       2       1      23       0       2
    25      91       3       1      22       2       1
    26      93       2       1      22       0       1
    27      95       2       1      20       1       2
    28      97       2       1      19       1       1
    29      99       2       1      18       1       1
    30     101       2       1      17       1       1
    31     103       2       1      17       0       1
    32     105       2       1      16       2       0
    33     107       2       1      17       0       0
    34     109       2       1      17       0       1
    35     111       2       1      17       1       0
    36     113       2       1      17       0       1
    37     115       2       1      16       0       2
    38     117       2       1      15       1       1
    39     119       2       1      15       0       1
    40     121       2       1      15       0       1
