  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   2.47916826e+00   3.41821287e-01
     1       3   1.05954552e-01   3.80672641e-03
     1       4   4.14936000e-04   2.49693585e-07
     1       5   4.13022316e-06   2.65660734e-07
     1       6   6.19089495e-08   1.65998477e-09
     1       7   2.64069915e-11   8.83440086e-12
     2       1   1.20983504e+00   8.77781719e+00
     2       2   7.76869048e+00   8.69727394e-01
     2       3   3.09161875e-01   1.20926269e-02
     2       4   1.41817189e-03   2.49784813e-05
     2       5   3.97225364e-06   6.57828430e-07
     2       6   2.13126700e-07   6.32277609e-09
     2       7   2.44707296e-10   1.20610124e-11
     2       8   6.59354145e-12   4.76395904e-13
     3       1   7.20577763e-01   3.32566225e-01
     3       2   1.87907325e+00   5.06942982e-01
     3       3   1.90604298e-01   8.01980354e-03
     3       4   8.97793961e-04   2.25951393e-05
     3       5   3.11073239e-07   3.89704834e-07
     3       6   1.39469967e-07   4.44549813e-09
     3       7   1.77700201e-10   4.20442165e-12
     3       8   2.92866477e-12   3.00829485e-13
     4       1   2.88471575e-01   1.85625287e+00
     4       2   6.90002288e-01   1.78596473e-01
     4       3   1.05903660e-01   4.51240235e-03
     4       4   5.77949071e-04   2.42031972e-05
     4       5   3.93694542e-06   1.33922610e-07
     4       6   9.31878946e-08   2.97157664e-09
     4       7   1.70397829e-10   4.84383715e-12
     4       8   4.77304202e-13   1.36486047e-13
     5       1   1.23778139e+00   6.16627870e+00
     5       2   5.68026696e-02   2.63895523e+01
     5       3   2.79379992e-02   3.95613408e-01
     5       4   1.62721328e-04   2.16672539e-03
     5       5   1.05165416e-06   1.16374030e-05
     5       6   2.49245758e-08   2.61399538e-07
     5       7   5.04433433e-11   4.50432443e-10
     5       8   1.08930045e-13   1.17175005e-11
