  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       6       6       1       2       3       0
     2      12       6       1       2       5       0
     3      18       6       1       2       5       0
     4      24       6       1       2       5       0
     5      31       7       1       2       6       0
     6      36       5       1       2       4       0
     7      42       6       1       2       5       0
     8      48       6       1       2       5       0
     9      54       6       1       2       5       0
    10      61       7       1       2       6       0
