  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.07535344e+00   4.95781272e-01
     1       3   2.17841737e-01   5.89514073e-01
     1       4   4.26072823e-02   1.49191460e-01
     1       5   8.25380003e-02   8.70824982e-03
     1       6   5.64616795e-02   5.18866239e-03
     1       7   3.64110746e-02   3.31729696e-03
     1       8   1.86665155e-03   3.38809295e-04
     2       1   1.34438282e+00   5.61352774e-01
     2       2   3.31395113e-03   2.81316323e-01
     2       3   1.89066835e-02   8.23237751e-02
     2       4   8.05753178e-04   9.42985851e-03
     2       5   7.11589522e-05   1.76705399e-03
