  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   2.48603827e+00   3.42472461e-01
     1       3   1.06321669e-01   3.80648377e-03
     1       4   4.14281784e-04   2.96092865e-07
     1       5   4.12517050e-06   2.63713162e-07
     1       6   6.13257676e-08   1.61840490e-09
     1       7   1.76323316e-11   4.01031779e-12
     2       1   1.20947718e+00   8.92716593e+00
     2       2   7.70824295e+00   8.72089172e-01
     2       3   3.07728566e-01   1.21186312e-02
     2       4   1.40890232e-03   2.49245779e-05
     2       5   3.93947578e-06   6.54644856e-07
     2       6   2.09996866e-07   6.23752954e-09
     2       7   2.31703624e-10   1.39699511e-11
     2       8   7.52725409e-12   4.66204078e-12
     3       1   7.18099385e-01   3.34638957e-01
     3       2   1.88421086e+00   5.05891058e-01
     3       3   1.91843743e-01   8.00590613e-03
     3       4   9.03085656e-04   2.25037122e-05
     3       5   3.10499311e-07   3.86307296e-07
     3       6   1.39092161e-07   4.37515807e-09
     3       7   1.73915028e-10   4.47424701e-12
     3       8   3.42179673e-12   3.89203520e-13
     4       1   2.99947244e-01   1.85711050e+00
     4       2   7.05251756e-01   1.76222782e-01
     4       3   1.05303982e-01   4.48248084e-03
     4       4   5.76592166e-04   2.40653464e-05
     4       5   3.92176097e-06   1.31953346e-07
     4       6   9.21449048e-08   2.92401625e-09
     4       7   1.66088041e-10   5.28505157e-12
     4       8   2.07396303e-13   2.64464376e-12
     5       1   1.23703445e+00   6.26164524e+00
     5       2   6.11771797e-02   2.59581187e+01
     5       3   2.77099196e-02   3.93472258e-01
     5       4   1.61997833e-04   2.15871831e-03
     5       5   1.04709202e-06   1.14705672e-05
     5       6   2.45976272e-08   2.57547409e-07
     5       7   4.90682626e-11   2.06347667e-10
     5       8   7.99104860e-13   2.26364859e-10
     5       9   4.20039427e-13   5.76843824e-12
