  TimeWindow  TotalIterations  Iterations  Convergence
     1       8       8       1
     2      17       9       1
     3      26       9       1
     4      35       9       1
     5      44       9       1
     6      53       9       1
     7      62       9       1
     8      70       8       1
     9      78       8       1
    10      86       8       1
    11      94       8       1
    12     102       8       1
    13     111       9       1
    14     120       9       1
    15     129       9       1
    16     138       9       1
    17     147       9       1
    18     155       8       1
    19     163       8       1
    20     171       8       1
