  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
    66       2   1.29127069e-07   6.51514319e-04
    67       1   9.02953717e-02   4.23522754e-02
    67       2   1.48872362e-07   3.08364242e-04
    68       1   8.20922869e-02   4.05733993e-02
    68       2   1.05799503e-07   5.40847561e-04
    69       1   7.48140297e-02   4.06536973e-02
    69       2   1.65128103e-07   9.71965810e-04
    70       1   6.50502412e-02   4.05925350e-02
    70       2   2.68288502e-07   6.16140535e-04
    71       1   5.59553138e-02   3.72094320e-02
    71       2   6.57954681e-08   4.41153012e-04
    72       1   4.88460452e-02   3.37204917e-02
    72       2   7.30147930e-08   8.05585311e-04
    73       1   4.12023570e-02   3.18963337e-02
    73       2   2.21841748e-07   1.62646076e-04
    74       1   3.32209699e-02   2.82109536e-02
    74       2   1.37527026e-07   5.26186604e-04
    75       1   2.67075520e-02   2.27361796e-02
    75       2   1.75808907e-07   4.26897717e-04
    76       1   2.15310522e-02   1.91128276e-02
    76       2   1.22929372e-07   7.58612722e-04
    77       1   1.47615748e-02   1.63680006e-02
    77       2   4.83880213e-08   1.52133436e-04
    78       1   8.79736181e-03   1.11740102e-02
    78       2   1.07328888e-07   2.22155809e-04
    79       1   4.36776972e-03   6.19807570e-03
    79       2   1.92762038e-07   4.87250797e-04
    80       1   5.26271509e-03   3.14664435e-03
    80       2   1.52615039e-07   2.30524685e-04
    81       1   1.22974943e-02   2.94255875e-03
    81       2   2.36584936e-07   7.76750646e-04
    82       1   1.93378728e-02   8.89993509e-03
    82       2   1.29469964e-07   3.64100336e-04
    83       1   2.54079957e-02   1.34817764e-02
    83       2   3.13276872e-08   3.34138816e-04
    84       1   3.22336249e-02   1.65491862e-02
    84       2   6.12823936e-08   1.40155599e-04
    85       1   3.98346162e-02   2.13189489e-02
    85       2   6.40505819e-08   3.00772566e-04
    86       1   4.54548622e-02   2.62555571e-02
    86       2   5.39719939e-08   5.45924017e-04
    87       1   5.19381701e-02   2.82006410e-02
    87       2   5.23296232e-08   2.94644836e-04
    88       1   6.06070220e-02   3.01937451e-02
    88       2   3.31043643e-08   2.38467214e-04
    89       1   6.94625201e-02   3.41758604e-02
    89       2   5.54921268e-08   5.46659320e-04
    90       1   7.73885033e-02   3.68164363e-02
    90       2   1.46060618e-07   5.76933799e-04
    91       1   8.75897482e-02   3.72718105e-02
    91       2   5.44777077e-08   4.68207597e-04
    92       1   1.00116983e-01   3.90914369e-02
    92       2   1.67043072e-07   1.04547997e-03
    93       1   1.09518895e-01   4.15934042e-02
    93       2   1.13734472e-07   1.01078859e-03
    94       1   1.18270908e-01   4.09743891e-02
    94       2   5.40362240e-07   5.55448870e-04
    95       1   1.30149109e-01   3.91092044e-02
    95       2   4.08707914e-07   5.18593674e-04
    96       1   1.42995091e-01   3.88633595e-02
    96       2   1.92459801e-07   5.91352003e-04
    97       1   1.51662450e-01   3.78105529e-02
    97       2   1.44905136e-07   2.43259183e-04
    98       1   1.63766423e-01   3.41281976e-02
    98       2   2.89749848e-07   2.18067387e-04
    99       1   1.81139227e-01   3.14632793e-02
    99       2   2.20093642e-07   4.60845252e-04
   100       1   1.93257230e-01   3.03897816e-02
   100       2   7.88054490e-07   5.46722390e-04
   101       1   1.95028219e-01   2.72480234e-02
   101       2   5.88012157e-07   1.02087613e-04
   102       1   1.95331642e-01   2.25051193e-02
   102       2   2.43777577e-07   2.40945657e-04
   103       1   1.80237760e-01   1.94126999e-02
   103       2   9.33133387e-07   2.03688238e-04
   104       1   1.27466457e-01   1.60789955e-02
   104       2   9.25510208e-07   8.82988424e-04
   105       1   7.24817897e-02   1.01140052e-02
   105       2   1.95729478e-06   1.35723568e-03
   106       1   3.97261693e-02   4.93331261e-03
