  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   2.24535058e-02   1.14846744e-03
     1       3   5.56875657e-06   1.06895730e-07
     1       4   1.32952911e-10   5.12950305e-12
     1       5   4.92831083e-14   2.35909958e-14
     2       1   1.48086547e+01   6.16518990e-01
     2       2   2.45797011e+03   2.08869907e-03
     2       3   5.30166060e-01   2.60863481e-07
     2       4   1.81847879e-05   2.79673416e-12
     2       5   2.84972903e-09   0.00000000e+00
     2       6   0.00000000e+00   0.00000000e+00
     3       1   1.00014522e+00   8.32430551e-02
     3       2   4.30807089e-02   8.14580536e-04
     3       3   3.28285484e-05   1.18747187e-07
     3       4   1.28194342e-09   3.68761696e-14
     3       5   1.94498237e-13   1.35949012e-14
     4       1   5.95230203e+00   4.08326089e+02
     4       2   4.43107725e+03   4.06584077e+01
     4       3   2.27108472e+00   4.85745478e-03
     4       4   7.43217626e-05   7.66854861e-08
     4       5   1.25073450e-08   1.20141541e-10
     4       6   0.00000000e+00   0.00000000e+00
     5       1   1.00002818e+00   1.00005857e+00
     5       2   2.71700549e-01   3.58030691e-03
     5       3   1.28396512e-04   4.52715569e-07
     5       4   4.46156536e-09   4.33230864e-12
     5       5   6.79097006e-13   0.00000000e+00
     6       1   1.10157469e+01   7.50281130e-02
     6       2   1.48920626e+03   1.24393839e-03
     6       3   1.39429937e+01   1.72844182e-07
     6       4   5.26676683e-04   1.17437004e-13
     6       5   5.25354207e-08   0.00000000e+00
     6       6   0.00000000e+00   0.00000000e+00
     7       1   1.00000146e+00   1.60236475e+00
     7       2   5.79114164e-02   4.00585548e-03
     7       3   2.34683118e-05   4.75937300e-07
     7       4   7.65543617e-10   7.76940856e-12
     7       5   1.34094706e-13   0.00000000e+00
     8       1   3.70785771e-01   2.08232611e+02
     8       2   3.81841832e-02   1.13865925e+02
     8       3   1.94443187e-05   1.49877355e-02
     8       4   6.90518740e-10   1.08526089e-07
     8       5   9.89221896e-14   9.18588126e-11
     9       1   5.65724931e-01   9.99958947e-01
     9       2   2.24441101e-02   1.14802441e-03
     9       3   5.56474120e-06   1.06835302e-07
     9       4   1.32817983e-10   5.16342264e-12
     9       5   4.97895595e-14   0.00000000e+00
    10       1   1.48251106e+01   6.16551476e-01
    10       2   6.67152854e+02   2.08871423e-03
    10       3   2.34463556e-01   2.60863718e-07
    10       4   8.04217731e-06   2.90442314e-12
    10       5   1.27322941e-09   0.00000000e+00
    10       6   0.00000000e+00   0.00000000e+00
    11       1   1.00032834e+00   8.31588536e-02
    11       2   4.30983711e-02   8.14757137e-04
    11       3   3.28359893e-05   1.18767839e-07
    11       4   1.28220255e-09   1.07056681e-13
    11       5   1.65367445e-13   0.00000000e+00
    12       1   5.95587313e+00   3.93072984e+02
    12       2   2.40800536e+03   1.55270903e+01
    12       3   4.92631058e-01   1.84945610e-03
    12       4   1.61231247e-05   3.16767441e-08
    12       5   3.07174315e-09   5.27297182e-12
    12       6   0.00000000e+00   0.00000000e+00
    13       1   1.00012991e+00   1.00015383e+00
    13       2   2.71718649e-01   3.58052775e-03
    13       3   1.28403657e-04   4.52741670e-07
    13       4   4.46179908e-09   4.13000111e-12
    13       5   6.55133706e-13   0.00000000e+00
    14       1   1.09928654e+01   7.51084868e-02
    14       2   4.40430102e+02   1.24414709e-03
    14       3   3.81092493e-01   1.72868487e-07
    14       4   1.43869500e-05   2.41776826e-13
    14       5   1.22340121e-09   0.00000000e+00
    14       6   0.00000000e+00   0.00000000e+00
    15       1   1.00005355e+00   1.60200799e+00
    15       2   5.79099468e-02   4.00468735e-03
    15       3   2.34669749e-05   4.75792188e-07
    15       4   7.65473407e-10   8.72114035e-12
    15       5   1.66400390e-13   6.15219062e-16
    16       1   3.70832501e-01   2.06478592e+02
    16       2   3.81866361e-02   5.73480562e+01
    16       3   1.94451432e-05   7.49270843e-03
    16       4   6.90544154e-10   5.46232969e-08
    16       5   1.01477089e-13   1.45000853e-10
    16       6   1.11025262e-16   0.00000000e+00
