  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.07216317e-03   6.85208480e-05
     1       3   1.66090657e-08   4.18858528e-10
     1       4   2.60976052e-14   9.29860669e-16
     2       1   3.96445991e-01   7.24076013e-01
     2       2   6.72699629e-03   1.19855427e-04
     2       3   1.79149926e-07   9.47104429e-10
     2       4   3.93257583e-13   1.64185671e-15
     3       1   1.09379212e+00   4.72780356e-01
     3       2   1.93471966e-02   9.25445619e-05
     3       3   5.49581954e-07   7.49272014e-10
     3       4   1.23650189e-12   4.32769501e-16
     4       1   5.78320001e+01   2.74115629e-01
     4       2   7.37537017e+01   6.24652987e-05
     4       3   2.20879116e-03   5.15027443e-10
     4       4   5.05879842e-09   1.72766547e-15
     4       5   1.30003264e-12   0.00000000e+00
     5       1   9.99652984e-01   7.95713621e-02
     5       2   1.21545829e-02   2.93949040e-05
     5       3   4.10248724e-07   2.52451006e-10
     5       4   9.75069975e-13   1.30102857e-15
     6       1   2.09197162e-01   1.75633205e-01
     6       2   6.55589228e-03   1.65889756e-05
     6       3   1.30793916e-07   1.15927732e-10
     6       4   2.50287955e-13   1.35960690e-15
     7       1   5.53691845e-01   7.39482611e-01
     7       2   3.42300751e-02   1.21204669e-04
     7       3   9.10224648e-07   9.57636622e-10
     7       4   1.99959766e-12   4.43493602e-16
     8       1   2.10387039e+01   9.10354175e+02
     8       2   4.75047381e+01   2.05606356e-01
     8       3   1.32907145e-03   1.65673965e-06
     8       4   2.97668465e-09   4.58730770e-13
     8       5   0.00000000e+00   0.00000000e+00
     9       1   1.00102046e+00   1.00091176e+00
     9       2   5.47209181e-02   2.05523910e-04
     9       3   1.58416522e-06   1.67611592e-09
     9       4   3.59070513e-12   1.92482967e-15
    10       1   3.53463070e-01   4.25734319e-01
    10       2   2.93300128e-02   9.74955515e-05
    10       3   8.80239140e-07   8.05430548e-10
    10       4   2.02003481e-12   8.50196811e-16
    11       1   2.47371914e-01   1.49795943e-01
    11       2   1.91061978e-02   4.48490559e-05
    11       3   6.18617774e-07   3.80321086e-10
    11       4   1.45492282e-12   1.44561672e-16
    12       1   3.74718546e+03   8.60319135e-02
    12       2   8.97921221e-01   1.56438418e-06
    12       3   5.92323572e-07   4.08824965e-12
    12       4   2.30366274e-11   0.00000000e+00
    13       1   1.00172945e+00   3.76974953e-01
    13       2   1.35461230e-02   6.14978611e-05
    13       3   3.58158737e-07   4.84489151e-10
    13       4   7.83660711e-13   2.16196758e-16
    14       1   5.18036508e-01   8.95155004e-01
    14       2   9.42706999e-03   1.75174068e-04
    14       3   2.67723452e-07   1.41808557e-09
    14       4   6.02118260e-13   2.04899071e-15
    15       1   2.83781721e-01   2.61539291e+00
    15       2   6.12507653e-03   5.91369531e-04
    15       3   1.82669295e-07   4.87284362e-09
    15       4   4.18078379e-13   4.44737240e-15
    16       1   9.67475602e-02   3.55679326e+03
    16       2   2.82210005e-03   7.77582563e+00
    16       3   9.27495447e-08   6.62279614e-05
    16       4   2.18935395e-13   7.84665965e-12
    17       1   1.04376693e-01   1.00004179e+00
    17       2   1.06390405e-03   6.80181023e-05
    17       3   1.63742172e-08   4.14243378e-10
    17       4   2.57207303e-14   1.49319671e-15
    18       1   3.95755128e-01   7.24630703e-01
    18       2   6.71344130e-03   1.19894311e-04
    18       3   1.78756257e-07   9.47342968e-10
    18       4   3.92247057e-13   1.23339369e-15
    19       1   1.09149390e+00   4.73181604e-01
    19       2   1.93066215e-02   9.26001817e-05
    19       3   5.48380856e-07   7.49700150e-10
    19       4   1.23363272e-12   5.63085739e-15
    20       1   6.32337994e+01   2.74461697e-01
    20       2   1.36589255e+01   6.25219210e-05
    20       3   4.07947154e-04   5.15472998e-10
    20       4   9.34140027e-10   9.42726297e-16
    20       5   0.00000000e+00   0.00000000e+00
    21       1   1.00188169e+00   7.99501354e-02
    21       2   1.21998714e-02   2.94618851e-05
    21       3   4.11572146e-07   2.52986615e-10
    21       4   9.78576022e-13   8.67329648e-16
    22       1   2.10262431e-01   1.75048553e-01
    22       2   6.52340878e-03   1.64812947e-05
    22       3   1.29876808e-07   1.15050505e-10
    22       4   2.47762466e-13   0.00000000e+00
    23       1   5.51350251e-01   7.37666984e-01
    23       2   3.41338240e-02   1.20864585e-04
    23       3   9.07534120e-07   9.54885962e-10
    23       4   1.99287626e-12   1.77119427e-15
    24       1   2.19845154e+01   3.43140197e+02
    24       2   1.58092509e+01   6.86852836e-02
    24       3   4.42668916e-04   5.53439258e-07
    24       4   9.91468649e-10   1.33165003e-13
    24       5   1.19229959e-14   0.00000000e+00
    25       1   1.00306729e+00   1.00273242e+00
    25       2   5.48188797e-02   2.05863705e-04
