  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
    25       5   3.20865309e-11   6.71089064e-13
    26       1   9.69843965e-01   5.02951927e-02
    26       2   8.05242567e-03   1.11859082e-04
    26       3   1.79073243e-05   2.48752602e-07
    26       4   3.98223595e-08   5.53054755e-10
    26       5   8.85377328e-11   9.86335502e-13
    27       1   3.25634252e+00   1.83865940e-01
    27       2   1.18351270e-01   4.09048774e-04
    27       3   2.63259127e-04   9.09644370e-07
    27       4   5.85436555e-07   2.02291641e-09
    27       5   1.30192502e-09   4.90919590e-12
    27       6   3.16000722e-12   0.00000000e+00
    28       1   1.66429635e+00   4.45484548e-01
    28       2   1.16421785e-01   9.91652010e-04
    28       3   2.58832035e-04   2.20524321e-06
    28       4   5.75591030e-07   4.90419971e-09
    28       5   1.28004617e-09   1.09997120e-11
    28       6   2.87102831e-12   0.00000000e+00
    29       1   4.75287304e-01   1.46195778e+00
    29       2   7.52101376e-02   3.26170939e-03
    29       3   1.67224516e-04   7.25344959e-06
    29       4   3.71874132e-07   1.61306118e-08
    29       5   8.26993801e-10   3.57794355e-11
    29       6   1.83433590e-12   2.42503551e-13
    30       1   2.20543476e-01   2.44653099e+00
    30       2   6.33086088e-02   5.41116152e-03
    30       3   1.40766019e-04   1.20332091e-05
    30       4   3.13035710e-07   2.67597193e-08
    30       5   6.96135969e-10   5.96213111e-11
    30       6   1.55088371e-12   9.29207699e-15
    31       1   1.69151734e-01   7.14716940e-01
    31       2   5.13677032e-02   1.58686710e-03
    31       3   1.14218575e-04   3.52886650e-06
    31       4   2.53999482e-07   7.84735304e-09
    31       5   5.64834022e-10   1.74621437e-11
    31       6   1.25685034e-12   9.73969487e-15
    32       1   1.96100798e-01   3.98501615e-01
    32       2   3.69196311e-02   8.85404216e-04
    32       3   8.20952244e-05   1.96896031e-06
    32       4   1.82563539e-07   4.37845241e-09
    32       5   4.05973536e-10   9.70089322e-12
    32       6   8.99637409e-13   2.93508898e-14
    33       1   2.32114340e-01   2.49385341e-01
    33       2   2.31086091e-02   5.54276328e-04
    33       3   5.13863398e-05   1.23259965e-06
    33       4   1.14273065e-07   2.74116698e-09
    33       5   2.54130921e-10   5.90299300e-12
    33       6   5.47046535e-13   0.00000000e+00
    34       1   2.46025967e-01   1.55114157e-01
    34       2   1.26704998e-02   3.44824291e-04
    34       3   2.81758940e-05   7.66820402e-07
    34       4   6.26576088e-08   1.70547838e-09
    34       5   1.39356335e-10   3.79165568e-12
    34       6   3.09796269e-13   0.00000000e+00
    35       1   2.35741824e-01   8.77855299e-02
    35       2   5.97370954e-03   1.95179570e-04
    35       3   1.32841732e-05   4.34040360e-07
    35       4   2.95413584e-08   9.65544787e-10
    35       5   6.57160331e-11   1.92318584e-12
    36       1   2.08828264e-01   3.84229732e-02
    36       2   2.14706178e-03   8.54378000e-05
    36       3   4.77461835e-06   1.89997165e-07
    36       4   1.06178309e-08   4.22288202e-10
    36       5   2.35991408e-11   8.36710047e-13
    37       1   1.72244954e-01   4.40387440e-03
    37       2   2.04575392e-04   9.79325033e-06
    37       3   4.54935031e-07   2.17783562e-08
    37       4   1.01169006e-09   4.86860770e-11
    37       5   2.26203119e-12   1.46969895e-13
    38       1   1.30267024e-01   1.48065022e-02
    38       2   5.89839419e-04   3.29278197e-05
    38       3   1.31168805e-06   7.32250414e-08
    38       4   2.91693791e-09   1.62830905e-10
    38       5   6.48623955e-12   1.75438063e-13
    39       1   8.50400429e-02   2.02897186e-02
    39       2   7.25332357e-04   4.51223613e-05
    39       3   1.61299845e-06   1.00342858e-07
    39       4   3.58697688e-09   2.23599363e-10
    39       5   7.99283749e-12   7.58004792e-14
    40       1   3.73623133e-02   1.56022589e-02
    40       2   5.28930271e-04   3.46975446e-05
    40       3   1.17623779e-06   7.71603920e-08
    40       4   2.61571710e-09   1.71985324e-10
    40       5   5.83026082e-12   8.11312051e-14
