  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   8.03152663e-03   4.57847658e-04
     1       3   8.06973568e-07   1.74049687e-08
     1       4   7.64779987e-12   3.71196361e-13
     2       1   2.39899213e+00   6.74818274e-01
     2       2   9.45385849e-02   8.17738972e-04
     2       3   1.69806843e-05   4.11607732e-08
     2       4   2.31742892e-10   2.86995351e-13
     2       5   1.90952542e-14   0.00000000e+00
     3       1   2.24725770e+00   2.73095989e-01
     3       2   1.03520497e-01   5.22845436e-04
     3       3   2.14472201e-05   2.77186350e-08
     3       4   3.07631729e-10   1.53964771e-13
     3       5   2.32266459e-14   0.00000000e+00
     4       1   2.54798423e-01   3.76104576e-01
     4       2   2.51208396e-02   1.34720175e-04
     4       3   2.04268856e-06   4.50511756e-09
     4       4   1.51792197e-11   8.14236829e-14
     5       1   8.71808124e+00   8.21733463e+02
     5       2   1.12936193e+03   9.09915315e+00
     5       3   1.63935539e-01   4.52658007e-04
     5       4   2.21178046e-06   2.73224822e-09
     5       5   1.43874276e-10   1.00759872e-14
     5       6   0.00000000e+00   0.00000000e+00
     6       1   1.00011884e+00   1.00012049e+00
     6       2   1.55783563e-01   1.40294770e-03
     6       3   2.96714980e-05   7.22674024e-08
     6       4   4.14590862e-10   3.51767787e-13
     6       5   2.76450604e-14   0.00000000e+00
     7       1   2.35476477e-01   2.73103241e-01
     7       2   1.13651707e-01   5.90258224e-04
     7       3   2.44945709e-05   3.17680664e-08
     7       4   3.56693441e-10   7.28693978e-14
     7       5   2.01644617e-14   0.00000000e+00
     8       1   1.70474594e+00   3.75947517e-01
     8       2   3.16810570e-02   2.06129251e-04
     8       3   3.64278126e-06   8.42984158e-09
     8       4   3.85435609e-11   1.31065721e-13
     9       1   6.85166420e-01   2.06881300e+00
     9       2   3.17166574e-02   2.62656248e-03
     9       3   5.78968500e-06   1.33011063e-07
     9       4   7.94764039e-11   8.61384355e-13
    10       1   2.43491872e-01   4.89378376e+02
    10       2   1.69522758e-02   1.06772897e+02
    10       3   3.57295242e-06   5.72907043e-03
    10       4   5.15589724e-11   1.85903362e-08
    10       5   3.10863744e-15   1.21771639e-12
    11       1   3.10030381e-01   9.99981162e-01
    11       2   8.02362009e-03   4.57430111e-04
    11       3   8.05543527e-07   1.73809728e-08
    11       4   7.62831018e-12   3.61558886e-13
    12       1   2.39764061e+00   6.74899224e-01
    12       2   9.44874952e-02   8.17772519e-04
    12       3   1.69709951e-05   4.11619787e-08
    12       4   2.31607925e-10   2.35787780e-13
    12       5   1.59794347e-14   0.00000000e+00
    13       1   2.24816316e+00   2.73190339e-01
    13       2   1.03572010e-01   5.22931591e-04
    13       3   2.14569155e-05   2.77227448e-08
    13       4   3.07771540e-10   1.10100331e-13
    13       5   2.07883099e-14   0.00000000e+00
    14       1   2.55145857e-01   3.75877540e-01
    14       2   2.50925406e-02   1.34477217e-04
    14       3   2.03776897e-06   4.49306441e-09
    14       4   1.51121163e-11   1.31052770e-13
    15       1   8.73765150e+00   6.90062796e+02
    15       2   3.16294619e+02   3.10783450e+00
    15       3   5.20551056e-02   1.54558505e-04
    15       4   7.02302701e-07   1.00001092e-09
    15       5   5.06978605e-11   3.85387765e-15
    16       1   1.00037425e+00   1.00035287e+00
    16       2   1.55811057e-01   1.40319950e-03
    16       3   2.96762051e-05   7.22799249e-08
    16       4   4.14655426e-10   3.52817460e-13
    16       5   2.72049004e-14   0.00000000e+00
    17       1   2.34953673e-01   2.73224331e-01
    17       2   1.13651484e-01   5.90396545e-04
    17       3   2.44933089e-05   3.17749984e-08
    17       4   3.56673149e-10   6.88286689e-14
    17       5   1.92425314e-14   0.00000000e+00
    18       1   1.70526504e+00   3.75762742e-01
    18       2   3.16727429e-02   2.05892159e-04
    18       3   3.63996998e-06   8.41782650e-09
    18       4   3.85002204e-11   9.21301819e-14
    19       1   6.85270360e-01   2.06797407e+00
    19       2   3.17189932e-02   2.62529270e-03
    19       3   5.78994485e-06   1.32945252e-07
    19       4   7.94785635e-11   8.73241669e-13
    20       1   2.43583647e-01   4.84979715e+02
    20       2   1.69562606e-02   5.34000901e+01
    20       3   3.57361427e-06   2.85703788e-03
    20       4   5.15681816e-11   9.10372717e-09
    20       5   2.99762725e-15   6.14877844e-13
