  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   3.34648329e-01   8.67615826e-03
     1       3   6.13601552e-04   6.68418908e-06
     1       4   1.83418161e-07   2.26164967e-09
     1       5   5.62331166e-10   1.22105680e-11
     1       6   8.95351045e-13   1.00905446e-14
     2       1   1.70162242e+00   2.76729931e-03
     2       2   3.63945091e-01   1.75868693e-02
     2       3   1.66137118e-03   2.18599354e-05
     2       4   9.60095774e-07   4.44806176e-09
     2       5   7.94094837e-10   2.64156615e-11
     2       6   2.31351275e-12   3.40058961e-14
     3       1   1.51010716e+00   2.07269291e+00
     3       2   1.00944126e+00   3.59221224e-02
     3       3   2.98478710e-03   3.73277151e-05
     3       4   1.42003675e-06   9.57470953e-10
     3       5   1.90386480e-09   5.25980152e-11
     3       6   4.22952498e-12   5.94963167e-14
     4       1   3.05945911e+00   2.48139812e-02
     4       2   4.53329808e-01   1.92896208e-02
     4       3   2.16371944e-03   2.45469230e-05
     4       4   1.27141892e-06   5.37258506e-09
     4       5   1.00007895e-09   2.91657308e-11
     4       6   3.00875127e-12   3.89105834e-14
     5       1   8.08539905e-01   4.03537149e+01
     5       2   1.71342862e-01   3.51186100e+01
     5       3   5.63245532e-04   3.68990938e-02
     5       4   2.84461622e-07   2.91331027e-06
     5       5   3.33458502e-10   4.98098290e-08
     5       6   7.94261708e-13   5.85089433e-11
     6       1   4.09612813e+00   1.00078965e+00
     6       2   2.79530023e-01   7.78169568e-03
     6       3   4.64945069e-04   5.55095810e-06
     6       4   1.16709345e-07   2.50870732e-09
     6       5   4.61134778e-10   1.08603635e-11
     6       6   6.82483146e-13   9.57612219e-15
     7       1   1.73994384e+00   6.32382708e-02
     7       2   3.80405358e-01   1.78907389e-02
     7       3   1.68541488e-03   2.20067674e-05
     7       4   9.64394723e-07   4.27134284e-09
     7       5   8.20632455e-10   2.68281340e-11
     7       6   2.35010226e-12   3.37072950e-14
     8       1   1.53625865e+00   2.14678509e+00
     8       2   1.02250832e+00   3.63386524e-02
     8       3   2.99341114e-03   3.75712948e-05
     8       4   1.41541760e-06   7.61722236e-10
     8       5   1.92304636e-09   5.31711861e-11
     8       6   4.24338304e-12   5.92596966e-14
     9       1   3.75082599e+00   8.39701622e-02
     9       2   5.54267899e-01   1.99884005e-02
     9       3   2.56798860e-03   2.51783417e-05
     9       4   1.49519279e-06   5.29141894e-09
     9       5   1.20858832e-09   3.01708301e-11
     9       6   3.57499849e-12   4.06579114e-14
    10       1   8.29162704e-01   4.04680852e+01
    10       2   1.71982186e-01   5.24354458e+02
    10       3   5.58936537e-04   1.32016615e+00
    10       4   2.80608248e-07   9.71739488e-05
    10       5   3.33543242e-10   1.79035838e-06
    10       6   7.88406441e-13   2.07509302e-09
    10       7   4.44297797e-16   1.12136645e-11
