  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.59031008e-06   1.07773408e-07
     1       3   3.92309388e-14   2.81589841e-16
     2       1   1.16926590e-02   7.49033502e-01
     2       2   8.01306707e-06   1.86707597e-07
     2       3   3.33638470e-13   2.12008809e-15
     3       1   1.97053593e-02   5.52684019e-01
     3       2   1.45752193e-05   1.53648927e-07
     3       3   6.34656314e-13   2.52893104e-15
     4       1   2.80014305e-02   4.32394604e-01
     4       2   2.13355247e-05   1.25674214e-07
     4       3   9.45054308e-13   1.14834778e-15
     5       1   3.66909085e-02   3.52500547e-01
     5       2   2.83615685e-05   1.05021888e-07
     5       3   1.26812278e-12   1.11533172e-15
     6       1   4.59054222e-02   2.95561081e-01
     6       2   3.57338238e-05   8.94957050e-08
     6       3   1.60718046e-12   1.44041884e-15
     7       1   5.58081378e-02   2.52739011e-01
     7       2   4.35513196e-05   7.74330078e-08
     7       3   1.96737922e-12   3.91406808e-16
     8       1   6.66082586e-02   2.19166269e-01
     8       2   5.19399068e-05   6.77649416e-08
     8       3   2.35385745e-12   9.16870851e-16
     9       1   7.85830772e-02   1.91958690e-01
     9       2   6.10648173e-05   5.98032191e-08
     9       3   2.77506691e-12   7.40869479e-16
    10       1   9.21129446e-02   1.69302937e-01
    10       2   7.11505465e-05   5.30917303e-08
    10       3   3.24086358e-12   2.05146023e-16
    11       1   1.07739263e-01   1.50002095e-01
    11       2   8.25137699e-05   4.73181862e-08
    11       3   3.76649291e-12   1.04624209e-15
    12       1   1.26265691e-01   1.33233350e-01
    12       2   9.56206997e-05   4.22620630e-08
    12       3   4.37309861e-12   3.02282570e-16
    13       1   1.48945816e-01   1.18411015e-01
    13       2   1.11193308e-04   3.77630216e-08
    13       3   5.09464174e-12   1.33244487e-16
    14       1   1.77858185e-01   1.05105162e-01
    14       2   1.30421382e-04   3.37013535e-08
    14       3   5.98736308e-12   1.19239800e-16
    15       1   2.16731039e-01   9.29911726e-02
    15       2   1.55428516e-04   2.99853588e-08
    15       3   7.14954402e-12   8.65212381e-16
    16       1   2.73003790e-01   8.18172522e-02
