  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.56708309e+00   4.73755501e-01
     1       3   1.68181681e-01   1.39047188e-02
     1       4   1.04887855e-01   2.81759497e-03
     1       5   7.92006334e-02   1.32770806e-03
     1       6   4.14080718e-02   5.62029650e-04
     1       7   2.38950378e-03   4.45173971e-05
     2       1   7.04538374e-01   9.28716849e-02
     2       2   6.98419651e-01   6.82195261e-02
     2       3   2.24204834e-03   1.31132869e-02
     2       4   2.50052732e-02   3.29072631e-03
     2       5   4.51686661e-04   1.38242862e-03
     3       1   4.03268681e-01   1.21391556e-01
     3       2   3.46582900e-01   5.39643525e-02
     3       3   1.37312054e-01   4.70503391e-02
     3       4   1.13655146e-02   1.97235868e-02
     3       5   2.60962755e-03   9.34026152e-03
     3       6   1.86878653e-04   1.12978272e-02
     3       7   2.59679731e-03   5.34187197e-03
     3       8   1.36607133e-04   3.54201537e-04
     4       1   1.38957465e-01   1.12755875e-01
     4       2   6.81557779e-03   3.29857507e-02
     4       3   1.99478395e-03   2.27776545e-02
     4       4   2.11334029e-03   5.15042794e-04
     5       1   1.65458560e-01   7.81277050e-02
     5       2   4.26178000e-03   3.62896886e-02
     5       3   9.22284974e-04   9.04529400e-03
     5       4   8.71242230e-05   1.99797033e-04
