  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   3.39337257e-01   8.47771274e-03
     1       3   5.52222297e-04   4.42274537e-06
     1       4   1.19990223e-07   4.70506977e-10
     1       5   7.00328023e-12   8.87755009e-14
     2       1   1.72630748e+00   1.80228512e-02
     2       2   3.74526566e-01   1.76883753e-02
     2       3   1.67232266e-03   1.74887022e-05
     2       4   5.84529538e-07   2.72304037e-09
     2       5   4.71903840e-11   2.14490755e-14
     3       1   1.48898433e+00   2.03659481e+00
     3       2   1.03915233e+00   3.52729297e-02
     3       3   2.89674608e-03   2.79911161e-05
     3       4   8.89184220e-07   3.99381069e-09
     3       5   6.67873033e-11   3.01876807e-14
     4       1   2.63424986e+00   1.94114065e-02
     4       2   3.86964148e-01   1.90267326e-02
     4       3   1.84259101e-03   1.95646574e-05
     4       4   6.60837974e-07   3.09945576e-09
     4       5   5.34110364e-11   1.41603456e-13
     5       1   7.86968122e-01   3.82503645e+01
     5       2   1.72886203e-01   1.18060590e+03
     5       3   5.43570308e-04   3.09761807e+02
     5       4   1.73223023e-07   4.74689704e-02
     5       5   1.32280859e-11   2.42811151e-06
     5       6   4.44089230e-16   6.52812432e-12
     6       1   5.05775803e+00   9.99999933e-01
     6       2   3.39331402e-01   8.47762791e-03
     6       3   5.52207565e-04   4.42265950e-06
     6       4   1.19985968e-07   4.70339777e-10
     6       5   6.91062544e-12   1.39022455e-15
     7       1   1.72631115e+00   1.80168317e-02
     7       2   3.74528115e-01   1.76884037e-02
     7       3   1.67232413e-03   1.74887096e-05
     7       4   5.84529292e-07   2.72166281e-09
     7       5   4.68567411e-11   5.95805902e-15
     8       1   1.48898685e+00   2.03660106e+00
     8       2   1.03915390e+00   3.52729595e-02
     8       3   2.89674757e-03   2.79911202e-05
     8       4   8.89182417e-07   3.99362093e-09
     8       5   6.67260027e-11   1.09033470e-13
     9       1   2.63427811e+00   1.94053520e-02
     9       2   3.86971144e-01   1.90268001e-02
     9       3   1.84261780e-03   1.95647025e-05
     9       4   6.60847032e-07   3.09872391e-09
     9       5   5.32480860e-11   6.89148026e-14
    10       1   7.86970028e-01   3.82503951e+01
    10       2   1.72886272e-01   1.17699034e+03
    10       3   5.43569881e-04   1.58457350e+02
    10       4   1.73222432e-07   2.37321905e-02
    10       5   1.32240897e-11   9.54952276e-07
    10       6   2.22044625e-16   9.77456741e-14
