  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.59033379e-06   1.06865230e-07
     1       3   3.83393265e-14   9.85550279e-16
     2       1   1.16926588e-02   7.49033429e-01
     2       2   8.01317953e-06   1.85681157e-07
     2       3   3.29241072e-13   7.06686079e-16
     3       1   1.97053580e-02   5.52683961e-01
     3       2   1.45754215e-05   1.52839679e-07
     3       3   6.27068031e-13   1.64378224e-15
     4       1   2.80014266e-02   4.32394545e-01
     4       2   2.13358178e-05   1.25023249e-07
     4       3   9.33707977e-13   5.74165939e-16
     5       1   3.66908996e-02   3.52500479e-01
     5       2   2.83619535e-05   1.04482783e-07
     5       3   1.25305231e-12   9.29430330e-16
     6       1   4.59054048e-02   2.95561001e-01
     6       2   3.57343018e-05   8.90390119e-08
     6       3   1.58795883e-12   4.05930686e-15
     7       1   5.58081070e-02   2.52738915e-01
     7       2   4.35518911e-05   7.70394958e-08
     7       3   1.94397402e-12   2.15270839e-15
     8       1   6.66082073e-02   2.19166157e-01
     8       2   5.19405719e-05   6.74217130e-08
     8       3   2.32600858e-12   2.13933675e-15
     9       1   7.85829951e-02   1.91958560e-01
     9       2   6.10655754e-05   5.95010994e-08
     9       3   2.74222998e-12   1.35824279e-15
    10       1   9.21128165e-02   1.69302788e-01
    10       2   7.11513951e-05   5.28241095e-08
    10       3   3.20279478e-12   2.05143353e-16
    11       1   1.07739066e-01   1.50001924e-01
    11       2   8.25147034e-05   4.70801762e-08
    11       3   3.72206648e-12   1.39497158e-15
    12       1   1.26265389e-01   1.33233158e-01
    12       2   9.56217072e-05   4.20498775e-08
    12       3   4.32179428e-12   2.26709074e-15
    13       1   1.48945349e-01   1.18410800e-01
    13       2   1.11194367e-04   3.75737456e-08
    13       3   5.03484792e-12   0.00000000e+00
    14       1   1.77857451e-01   1.05104922e-01
    14       2   1.30422452e-04   3.35327466e-08
    14       3   5.91693994e-12   2.86172063e-15
    15       1   2.16729838e-01   9.29909051e-02
    15       2   1.55429506e-04   2.98356504e-08
    15       3   7.06526026e-12   2.16300547e-16
    16       1   2.73001699e-01   8.18169557e-02
    16       2   1.90436974e-04   2.64106894e-08
    16       3   8.67529534e-12   0.00000000e+00
    17       1   3.64007472e-01   7.13824339e-02
    17       2   2.45255186e-04   2.32002860e-08
    17       3   1.11986317e-11   1.84426685e-16
    18       1   5.41717765e-01   6.15228884e-02
    18       2   3.49244790e-04   2.01564314e-08
    18       3   1.59911737e-11   0.00000000e+00
    19       1   1.06601122e+00   5.20993270e-02
    19       2   6.49041043e-04   1.72383117e-08
    19       3   2.98175369e-11   0.00000000e+00
    20       1   1.73003513e+03   4.29901778e-02
    20       2   4.28721538e+01   1.44097516e-08
    20       3   1.97822955e-06   1.41308784e-15
    20       4   0.00000000e+00   0.00000000e+00
    21       1   9.99985747e-01   3.40849218e-02
