  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       4       4       1       2       1       0
     2       7       3       1       4       0       0
     3      10       3       1       6       0       0
     4      13       3       1       8       0       0
     5      16       3       1      10       0       0
     6      18       2       1      11       0       0
     7      20       2       1      12       0       0
     8      22       2       1      13       0       0
     9      24       2       1      14       0       0
    10      26       2       1      15       0       0
    11      28       2       1      16       0       0
    12      30       2       1      17       0       0
    13      32       2       1      18       0       0
    14      34       2       1      19       0       0
    15      36       2       1      20       0       0
    16      38       2       1      19       0       2
    17      40       2       1      18       0       2
    18      42       2       1      17       0       2
    19      44       2       1      16       0       2
    20      46       2       1      15       0       2
    21      48       2       1      15       0       1
    22      50       2       1      15       0       1
    23      52       2       1      15       0       1
    24      54       2       1      15       0       1
    25      56       2       1      15       0       1
    26      58       2       1      15       0       1
    27      60       2       1      15       0       1
    28      62       2       1      15       0       1
    29      64       2       1      15       0       1
    30      66       2       1      15       0       1
    31      68       2       1      15       1       0
    32      70       2       1      15       0       1
    33      72       2       1      15       1       0
    34      74       2       1      15       1       0
    35      76       2       1      15       0       1
    36      78       2       1      14       2       0
    37      80       2       1      13       2       0
    38      82       2       1      14       0       0
    39      84       2       1      13       2       0
    40      86       2       1      12       2       0
    41      88       2       1      13       0       0
    42      90       2       1      14       0       0
    43      92       2       1      13       2       0
    44      94       2       1      14       0       0
    45      96       2       1      14       1       0
    46      98       2       1      14       1       0
    47     100       2       1      14       1       0
    48     102       2       1      13       2       0
    49     104       2       1      12       2       0
    50     106       2       1      13       0       0
    51     108       2       1      13       1       0
    52     110       2       1      12       2       0
    53     112       2       1      12       1       0
    54     114       2       1      13       0       0
    55     116       2       1      13       1       0
    56     118       2       1      14       0       0
    57     120       2       1      14       1       0
    58     122       2       1      15       0       0
    59     124       2       1      15       1       0
    60     126       2       1      14       2       0
    61     128       2       1      14       1       0
    62     130       2       1      14       1       0
    63     132       2       1      15       0       0
    64     134       2       1      15       1       0
    65     136       2       1      15       1       0
    66     138       2       1      14       2       0
    67     140       2       1      14       1       0
    68     142       2       1      15       0       0
    69     144       2       1      15       1       0
    70     146       2       1      15       1       0
    71     148       2       1      15       1       0
    72     150       2       1      15       1       0
    73     152       2       1      15       1       0
    74     154       2       1      15       1       0
    75     156       2       1      15       0       1
    76     158       2       1      15       1       0
    77     160       2       1      15       0       1
    78     162       2       1      15       1       0
    79     164       2       1      15       0       1
    80     166       2       1      15       1       0
    81     168       2       1      15       0       1
    82     170       2       1      15       0       1
    83     172       2       1      15       0       1
    84     174       2       1      15       1       0
    85     176       2       1      15       0       1
    86     178       2       1      15       0       1
    87     180       2       1      15       0       1
    88     182       2       1      15       0       1
    89     184       2       1      15       0       1
    90     186       2       1      15       1       0
    91     188       2       1      15       0       1
    92     190       2       1      14       2       0
    93     192       2       1      14       1       0
    94     194       2       1      14       1       0
    95     196       2       1      14       1       0
    96     198       2       1      12       3       0
    97     200       2       1      12       1       0
    98     202       2       1      12       1       0
    99     204       2       1      12       1       0
   100     206       2       1      11       2       0
   101     208       2       1      12       0       0
   102     210       2       1      12       1       0
   103     212       2       1      12       1       0
   104     214       2       1      12       1       0
   105     216       2       1      11       2       0
   106     218       2       1      12       0       0
   107     220       2       1      12       1       0
   108     222       2       1      12       1       0
   109     224       2       1      12       1       0
   110     226       2       1      12       1       0
   111     228       2       1      12       1       0
   112     230       2       1      11       2       0
   113     232       2       1      12       0       0
   114     234       2       1      12       1       0
   115     236       2       1      11       2       0
   116     238       2       1      12       0       0
   117     240       2       1      12       1       0
   118     242       2       1      12       1       0
   119     244       2       1      12       1       0
   120     246       2       1      12       1       0
   121     248       2       1      12       1       0
   122     250       2       1      12       1       0
   123     252       2       1      12       1       0
   124     254       2       1      12       1       0
   125     256       2       1      12       1       0
   126     258       2       1      12       1       0
   127     260       2       1      12       1       0
   128     262       2       1      11       2       0
   129     264       2       1      11       1       0
   130     266       2       1      11       1       0
   131     268       2       1      12       0       0
   132     270       2       1      12       1       0
   133     272       2       1      12       1       0
   134     274       2       1      13       0       0
   135     276       2       1      13       1       0
   136     278       2       1      13       1       0
   137     280       2       1      13       1       0
   138     282       2       1      14       0       0
   139     284       2       1      14       1       0
   140     286       2       1      14       1       0
   141     288       2       1      14       1       0
   142     290       2       1      14       1       0
   143     292       2       1      15       0       0
   144     294       2       1      15       1       0
   145     296       2       1      15       1       0
   146     298       2       1      15       1       0
   147     300       2       1      15       0       1
   148     302       2       1      15       0       1
   149     304       2       1      14       2       0
   150     306       2       1      15       0       0
   151     308       2       1      15       0       1
   152     310       2       1      15       1       0
   153     312       2       1      15       0       1
   154     314       2       1      15       1       0
   155     316       2       1      15       1       0
   156     318       2       1      15       0       1
   157     320       2       1      15       1       0
   158     322       2       1      15       0       1
   159     324       2       1      14       2       0
   160     326       2       1      15       0       0
   161     328       2       1      15       0       1
   162     330       2       1      15       0       1
   163     332       2       1      15       1       0
   164     334       2       1      15       1       0
   165     336       2       1      15       0       1
   166     338       2       1      14       2       0
   167     340       2       1      14       1       0
   168     342       2       1      14       1       0
   169     344       2       1      15       0       0
   170     346       2       1      14       2       0
   171     348       2       1      15       0       0
   172     350       2       1      14       2       0
   173     352       2       1      13       2       0
   174     354       2       1      13       1       0
   175     356       2       1      13       1       0
   176     358       2       1      13       1       0
   177     360       2       1      12       2       0
   178     362       2       1      12       1       0
   179     364       2       1      12       1       0
   180     366       2       1      13       0       0
   181     368       2       1      13       1       0
   182     370       2       1      12       2       0
   183     372       2       1      12       1       0
   184     374       2       1      12       1       0
   185     376       2       1      12       1       0
   186     378       2       1      12       1       0
   187     380       2       1      12       1       0
   188     382       2       1      12       1       0
   189     384       2       1      12       1       0
   190     386       2       1      13       0       0
   191     388       2       1      13       1       0
   192     390       2       1      13       1       0
   193     392       2       1      13       1       0
   194     394       2       1      13       1       0
   195     396       2       1      13       1       0
   196     398       2       1      13       1       0
   197     400       2       1      13       1       0
   198     402       2       1      13       1       0
   199     404       2       1      13       1       0
   200     406       2       1      13       1       0
   201     408       2       1      13       1       0
   202     410       2       1      13       1       0
   203     412       2       1      13       1       0
   204     414       2       1      13       1       0
   205     416       2       1      14       0       0
   206     418       2       1      14       1       0
   207     420       2       1      14       1       0
   208     422       2       1      14       1       0
   209     424       2       1      14       1       0
   210     426       2       1      14       1       0
   211     428       2       1      14       1       0
   212     430       2       1      14       1       0
   213     432       2       1      13       2       0
   214     434       2       1      14       0       0
   215     436       2       1      14       1       0
   216     438       2       1      14       1       0
   217     440       2       1      14       1       0
   218     442       2       1      13       2       0
   219     444       2       1      13       1       0
   220     446       2       1      14       0       0
   221     448       2       1      14       1       0
   222     450       2       1      13       2       0
   223     452       2       1      13       1       0
   224     454       2       1      14       0       0
   225     456       2       1      14       1       0
   226     458       2       1      14       1       0
   227     460       2       1      15       0       0
   228     462       2       1      15       0       1
   229     464       2       1      15       1       0
   230     466       2       1      15       1       0
   231     468       2       1      15       1       0
   232     470       2       1      15       0       1
   233     472       2       1      15       0       1
   234     474       2       1      14       2       0
   235     476       2       1      13       2       0
   236     478       2       1      14       0       0
   237     480       2       1      15       0       0
   238     482       2       1      14       2       0
   239     484       2       1      13       2       0
   240     486       2       1      13       1       0
   241     488       2       1      13       1       0
   242     490       2       1      14       0       0
   243     492       2       1      14       1       0
   244     494       2       1      14       1       0
   245     496       2       1      15       0       0
   246     498       2       1      14       2       0
   247     500       2       1      14       1       0
   248     502       2       1      14       1       0
   249     504       2       1      15       0       0
   250     506       2       1      15       1       0
   251     508       2       1      15       1       0
   252     510       2       1      15       0       1
   253     512       2       1      14       2       0
   254     514       2       1      14       1       0
   255     516       2       1      14       1       0
   256     518       2       1      13       2       0
   257     520       2       1      13       1       0
   258     522       2       1      13       1       0
   259     524       2       1      13       1       0
   260     526       2       1      13       1       0
   261     528       2       1      13       1       0
   262     530       2       1      14       0       0
   263     532       2       1      14       1       0
   264     534       2       1      14       1       0
   265     536       2       1      14       1       0
   266     538       2       1      14       1       0
   267     540       2       1      14       1       0
   268     542       2       1      14       1       0
   269     544       2       1      14       1       0
   270     546       2       1      14       1       0
   271     548       2       1      13       2       0
   272     550       2       1      13       1       0
   273     552       2       1      13       1       0
   274     554       2       1      13       1       0
   275     556       2       1      13       1       0
   276     558       2       1      13       1       0
   277     560       2       1      12       2       0
   278     562       2       1      12       1       0
   279     564       2       1      12       1       0
   280     566       2       1      12       1       0
   281     568       2       1      13       0       0
   282     570       2       1      13       1       0
   283     572       2       1      13       1       0
   284     574       2       1      13       1       0
   285     576       2       1      13       1       0
   286     578       2       1      13       1       0
   287     580       2       1      14       0       0
   288     582       2       1      13       2       0
   289     584       2       1      12       2       0
   290     586       2       1      12       1       0
   291     588       2       1      12       1       0
   292     590       2       1      12       1       0
   293     592       2       1      12       1       0
   294     594       2       1      12       1       0
   295     596       2       1      12       1       0
   296     598       2       1      12       1       0
   297     600       2       1      13       0       0
