  TimeWindow  TotalIterations  Iterations  Convergence
   353     712       2       1
   354     714       2       1
   355     716       2       1
   356     718       2       1
   357     720       2       1
   358     722       2       1
   359     724       2       1
   360     726       2       1
   361     728       2       1
   362     730       2       1
   363     732       2       1
   364     734       2       1
   365     736       2       1
   366     738       2       1
   367     740       2       1
   368     742       2       1
   369     744       2       1
   370     746       2       1
   371     748       2       1
   372     750       2       1
   373     752       2       1
   374     754       2       1
   375     756       2       1
   376     758       2       1
   377     760       2       1
   378     762       2       1
   379     764       2       1
   380     766       2       1
   381     768       2       1
   382     770       2       1
   383     772       2       1
   384     774       2       1
   385     776       2       1
   386     778       2       1
   387     780       2       1
   388     782       2       1
   389     784       2       1
   390     786       2       1
   391     788       2       1
   392     790       2       1
   393     792       2       1
   394     794       2       1
   395     796       2       1
   396     798       2       1
   397     800       2       1
   398     802       2       1
   399     804       2       1
   400     806       2       1
   401     808       2       1
   402     810       2       1
   403     812       2       1
   404     814       2       1
   405     816       2       1
   406     818       2       1
   407     820       2       1
   408     822       2       1
   409     824       2       1
   410     826       2       1
   411     828       2       1
   412     830       2       1
   413     832       2       1
   414     834       2       1
   415     836       2       1
   416     838       2       1
   417     840       2       1
   418     842       2       1
   419     844       2       1
   420     846       2       1
   421     848       2       1
   422     850       2       1
   423     852       2       1
   424     854       2       1
   425     856       2       1
   426     858       2       1
   427     860       2       1
   428     862       2       1
   429     864       2       1
   430     866       2       1
   431     868       2       1
   432     870       2       1
   433     872       2       1
   434     874       2       1
   435     876       2       1
   436     878       2       1
   437     880       2       1
   438     882       2       1
   439     884       2       1
   440     886       2       1
   441     888       2       1
   442     890       2       1
   443     892       2       1
   444     894       2       1
   445     896       2       1
   446     898       2       1
   447     900       2       1
   448     902       2       1
   449     904       2       1
   450     906       2       1
   451     908       2       1
   452     910       2       1
   453     912       2       1
   454     914       2       1
   455     916       2       1
   456     918       2       1
   457     920       2       1
   458     922       2       1
   459     924       2       1
   460     926       2       1
   461     928       2       1
   462     930       2       1
   463     932       2       1
   464     934       2       1
   465     936       2       1
   466     938       2       1
   467     940       2       1
   468     942       2       1
   469     944       2       1
   470     946       2       1
   471     948       2       1
   472     950       2       1
   473     952       2       1
   474     954       2       1
   475     956       2       1
   476     958       2       1
   477     960       2       1
   478     962       2       1
   479     964       2       1
   480     966       2       1
   481     968       2       1
   482     970       2       1
   483     972       2       1
   484     974       2       1
   485     976       2       1
   486     978       2       1
   487     980       2       1
   488     982       2       1
   489     984       2       1
   490     986       2       1
   491     988       2       1
   492     990       2       1
   493     992       2       1
   494     994       2       1
   495     996       2       1
   496     998       2       1
   497    1000       2       1
   498    1002       2       1
   499    1004       2       1
   500    1006       2       1
   501    1008       2       1
   502    1010       2       1
   503    1012       2       1
   504    1014       2       1
   505    1016       2       1
   506    1018       2       1
   507    1020       2       1
   508    1022       2       1
   509    1024       2       1
   510    1026       2       1
   511    1028       2       1
   512    1030       2       1
   513    1032       2       1
   514    1034       2       1
   515    1036       2       1
   516    1038       2       1
   517    1040       2       1
   518    1042       2       1
   519    1044       2       1
   520    1046       2       1
   521    1048       2       1
   522    1050       2       1
   523    1052       2       1
   524    1054       2       1
   525    1056       2       1
   526    1058       2       1
   527    1060       2       1
   528    1062       2       1
   529    1064       2       1
   530    1066       2       1
   531    1068       2       1
   532    1070       2       1
   533    1072       2       1
   534    1074       2       1
   535    1076       2       1
   536    1078       2       1
   537    1080       2       1
   538    1082       2       1
   539    1084       2       1
   540    1086       2       1
   541    1088       2       1
   542    1090       2       1
   543    1092       2       1
   544    1094       2       1
   545    1096       2       1
   546    1098       2       1
   547    1100       2       1
   548    1102       2       1
   549    1104       2       1
   550    1106       2       1
   551    1108       2       1
   552    1110       2       1
   553    1112       2       1
   554    1114       2       1
   555    1116       2       1
   556    1117       1       1
   557    1119       2       1
   558    1121       2       1
   559    1123       2       1
   560    1125       2       1
   561    1127       2       1
   562    1129       2       1
   563    1131       2       1
   564    1133       2       1
   565    1135       2       1
   566    1137       2       1
   567    1139       2       1
   568    1141       2       1
   569    1143       2       1
   570    1145       2       1
   571    1147       2       1
   572    1149       2       1
   573    1151       2       1
   574    1153       2       1
   575    1155       2       1
   576    1157       2       1
   577    1159       2       1
   578    1161       2       1
   579    1163       2       1
   580    1165       2       1
   581    1167       2       1
   582    1169       2       1
   583    1171       2       1
   584    1173       2       1
   585    1175       2       1
   586    1177       2       1
   587    1179       2       1
   588    1181       2       1
   589    1183       2       1
   590    1185       2       1
   591    1187       2       1
   592    1189       2       1
   593    1191       2       1
   594    1193       2       1
   595    1195       2       1
   596    1197       2       1
   597    1199       2       1
   598    1201       2       1
   599    1203       2       1
   600    1205       2       1
   601    1207       2       1
   602    1209       2       1
   603    1211       2       1
   604    1213       2       1
   605    1215       2       1
   606    1217       2       1
   607    1219       2       1
   608    1221       2       1
   609    1223       2       1
   610    1225       2       1
   611    1227       2       1
   612    1229       2       1
   613    1231       2       1
   614    1233       2       1
   615    1235       2       1
   616    1237       2       1
   617    1239       2       1
   618    1241       2       1
   619    1243       2       1
   620    1245       2       1
   621    1247       2       1
   622    1249       2       1
   623    1251       2       1
   624    1253       2       1
   625    1255       2       1
   626    1257       2       1
   627    1259       2       1
   628    1261       2       1
   629    1263       2       1
   630    1265       2       1
   631    1267       2       1
   632    1269       2       1
   633    1271       2       1
   634    1273       2       1
   635    1275       2       1
   636    1277       2       1
   637    1278       1       1
   638    1280       2       1
   639    1282       2       1
   640    1284       2       1
   641    1286       2       1
   642    1288       2       1
   643    1290       2       1
   644    1292       2       1
   645    1294       2       1
   646    1296       2       1
   647    1298       2       1
   648    1300       2       1
   649    1302       2       1
   650    1304       2       1
   651    1306       2       1
   652    1308       2       1
   653    1310       2       1
   654    1312       2       1
   655    1314       2       1
   656    1316       2       1
   657    1318       2       1
   658    1320       2       1
   659    1322       2       1
   660    1324       2       1
   661    1326       2       1
   662    1328       2       1
   663    1330       2       1
   664    1332       2       1
   665    1334       2       1
   666    1336       2       1
   667    1338       2       1
   668    1340       2       1
   669    1342       2       1
   670    1344       2       1
   671    1346       2       1
   672    1348       2       1
   673    1350       2       1
   674    1352       2       1
   675    1354       2       1
   676    1356       2       1
   677    1358       2       1
   678    1360       2       1
   679    1362       2       1
   680    1364       2       1
   681    1366       2       1
   682    1368       2       1
   683    1370       2       1
   684    1372       2       1
   685    1374       2       1
   686    1376       2       1
   687    1378       2       1
   688    1380       2       1
   689    1382       2       1
   690    1384       2       1
   691    1386       2       1
   692    1388       2       1
   693    1390       2       1
   694    1392       2       1
   695    1394       2       1
   696    1396       2       1
   697    1398       2       1
   698    1400       2       1
   699    1402       2       1
   700    1404       2       1
   701    1406       2       1
   702    1408       2       1
   703    1410       2       1
   704    1412       2       1
   705    1414       2       1
   706    1416       2       1
   707    1418       2       1
   708    1420       2       1
   709    1422       2       1
   710    1424       2       1
   711    1426       2       1
   712    1428       2       1
   713    1430       2       1
   714    1432       2       1
   715    1434       2       1
   716    1436       2       1
   717    1438       2       1
   718    1440       2       1
   719    1442       2       1
   720    1443       1       1
   721    1444       1       1
   722    1445       1       1
   723    1446       1       1
   724    1447       1       1
   725    1448       1       1
   726    1449       1       1
   727    1450       1       1
   728    1454       4       1
   729    1458       4       1
   730    1460       2       1
   731    1462       2       1
   732    1464       2       1
   733    1466       2       1
   734    1468       2       1
   735    1470       2       1
   736    1472       2       1
   737    1474       2       1
   738    1476       2       1
   739    1478       2       1
   740    1480       2       1
   741    1482       2       1
   742    1484       2       1
   743    1486       2       1
   744    1488       2       1
   745    1490       2       1
   746    1492       2       1
   747    1494       2       1
   748    1496       2       1
   749    1498       2       1
   750    1500       2       1
   751    1502       2       1
   752    1504       2       1
   753    1506       2       1
   754    1508       2       1
   755    1510       2       1
   756    1512       2       1
   757    1514       2       1
   758    1516       2       1
   759    1518       2       1
   760    1520       2       1
   761    1522       2       1
   762    1524       2       1
   763    1526       2       1
   764    1528       2       1
   765    1530       2       1
   766    1532       2       1
   767    1534       2       1
   768    1536       2       1
   769    1538       2       1
   770    1540       2       1
   771    1542       2       1
   772    1544       2       1
   773    1546       2       1
   774    1548       2       1
   775    1550       2       1
   776    1552       2       1
