  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
    66       1   6.12322202e-03   2.96299375e-02
    66       2   5.84091605e-08   1.09063642e-03
    67       1   5.89426388e-03   2.27997386e-02
    67       2   4.49535581e-08   9.89386459e-04
    68       1   5.13693068e-03   1.48838479e-02
    68       2   4.28295913e-08   5.93242312e-04
    69       1   4.19276261e-03   1.31629761e-02
    69       2   4.57475721e-08   5.34479772e-04
    70       1   3.67994048e-03   1.69168280e-02
    70       2   4.10807509e-08   6.52520090e-04
    71       1   3.62966252e-03   2.07842073e-02
    71       2   6.93628667e-08   8.85548137e-04
    72       1   3.45938552e-03   2.45122950e-02
    72       2   9.93898000e-08   5.67332398e-04
    73       1   3.06043656e-03   2.74236442e-02
    73       2   1.53838034e-08   2.26730829e-04
    74       1   2.81308313e-03   2.74456692e-02
    74       2   4.75785765e-08   5.00078993e-04
    75       1   3.09478756e-03   2.39627399e-02
    75       2   3.05729723e-08   3.29277936e-04
    76       1   3.77219387e-03   1.98395579e-02
    76       2   2.68795885e-08   1.61401537e-04
    77       1   4.63508368e-03   1.88858654e-02
    77       2   2.72508208e-08   3.13147493e-04
    78       1   5.49647708e-03   2.18504536e-02
    78       2   3.03912621e-08   4.02330144e-04
    79       1   6.41144593e-03   2.74423736e-02
    79       2   1.65163310e-08   1.06695107e-04
    80       1   7.66034249e-03   3.45868550e-02
    80       2   3.19376359e-08   1.50754990e-04
    81       1   9.20549778e-03   4.21078786e-02
    81       2   3.78355830e-08   2.48706280e-04
    82       1   1.07005380e-02   4.84038456e-02
    82       2   3.79542751e-08   3.83973499e-04
    83       1   1.17391041e-02   5.19656255e-02
    83       2   4.40781065e-08   2.25049722e-04
    84       1   1.22011449e-02   5.26654277e-02
    84       2   4.03877646e-08   9.69073674e-05
    85       1   1.23813841e-02   5.25895278e-02
    85       2   3.61613559e-08   3.02816488e-04
    86       1   1.26674091e-02   5.43340366e-02
    86       2   2.87952516e-08   1.46593277e-04
    87       1   1.31623584e-02   5.85424970e-02
    87       2   2.68271126e-08   2.11557391e-04
    88       1   1.37769810e-02   6.40688941e-02
    88       2   3.10941692e-08   9.54938584e-05
    89       1   1.45415423e-02   7.04832124e-02
    89       2   2.42087948e-08   1.60477209e-04
    90       1   1.55059834e-02   7.93468916e-02
    90       2   2.56098810e-08   1.30978236e-04
    91       1   1.65665771e-02   9.16448407e-02
    91       2   2.84319056e-08   1.17674668e-04
    92       1   1.75338441e-02   1.05293410e-01
    92       2   5.20843314e-08   1.03269598e-04
    93       1   1.83200684e-02   1.16359082e-01
    93       2   2.72551448e-08   1.28177525e-04
    94       1   1.90014827e-02   1.22363206e-01
    94       2   3.46001874e-08   1.03524996e-04
    95       1   1.97057405e-02   1.23824093e-01
    95       2   3.06690639e-08   1.22426496e-04
    96       1   2.04591329e-02   1.22887051e-01
    96       2   2.16400963e-08   1.66741278e-04
    97       1   2.11845368e-02   1.21650431e-01
    97       2   4.50041207e-08   3.50054552e-04
    98       1   2.19212856e-02   1.21694140e-01
    98       2   5.88590917e-08   4.24326277e-04
    99       1   2.28028335e-02   1.24090312e-01
    99       2   2.57912483e-08   4.37827082e-04
   100       1   2.39523869e-02   1.28626616e-01
   100       2   3.49452142e-08   4.97406128e-04
   101       1   2.54625607e-02   1.33466277e-01
   101       2   5.90646906e-08   5.64623433e-04
   102       1   2.72441117e-02   1.36619083e-01
   102       2   6.11427819e-08   5.59025688e-04
   103       1   2.90154823e-02   1.37624352e-01
   103       2   2.20806222e-08   4.50854534e-04
   104       1   3.05201483e-02   1.37328979e-01
   104       2   2.18165287e-08   2.92406539e-04
   105       1   3.17210960e-02   1.35811005e-01
   105       2   7.21474355e-08   2.05291616e-04
   106       1   3.27912355e-02   1.31789067e-01
   106       2   5.35400084e-08   2.38669965e-04
   107       1   3.40138819e-02   1.24672030e-01
   107       2   3.03755280e-08   1.95945236e-04
   108       1   3.55824227e-02   1.16701078e-01
   108       2   4.00371440e-08   3.06867110e-04
   109       1   3.74040736e-02   1.11589957e-01
   109       2   1.57705380e-08   3.51158639e-04
   110       1   3.92440117e-02   1.11269460e-01
   110       2   1.02088918e-08   4.25445217e-04
   111       1   4.10734907e-02   1.14904526e-01
   111       2   3.78509571e-08   4.56635973e-04
   112       1   4.31362330e-02   1.20401163e-01
   112       2   8.92809866e-08   4.31917196e-04
   113       1   4.55796760e-02   1.25996548e-01
   113       2   2.79814629e-08   3.16309462e-04
   114       1   4.81139931e-02   1.30406324e-01
   114       2   5.44214315e-08   2.31724561e-04
   115       1   5.00686182e-02   1.32593879e-01
   115       2   7.95289732e-08   2.74747959e-04
   116       1   5.10244658e-02   1.32241288e-01
   116       2   8.33174125e-08   3.32027371e-04
   117       1   5.14147288e-02   1.30309618e-01
   117       2   1.85883426e-07   4.98982462e-04
   118       1   5.20905965e-02   1.28373952e-01
   118       2   5.74365161e-08   4.64623685e-04
   119       1   5.34529596e-02   1.27242174e-01
   119       2   1.61071796e-07   3.03556714e-04
   120       1   5.53967916e-02   1.26770114e-01
   120       2   3.44674878e-07   5.52539936e-04
   121       1   5.78156480e-02   1.27133047e-01
   121       2   5.43119733e-08   8.76153507e-04
   122       1   6.07275622e-02   1.29418868e-01
   122       2   1.09333062e-07   1.04795223e-03
   123       1   6.41014789e-02   1.34155055e-01
   123       2   1.88579468e-07   8.76226830e-04
   124       1   6.77209186e-02   1.39522904e-01
   124       2   6.48638913e-08   5.17920972e-04
   125       1   7.12237933e-02   1.41890674e-01
   125       2   1.27862502e-07   2.91148764e-04
   126       1   7.44418285e-02   1.38658710e-01
   126       2   2.92680904e-07   3.29779712e-04
   127       1   7.75165321e-02   1.30385905e-01
   127       2   1.76448337e-07   2.76171337e-04
   128       1   8.05836007e-02   1.19751131e-01
   128       2   2.15766838e-07   1.74352626e-04
   129       1   8.36916861e-02   1.09166254e-01
   129       2   2.63817247e-07   5.81075481e-04
   130       1   8.72187475e-02   9.98857513e-02
   130       2   3.09583789e-07   1.18059261e-03
   131       1   9.18975568e-02   9.25344242e-02
   131       2   1.52209505e-07   1.47264584e-03
   132       1   9.87922904e-02   8.73301039e-02
   132       2   1.06729200e-07   1.20284444e-03
   133       1   1.09324742e-01   8.37778310e-02
   133       2   3.13183033e-07   8.32874681e-04
   134       1   1.23764031e-01   8.09065874e-02
   134       2   2.52461931e-07   5.71727738e-04
   135       1   1.40441509e-01   7.79782049e-02
   135       2   4.01060708e-07   4.67699137e-04
   136       1   1.57478205e-01   7.45759466e-02
   136       2   2.07071983e-07   3.37310031e-04
   137       1   1.74232019e-01   7.00438794e-02
   137       2   2.58716643e-07   4.20483059e-04
   138       1   1.91342918e-01   6.34330568e-02
   138       2   3.94242165e-07   6.59379142e-04
   139       1   2.10924429e-01   5.46599904e-02
   139       2   5.35989476e-07   4.16050231e-04
   140       1   2.35457697e-01   4.56018786e-02
   140       2   1.06341731e-06   1.31190933e-04
   141       1   2.63415537e-01   3.89128426e-02
   141       2   1.14974615e-06   2.92565634e-04
   142       1   2.88459670e-01   3.57336258e-02
   142       2   3.39986278e-06   5.36437369e-04
   143       1   3.06375149e-01   3.56141918e-02
   143       2   1.70465541e-06   5.71013727e-04
   144       1   3.20674045e-01   3.73428623e-02
   144       2   1.19947203e-06   4.37154227e-04
   145       1   3.34975217e-01   3.92862054e-02
   145       2   1.81972935e-06   4.52466788e-04
   146       1   3.36303673e-01   4.02102427e-02
   146       2   3.83249757e-06   5.58860997e-04
   147       1   3.03182778e-01   3.93290979e-02
   147       2   1.09322698e-06   1.10309007e-03
   148       1   2.44386283e-01   3.60509143e-02
   148       2   1.55824558e-06   1.19362066e-03
   149       1   2.12937381e-01   3.04078209e-02
   149       2   2.19855878e-06   9.01441067e-04
   150       1   2.70953178e-01   2.35241294e-02
   150       2   4.03812141e-06   3.94120262e-04
   151       1   4.03586244e-01   1.69421990e-02
   151       2   1.25043529e-06   1.03070190e-04
   152       1   5.43862537e-01   1.18770438e-02
   152       2   5.13254397e-06   3.40539736e-04
   153       1   5.75856515e-01   9.14947165e-03
   153       2   4.30342101e-06   7.84195642e-04
   154       1   4.90797318e-01   8.55003248e-03
   154       2   3.55686412e-06   5.06493551e-04
   155       1   4.10383178e-01   8.72162403e-03
   155       2   1.00370170e-06   4.87632442e-04
   156       1   3.71907272e-01   9.53344127e-03
   156       2   6.14137701e-07   4.36932102e-04
   157       1   3.39340452e-01   1.14628206e-02
   157       2   2.24804315e-06   5.52569851e-04
   158       1   2.98860095e-01   1.60847268e-02
   158       2   1.00735713e-06   2.49713075e-04
   159       1   2.65881323e-01   2.47550262e-02
   159       2   4.10448167e-06   1.72708453e-04
   160       1   2.48107687e-01   3.56142563e-02
   160       2   2.14275304e-06   8.12828934e-05
   161       1   2.37878192e-01   4.61607848e-02
   161       2   1.08209664e-06   7.02108248e-05
   162       1   2.24080497e-01   5.51010672e-02
   162       2   5.57642720e-07   9.92100042e-05
   163       1   2.02505988e-01   6.19482336e-02
   163       2   5.87930794e-07   6.77940970e-05
   164       1   1.77695616e-01   6.64057251e-02
   164       2   7.24998552e-07   1.34452465e-04
   165       1   1.57008651e-01   6.85019458e-02
   165       2   3.69632895e-07   8.54513840e-05
   166       1   1.42899431e-01   6.88600823e-02
   166       2   2.31508785e-07   6.54592472e-05
   167       1   1.32708486e-01   6.85224248e-02
   167       2   1.66671091e-07   6.89278818e-05
   168       1   1.23883584e-01   6.84922195e-02
   168       2   1.90119565e-07   1.27366907e-04
   169       1   1.15832917e-01   6.96921912e-02
   169       2   2.65848352e-07   2.18726915e-04
   170       1   1.09105352e-01   7.28123548e-02
   170       2   2.72051673e-07   1.48719351e-04
   171       1   1.04248617e-01   7.78246196e-02
   171       2   1.46449540e-07   1.13452389e-04
   172       1   1.00729587e-01   8.34032110e-02
   172       2   1.14113497e-07   1.36626600e-04
   173       1   9.72297639e-02   8.73529009e-02
   173       2   8.14619651e-08   1.76829542e-04
   174       1   9.29573641e-02   8.81558613e-02
   174       2   3.79487584e-08   1.16553877e-04
   175       1   8.79894335e-02   8.61924768e-02
   175       2   8.75155297e-08   1.01230880e-04
   176       1   8.27803308e-02   8.32311133e-02
   176       2   6.59732041e-08   1.26661901e-04
   177       1   7.78508547e-02   8.09086279e-02
   177       2   1.07301450e-07   1.68714742e-04
   178       1   7.35776517e-02   7.99526484e-02
   178       2   9.82693753e-08   2.83806135e-04
   179       1   7.00625903e-02   8.05709216e-02
   179       2   1.54002728e-07   4.56423633e-04
   180       1   6.72734532e-02   8.29843016e-02
   180       2   1.81075990e-07   7.24168135e-04
   181       1   6.50281795e-02   8.73415712e-02
   181       2   1.05932632e-07   8.12873173e-04
   182       1   6.28080327e-02   9.32670961e-02
   182       2   2.04241142e-07   7.52700707e-04
   183       1   6.00987682e-02   9.97379706e-02
   183       2   1.56492062e-07   9.67583161e-04
   184       1   5.68532067e-02   1.05453276e-01
   184       2   1.97942073e-07   1.00257800e-03
   185       1   5.33793251e-02   1.09313846e-01
   185       2   3.18403287e-08   8.61967142e-04
   186       1   5.00365089e-02   1.10733218e-01
   186       2   1.25134490e-07   6.32515915e-04
   187       1   4.70900383e-02   1.10028051e-01
   187       2   7.23833937e-08   4.57999179e-04
   188       1   4.46219053e-02   1.08544567e-01
   188       2   7.91105347e-08   5.55022882e-04
   189       1   4.25444841e-02   1.08167123e-01
   189       2   1.16780646e-07   8.31404001e-04
   190       1   4.07680593e-02   1.10126607e-01
   190       2   6.93029971e-08   9.08518860e-04
   191       1   3.92984931e-02   1.14121997e-01
   191       2   4.70755216e-08   8.40543021e-04
   192       1   3.81720006e-02   1.18652534e-01
   192       2   4.90919017e-08   8.85981334e-04
   193       1   3.73231430e-02   1.22188740e-01
   193       2   3.81842171e-08   9.95276504e-04
