  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   2.56745201e-05   1.79523675e-06
     1       3   1.08952862e-11   3.22914051e-13
     2       1   4.83599260e-02   7.46103296e-01
     2       2   1.32473853e-04   3.07463753e-06
     2       3   9.45262440e-11   7.79949214e-13
     3       1   8.44820292e-02   5.43878223e-01
     3       2   2.49249444e-04   2.51070309e-06
     3       3   1.86291329e-10   6.52428340e-13
     3       4   0.00000000e+00   0.00000000e+00
     4       1   1.26458561e-01   4.16516217e-01
     4       2   3.82277620e-04   2.02128159e-06
     4       3   2.91201522e-10   5.31470147e-13
     4       4   1.44293677e-16   0.00000000e+00
     5       1   1.78422148e-01   3.28766541e-01
     5       2   5.41986787e-04   1.64604753e-06
     5       3   4.17621426e-10   4.32971706e-13
     5       4   0.00000000e+00   0.00000000e+00
     6       1   2.48331816e-01   2.63255865e-01
     6       2   7.48213183e-04   1.35003270e-06
     6       3   5.81499345e-10   3.59353885e-13
     6       4   0.00000000e+00   0.00000000e+00
     7       1   3.54412934e-01   2.11078193e-01
     7       2   1.04580989e-03   1.10601702e-06
     7       3   8.18951433e-10   2.93401108e-13
     7       4   1.43411637e-16   0.00000000e+00
     8       1   5.50879738e-01   1.67210027e-01
     8       2   1.56683124e-03   8.95902747e-07
     8       3   1.23639384e-09   2.36991179e-13
     8       4   0.00000000e+00   0.00000000e+00
     9       1   1.10833331e+00   1.28526889e-01
     9       2   2.96528617e-03   7.07301498e-07
     9       3   2.36105339e-09   1.88700008e-13
     9       4   2.33400115e-16   0.00000000e+00
    10       1   3.52193214e+02   9.28664037e-02
    10       2   5.87012991e+00   5.31017121e-07
    10       3   4.73283740e-06   1.43379552e-13
    10       4   7.74313594e-13   0.00000000e+00
    11       1   9.99516156e-01   5.85229533e-02
    11       2   2.01434294e-03   3.59354859e-07
    11       3   1.66045813e-09   9.96519771e-14
    11       4   2.73019580e-16   0.00000000e+00
    12       1   4.40873090e-01   2.39109582e-02
    12       2   5.68016214e-04   1.84789115e-07
    12       3   4.98500916e-10   5.10879695e-14
    12       4   1.52739303e-16   0.00000000e+00
    13       1   2.34224799e-01   1.27501312e-02
    13       2   4.28222499e-05   1.46818730e-09
    13       3   1.10046687e-11   2.48465795e-15
    14       1   1.10656327e-01   5.38746640e-02
    14       2   4.84978010e-04   2.11635991e-07
    14       3   3.39209492e-10   5.43727689e-14
    14       4   2.07932534e-16   0.00000000e+00
    15       1   1.29977458e-02   1.03348267e-01
    15       2   9.17724530e-04   4.65643111e-07
    15       3   6.79785275e-10   1.20664054e-13
    15       4   0.00000000e+00   0.00000000e+00
    16       1   8.38631300e-02   1.68527726e-01
    16       2   1.44249261e-03   8.01449623e-07
    16       3   1.09097135e-09   2.09513201e-13
    16       4   4.43832770e-16   0.00000000e+00
    17       1   2.04406089e-01   2.66162731e-01
    17       2   2.21298948e-03   1.30568657e-06
    17       3   1.69314464e-09   3.42724288e-13
    17       4   1.33342981e-16   0.00000000e+00
    18       1   4.02780385e-01   4.45997726e-01
    18       2   3.64313803e-03   2.23584052e-06
    18       3   2.80941738e-09   5.87023729e-13
    18       4   3.72738932e-16   0.00000000e+00
    19       1   9.33323667e-01   9.55690750e-01
    19       2   7.75742370e-03   4.87410297e-06
    19       3   6.01912219e-09   1.28901455e-12
    19       4   5.36276100e-16   0.00000000e+00
    20       1   1.52400057e+02   7.14148044e+02
    20       2   5.14511382e+00   3.71105741e-03
    20       3   4.01344175e-06   9.84138283e-10
    20       4   5.04824540e-13   1.24613365e-16
    21       1   1.00158518e+00   1.00139695e+00
    21       2   8.31378022e-03   5.25891404e-06
    21       3   6.51759649e-09   1.39806278e-12
    21       4   7.17236136e-16   0.00000000e+00
    22       1   4.81743769e-01   4.89402553e-01
    22       2   4.18772465e-03   2.60797592e-06
    22       3   3.29960446e-09   6.95915097e-13
    22       4   3.73268726e-16   0.00000000e+00
    23       1   2.86934317e-01   3.08785978e-01
    23       2   2.76741968e-03   1.67240392e-06
    23       3   2.19263518e-09   4.48562856e-13
    23       4   1.33450855e-16   0.00000000e+00
    24       1   1.69850622e-01   2.10430425e-01
    24       2   2.01717187e-03   1.16240859e-06
    24       3   1.60886534e-09   3.13737043e-13
    24       4   0.00000000e+00   0.00000000e+00
    25       1   7.77097993e-02   1.44381519e-01
    25       2   1.52549113e-03   8.19306239e-07
    25       3   1.22757345e-09   2.19477352e-13
    25       4   2.05074835e-16   0.00000000e+00
    26       1   1.26593561e-02   9.37972065e-02
    26       2   1.14669008e-03   5.55819978e-07
    26       3   9.35659699e-10   1.50208061e-13
    26       4   0.00000000e+00   0.00000000e+00
    27       1   1.23694059e-01   5.12345172e-02
    27       2   7.99136474e-04   3.33297272e-07
    27       3   6.70732293e-10   9.09154602e-14
    27       4   0.00000000e+00   0.00000000e+00
    28       1   3.04707604e-01   1.26968118e-02
    28       2   3.83671343e-04   1.30871949e-07
    28       3   3.59310337e-10   3.82422744e-14
    28       4   0.00000000e+00   0.00000000e+00
    29       1   7.85722243e-01   2.43900351e-02
    29       2   4.64531025e-04   6.50449594e-08
    29       3   2.63860633e-10   1.52265123e-14
    29       4   0.00000000e+00   0.00000000e+00
    30       1   5.06494657e+02   6.20491382e-02
    30       2   4.36488840e-01   2.65331757e-07
    30       3   3.16200075e-07   6.75112881e-14
    30       4   3.89434342e-14   0.00000000e+00
    31       1   1.00299923e+00   1.02250783e-01
    31       2   2.10211319e-03   4.80834703e-07
    31       3   1.58202881e-09   1.25466150e-13
    31       4   2.34091337e-16   0.00000000e+00
    32       1   5.25581253e-01   1.47340731e-01
    32       2   1.29681486e-03   7.24777358e-07
    32       3   9.92700585e-10   1.88031785e-13
    32       4   1.11201340e-16   0.00000000e+00
    33       1   3.55149879e-01   2.00610528e-01
    33       2   9.70336399e-04   1.01611040e-06
    33       3   7.50763261e-10   2.70927643e-13
    33       4   1.43555557e-16   0.00000000e+00
    34       1   2.61673479e-01   2.67329366e-01
    34       2   7.67188504e-04   1.38575112e-06
    34       3   5.98504481e-10   3.68581734e-13
    34       4   2.12144380e-16   0.00000000e+00
    35       1   1.98973870e-01   3.57010577e-01
    35       2   6.15058522e-04   1.89058736e-06
    35       3   4.83418741e-10   5.03860038e-13
    35       4   1.70037710e-16   0.00000000e+00
    36       1   1.51482032e-01   4.89307661e-01
    36       2   4.88923707e-04   2.65069323e-06
    36       3   3.87280375e-10   7.07053321e-13
    36       4   0.00000000e+00   0.00000000e+00
    37       1   1.12359907e-01   7.12951293e-01
    37       2   3.77335089e-04   3.97195043e-06
    37       3   3.01705972e-10   1.06355001e-12
    37       4   1.28179724e-16   0.00000000e+00
    38       1   7.80160865e-02   1.19019773e+00
    38       2   2.73919261e-04   6.91194390e-06
    38       3   2.21989870e-10   1.86881808e-12
    38       4   0.00000000e+00   0.00000000e+00
    39       1   4.62569510e-02   2.92721075e+00
    39       2   1.74474621e-04   1.84456768e-05
    39       3   1.44991835e-10   5.04051578e-12
    39       4   0.00000000e+00   0.00000000e+00
    40       1   1.55177877e-02   7.32579249e+03
    40       2   7.57247131e-05   5.93264343e-02
    40       3   6.82246495e-11   1.68065306e-08
    40       4   0.00000000e+00   0.00000000e+00
    41       1   1.55321034e-02   1.00014686e+00
    41       2   2.53692796e-05   1.77497192e-06
    41       3   1.06565318e-11   3.17047827e-13
    42       1   4.82632537e-02   7.46891085e-01
    42       2   1.32147007e-04   3.07611754e-06
    42       3   9.42700168e-11   7.80224907e-13
    43       1   8.43730159e-02   5.44351310e-01
    43       2   2.48886766e-04   2.51238407e-06
    43       3   1.86005806e-10   6.51960715e-13
    43       4   0.00000000e+00   0.00000000e+00
    44       1   1.26328645e-01   4.16826087e-01
    44       2   3.81857119e-04   2.02256196e-06
    44       3   2.90869658e-10   5.30971665e-13
    44       4   1.44236440e-16   0.00000000e+00
    45       1   1.78256128e-01   3.28988696e-01
    45       2   5.41469937e-04   1.64703202e-06
    45       3   4.17211521e-10   4.35062968e-13
    45       4   0.00000000e+00   0.00000000e+00
    46       1   2.48098415e-01   2.63426989e-01
    46       2   7.47521953e-04   1.35082303e-06
    46       3   5.80948551e-10   3.56010908e-13
    46       4   2.11837844e-16   0.00000000e+00
    47       1   3.54033861e-01   2.11217926e-01
    47       2   1.04475168e-03   1.10668053e-06
    47       3   8.18105241e-10   2.95851963e-13
    47       4   1.43267971e-16   0.00000000e+00
    48       1   5.50086206e-01   1.67329967e-01
    48       2   1.56475178e-03   8.96483892e-07
    48       3   1.23472418e-09   2.39490073e-13
    48       4   0.00000000e+00   0.00000000e+00
    49       1   1.10530893e+00   1.28634593e-01
    49       2   2.95780054e-03   7.07831517e-07
    49       3   2.35502409e-09   1.89460116e-13
    49       4   2.32714926e-16   0.00000000e+00
    50       1   3.59603035e+03   9.29673875e-02
    50       2   1.12941111e+00   5.31520228e-07
    50       3   9.10550442e-07   1.41529815e-13
    50       4   9.47340351e-14   0.00000000e+00
    51       1   1.00252277e+00   5.86218590e-02
    51       2   2.02190109e-03   3.59852561e-07
    51       3   1.66653552e-09   9.78915245e-14
    51       4   1.36842957e-16   0.00000000e+00
    52       1   4.41685124e-01   2.40124425e-02
    52       2   5.70284943e-04   1.85303967e-07
