  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   3.91448839e-01   4.71964487e-01
     1       3   3.84589837e-01   1.08790449e-02
     1       4   1.26499235e-01   2.23410492e-02
     1       5   4.16464408e-01   3.16949285e-02
     1       6   7.89329797e-02   6.45002150e-03
     1       7   7.39348563e-02   6.67513184e-04
     1       8   4.32226383e-02   1.28971425e-04
     1       9   7.00308164e-06   1.15761593e-04
     2       1   5.84672063e-01   1.31105954e-01
     2       2   2.89222022e-03   6.68062347e-02
     2       3   1.61642183e-02   1.45643835e-02
     2       4   9.17813582e-05   1.59533640e-03
     3       1   2.82222862e-01   1.45951589e-01
     3       2   1.44817864e-02   4.30303284e-02
     3       3   8.83352557e-04   2.22685092e-02
     3       4   1.74524688e-04   4.07949043e-03
     4       1   2.93203612e-02   1.12577623e-01
     4       2   4.34285788e-03   2.96870973e-02
     4       3   5.09770515e-03   4.49802683e-03
     4       4   3.82719109e-04   1.16695763e-03
     5       1   4.23773417e-01   6.25684055e-02
     5       2   1.85898173e-02   5.00878030e-02
     5       3   1.70386456e-02   4.83448336e-02
     5       4   4.91320610e-04   3.05809191e-03
