  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   3.91834422e-01   4.72001336e-01
     1       3   3.92825212e-01   1.09274532e-02
     1       4   1.27953407e-01   2.42278905e-02
     1       5   4.28649457e-01   3.39473549e-02
     1       6   7.33824613e-02   7.70314998e-03
     1       7   7.80364893e-02   6.89499899e-04
     1       8   4.50328350e-02   1.45036710e-04
     1       9   9.98161014e-06   8.44223062e-05
     2       1   5.82757641e-01   1.32678587e-01
     2       2   4.94593153e-03   7.20659455e-02
     2       3   1.82464088e-02   1.61875117e-02
     2       4   4.85828166e-05   1.75263388e-03
     3       1   2.82166404e-01   1.43961388e-01
     3       2   1.39957811e-02   3.41000559e-02
     3       3   1.87216194e-03   1.43466795e-02
     3       4   1.31514411e-04   9.33496615e-04
     4       1   3.09306436e-02   1.11269067e-01
     4       2   4.40504300e-03   1.72408454e-02
     4       3   5.41187982e-03   3.12535547e-03
     4       4   5.68719446e-05   5.51312768e-04
     5       1   4.29011738e-01   6.05844139e-02
     5       2   1.84464655e-02   5.61189710e-02
     5       3   9.95663436e-03   5.16437663e-02
     5       4   8.32040033e-03   9.22393666e-03
     5       5   8.87908631e-04   5.40533974e-04
