  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   6.42427175e-02   2.74373314e-03
     1       3   3.72155817e-05   5.91305657e-07
     1       4   2.14650621e-09   6.18532647e-11
     1       5   1.68769470e-12   5.21323028e-13
     2       1   2.79371831e+00   5.00423916e-01
     2       2   3.92342249e-01   5.14401022e-03
     2       3   4.48758945e-04   1.51971299e-06
     2       4   3.69765132e-08   2.01053843e-11
     2       5   1.08781100e-11   7.42677580e-13
     3       1   1.76034251e+00   2.21844370e+00
     3       2   3.76526622e-01   6.12207840e-03
     3       3   2.26474656e-04   1.35892675e-06
     3       4   1.37306981e-08   1.33445118e-10
     3       5   1.16536715e-11   2.69780745e-14
     4       1   1.29032955e+00   1.38737993e+00
     4       2   5.18022449e-01   1.04993393e-02
     4       3   5.48076879e-04   3.02285386e-06
     4       4   4.42386198e-08   6.03617570e-11
     4       5   1.49281709e-11   4.61987852e-14
     5       1   6.64219344e+00   5.44595382e-02
     5       2   4.78388456e-01   4.02679061e-03
     5       3   7.23051628e-04   1.30658587e-06
     5       4   6.45138744e-08   9.57994127e-12
     5       5   1.45245486e-11   1.36591312e-13
     6       1   9.03919533e-01   4.73103162e+00
     6       2   9.23061397e-02   3.21546147e-02
     6       3   9.07749307e-05   8.97198262e-06
     6       4   7.09659621e-09   2.63224682e-10
     6       5   2.81374789e-12   1.54752012e-12
     7       1   3.57338779e-02   1.66412374e-02
     7       2   3.68493833e-02   1.79186526e-02
     7       3   5.72616291e-05   5.83665257e-06
     7       4   5.10701718e-09   4.97626346e-11
     7       5   1.14679838e-12   1.97952191e-13
     8       1   6.92320659e+01   8.30180090e-01
     8       2   8.64501692e-01   5.31946071e-03
     8       3   8.42313714e-04   1.48025921e-06
     8       4   6.57513036e-08   4.25623356e-11
     8       5   2.40701476e-11   3.86574599e-13
     9       1   1.30483493e+00   6.49227999e-02
     9       2   1.17743599e-01   3.27191687e-03
     9       3   1.90284595e-04   1.07428183e-06
     9       4   1.70485306e-08   6.51274106e-12
     9       5   4.64201185e-12   1.20859603e-12
    10       1   2.16318962e+00   3.66690817e+00
    10       2   9.49211219e-01   2.04125538e-02
    10       3   8.91950180e-04   5.60932535e-06
    10       4   6.89547031e-08   1.73144215e-10
    10       5   2.57696531e-11   2.79447225e-14
    11       1   6.25285838e-01   6.89236416e-01
    11       2   5.48366951e-01   7.32495518e-03
    11       3   6.44979968e-04   2.19182165e-06
    11       4   5.38579332e-08   2.03625842e-11
    11       5   1.52371199e-11   1.20284029e-12
    12       1   1.37652676e+00   1.00577933e+00
    12       2   6.36687079e-02   2.61371723e-03
    12       3   3.41589676e-05   5.33604718e-07
    12       4   1.78703742e-09   6.15378830e-11
    12       5   1.49123780e-12   0.00000000e+00
    13       1   5.33501009e-01   9.52009994e+01
    13       2   7.78724889e-02   6.15224212e+01
    13       3   8.95001937e-05   1.85553335e-02
    13       4   7.38914222e-09   2.33246929e-07
    13       5   2.19074541e-12   1.73266885e-09
    13       6   2.55370455e-15   3.25474078e-14
