  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       7       7       1       6       0       0
     2      10       3       1       7       1       0
     3      13       3       1       9       0       0
     4      15       2       1      10       0       0
     5      18       3       1      12       0       0
     6      21       3       1      14       0       0
     7      24       3       1      16       0       0
     8      27       3       1      18       0       0
     9      29       2       1      19       0       0
    10      31       2       1      20       0       0
    11      33       2       1      21       0       0
    12      39       6       1      22       4       0
    13      43       4       1      24       1       0
    14      45       2       1      25       0       0
    15      48       3       1      24       3       0
    16      51       3       1      25       1       0
    17      53       2       1      26       0       0
    18      55       2       1      27       0       0
    19      58       3       1      29       0       0
    20      61       3       1      28       3       0
    21      64       3       1      26       0       4
    22      67       3       1      26       1       1
    23      70       3       1      24       4       0
    24      73       3       1      25       1       0
    25      76       3       1      25       1       1
    26      78       2       1      25       1       0
    27      80       2       1      25       0       1
    28      83       3       1      24       2       1
    29      86       3       1      23       3       0
    30      89       3       1      24       0       1
    31      91       2       1      24       1       0
    32      93       2       1      21       0       4
    33      95       2       1      20       2       0
    34      97       2       1      20       0       1
    35      99       2       1      19       1       1
    36     102       3       1      18       3       0
    37     104       2       1      18       0       1
    38     106       2       1      18       0       1
    39     109       3       1      17       3       0
    40     111       2       1      17       1       0
    41     113       2       1      17       0       1
    42     115       2       1      17       0       1
    43     117       2       1      17       1       0
    44     119       2       1      17       0       1
    45     121       2       1      17       0       1
    46     123       2       1      16       1       1
    47     125       2       1      16       1       0
    48     127       2       1      15       2       0
    49     129       2       1      16       0       0
    50     131       2       1      16       0       1
    51     133       2       1      15       1       1
    52     135       2       1      15       1       0
    53     137       2       1      15       1       0
    54     139       2       1      15       1       0
    55     142       3       1      11       6       0
    56     144       2       1      11       1       0
    57     146       2       1      12       0       0
    58     148       2       1      12       1       0
    59     150       2       1      13       0       0
    60     152       2       1      14       0       0
    61     154       2       1      14       1       0
    62     156       2       1      15       0       0
    63     158       2       1      13       3       0
    64     160       2       1      13       1       0
    65     162       2       1      14       0       0
    66     164       2       1      15       0       0
    67     166       2       1      15       0       1
    68     168       2       1      15       0       1
    69     170       2       1      15       1       0
    70     172       2       1      14       2       0
    71     174       2       1      12       3       0
    72     176       2       1      13       0       0
    73     178       2       1      13       1       0
    74     180       2       1      14       0       0
    75     182       2       1      15       0       0
    76     184       2       1      15       1       0
    77     186       2       1      15       1       0
    78     188       2       1      13       3       0
    79     190       2       1      12       2       0
    80     192       2       1      13       0       0
    81     194       2       1      13       1       0
    82     196       2       1      14       0       0
    83     198       2       1      14       1       0
    84     202       4       1      12       5       0
    85     204       2       1      13       0       0
    86     206       2       1      13       1       0
    87     208       2       1      13       1       0
    88     210       2       1      14       0       0
    89     212       2       1      14       1       0
    90     214       2       1      15       0       0
    91     216       2       1      15       1       0
    92     218       2       1      16       0       0
    93     220       2       1      15       2       0
    94     222       2       1      13       3       0
    95     224       2       1      14       0       0
    96     226       2       1      14       1       0
    97     228       2       1      15       0       0
    98     230       2       1      16       0       0
    99     232       2       1      16       1       0
   100     234       2       1      15       2       0
