  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.35083959e-01   6.85861961e-01
     1       3   1.42770859e-01   1.03985408e-02
     1       4   4.10426808e-03   1.05182460e-01
     1       5   1.85768131e-03   9.46991698e-02
     1       6   1.37726724e-03   1.31437764e-03
     2       1   9.79157117e-01   7.59404869e-01
     2       2   6.16675036e-01   2.76064670e-01
     2       3   1.77264377e+00   3.29052017e-01
     2       4   1.73721705e+00   3.33607786e-01
     2       5   9.73619444e-01   8.09855758e-01
     2       6   8.36239203e-01   2.97243925e-01
     2       7   5.15605660e-05   1.45837531e-01
     2       8   2.63098123e-04   1.99390293e-02
     2       9   1.01413972e-04   9.15387110e-03
     2      10   2.40344627e-06   9.39474400e-04
     3       1   1.85816098e+00   3.44026130e-01
     3       2   6.54846521e-04   7.29518632e-01
     3       3   4.94157505e-04   7.19759082e-01
     3       4   7.95436872e-04   2.07207443e-01
     3       5   4.25535755e-04   2.42866880e-02
     3       6   7.68941662e-05   1.50859486e-03
     4       1   1.31938180e+00   6.97636086e-01
     4       2   1.58223869e-04   1.07072962e+00
     4       3   1.00374984e-03   1.06683183e+00
     4       4   1.50070483e-03   1.06713622e+00
     4       5   1.77324954e-03   1.05892560e+00
     4       6   7.31499365e-04   1.02267196e+00
     4       7   4.72506409e-04   1.03453012e+00
     4       8   3.74263234e-04   5.98259715e-01
     4       9   1.32215318e-04   5.77086542e-01
     4      10   8.99981430e-05   5.42919234e-01
     4      11   4.79469459e-04   6.02742130e-01
     4      12   9.95594095e-05   3.67575747e-01
     4      13   3.58261412e-05   2.01065769e-01
     4      14   1.65560830e-05   1.46522415e-01
     4      15   2.15288763e-05   1.40911467e-02
     4      16   1.92502362e-05   2.15874431e-03
     5       1   3.16943024e+00   7.32574595e+00
     5       2   8.95444407e-03   6.26844129e+00
     5       3   8.02553773e-03   3.33947951e+00
     5       4   3.48039964e-03   7.62001373e+00
     5       5   3.63471319e-04   2.52829951e-01
     5       6   2.19804683e-05   8.89636203e-01
     5       7   8.94406700e-05   1.01680905e-01
     5       8   1.08793852e-04   2.44674203e-02
     5       9   1.54862666e-06   1.16527696e-02
     5      10   1.28971132e-06   5.40500606e-04
     6       1   2.19117916e+00   1.23012246e+00
     6       2   3.85045058e-02   7.71897964e+00
     6       3   7.34128273e-04   6.26865649e+00
     6       4   1.13206072e-03   1.70189652e+00
     6       5   5.78194009e-04   1.19230125e+00
     6       6   1.35059418e-04   1.06393698e-01
     6       7   4.61949874e-05   2.22611926e-01
     6       8   2.58194459e-06   1.26153925e-02
     6       9   1.09359926e-06   9.13838241e-03
     6      10   1.15826161e-06   5.42711541e-04
     7       1   7.99476067e-01   2.60982747e-01
     7       2   6.44027069e-03   9.41915230e-01
     7       3   9.84563290e-05   9.43714396e-02
     7       4   1.39520943e-05   5.07862786e-02
     7       5   3.57499829e-07   1.30868439e-02
     7       6   1.11735826e-06   6.28036596e-04
     8       1   2.39174063e+00   7.07946503e-01
     8       2   1.26672589e-04   5.13624414e-01
     8       3   2.12772801e-03   3.44752632e-01
     8       4   6.74543494e-05   2.06869584e-02
     8       5   4.40107438e-05   6.56181918e-03
     8       6   5.39969948e-06   5.44241818e-04
     9       1   1.56227072e+00   1.53360646e+00
     9       2   8.89813430e-05   1.08307596e+00
     9       3   4.12185426e-04   9.29116335e-01
     9       4   1.91652319e-04   1.72860146e-01
     9       5   1.61522155e-05   4.04805308e-02
     9       6   2.30803609e-05   4.69809667e-02
     9       7   2.31805745e-05   4.72582862e-02
     9       8   3.11062669e-07   5.92536156e-02
     9       9   1.30322561e-06   8.54533434e-02
     9      10   8.25805976e-07   6.78703088e-02
     9      11   2.66237988e-06   7.82236563e-02
     9      12   1.15606818e-06   1.04501550e-01
     9      13   8.98410338e-06   4.99160516e-02
     9      14   1.53172775e-06   4.07062434e-02
     9      15   9.97844391e-07   2.06091637e-02
     9      16   7.02772128e-07   1.13374950e-02
     9      17   1.14690543e-07   4.00952266e-03
    10       1   5.36490554e+00   6.58278583e+00
    10       2   1.84272353e-03   1.90474455e+01
    10       3   3.18375646e-04   1.13181048e+01
    10       4   9.66722811e-05   3.60063118e+00
    10       5   6.10832231e-05   1.27822928e+01
    10       6   7.97566180e-06   5.48347922e+01
    10       7   3.46160517e-06   5.31016514e+01
    10       8   1.58604930e-04   2.83289614e+02
    10       9   1.44117849e-05   7.27150364e+00
    10      10   2.99532711e-03   5.54408032e+00
    10      11   1.00981137e-03   2.05262305e+00
    10      12   1.32659804e-03   2.34243284e+00
    10      13   3.38007091e-03   1.08999326e+00
    10      14   9.00340537e-05   2.02662869e-01
    10      15   3.06339368e-04   1.87127892e-01
    10      16   3.21763495e-03   2.21510063e+00
    10      17   6.90174911e-04   8.95689577e-01
    10      18   4.87617243e-03   4.68718090e-01
    10      19   1.98523312e-02   8.24908277e-01
    10      20   2.33077371e-02   7.96264079e-01
    10      21   1.13702057e-03   2.43821725e-01
    10      22   5.61173780e-05   9.91286240e-02
    10      23   2.97166863e-04   5.65173803e-02
    10      24   1.21905083e-04   4.03786854e-02
    10      25   7.40032567e-05   2.29806663e-02
    10      26   1.33418459e-04   1.46916450e-01
    10      27   1.14224539e-05   6.43993719e-03
    10      28   5.99513569e-06   3.87257392e-04
