  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       6       6       1       5       0       0
     2      16      10       1      11       3       0
     3      22       6       1      12       4       0
     4      38      16       1      18       9       0
     5      48      10       1      17      10       0
     6      58      10       1      17       9       0
     7      64       6       1      18       4       0
     8      70       6       1      19       4       0
     9      87      17       1      20      15       0
    10     115      28       1      25      22       0
