  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.91660545e-08   6.67543122e-09
     1       3   1.11129384e-16   0.00000000e+00
     2       1   2.89934114e-03   7.49758874e-01
     2       2   4.96781998e-07   1.15953536e-08
     2       3   1.11451531e-15   0.00000000e+00
     3       1   4.84548291e-03   5.54840626e-01
     3       2   8.96517914e-07   9.56004095e-09
     3       3   2.46381227e-15   0.00000000e+00
     4       1   6.80830083e-03   4.36232161e-01
     4       2   1.29917443e-06   7.84844633e-09
     4       3   3.60812134e-15   0.00000000e+00
     5       1   8.79326377e-03   3.58143434e-01
     5       2   1.70558200e-06   6.59636364e-09
     5       3   4.66354793e-15   0.00000000e+00
     6       1   1.08061078e-02   3.03090426e-01
     6       2   2.11661061e-06   5.66566026e-09
     6       3   6.09362040e-15   0.00000000e+00
     7       1   1.28529141e-02   2.62219675e-01
     7       2   2.53318038e-06   4.95227978e-09
     7       3   6.98708552e-15   0.00000000e+00
     8       1   1.49401963e-02   2.30657985e-01
     8       2   2.95627365e-06   4.38939493e-09
     8       3   8.27336181e-15   0.00000000e+00
     9       1   1.70750006e-02   2.05521548e-01
     9       2   3.38694870e-06   3.93413386e-09
     9       3   9.61668682e-15   0.00000000e+00
    10       1   1.92650218e-02   1.85000585e-01
    10       2   3.82635573e-06   3.55807912e-09
    10       3   1.07821065e-14   0.00000000e+00
    11       1   2.15187403e-02   1.67903934e-01
    11       2   4.27575564e-06   3.24188823e-09
    11       3   1.18901965e-14   0.00000000e+00
    12       1   2.38455844e-02   1.53416309e-01
    12       2   4.73654233e-06   2.97200462e-09
    12       3   1.33269623e-14   0.00000000e+00
    13       1   2.62561263e-02   1.40961200e-01
    13       2   5.21026964e-06   2.73852165e-09
    13       3   1.45973597e-14   0.00000000e+00
    14       1   2.87623210e-02   1.30119554e-01
    14       2   5.69868396e-06   2.53428973e-09
    14       3   1.59641542e-14   0.00000000e+00
    15       1   3.13777993e-02   1.20579498e-01
    15       2   6.20376439e-06   2.35372982e-09
    15       3   1.73021740e-14   0.00000000e+00
    16       1   3.41182324e-02   1.12104143e-01
    16       2   6.72777244e-06   2.19273922e-09
    16       3   1.90467199e-14   0.00000000e+00
    17       1   3.70017888e-02   1.04510314e-01
    17       2   7.27331451e-06   2.04802547e-09
    17       3   2.04994957e-14   0.00000000e+00
    18       1   4.00497146e-02   9.76541219e-02
    18       2   7.84342078e-06   1.91698189e-09
    18       3   2.20984416e-14   0.00000000e+00
    19       1   4.32870770e-02   9.14209407e-02
    19       2   8.44164652e-06   1.79753186e-09
    19       3   2.37042556e-14   0.00000000e+00
    20       1   4.67437292e-02   8.57182986e-02
    20       2   9.07220319e-06   1.68802194e-09
    20       3   2.56617837e-14   0.00000000e+00
    21       1   5.04555781e-02   8.04707416e-02
    21       2   9.74013061e-06   1.58700696e-09
    21       3   2.73133384e-14   0.00000000e+00
    22       1   5.44662725e-02   7.56160586e-02
    22       2   1.04515261e-05   1.49338589e-09
    22       3   2.95536524e-14   0.00000000e+00
    23       1   5.88294858e-02   7.11024649e-02
    23       2   1.12138541e-05   1.40615700e-09
    23       3   3.16905509e-14   0.00000000e+00
    24       1   6.36120523e-02   6.68864722e-02
    24       2   1.20363707e-05   1.32457262e-09
    24       3   3.41300216e-14   0.00000000e+00
    25       1   6.88983556e-02   6.29312561e-02
    25       2   1.29307188e-05   1.24792464e-09
    25       3   3.65943475e-14   0.00000000e+00
    26       1   7.47965971e-02   5.92053909e-02
    26       2   1.39117759e-05   1.17563822e-09
    26       3   3.94527005e-14   0.00000000e+00
    27       1   8.14479533e-02   5.56818593e-02
    27       2   1.49988935e-05   1.10717460e-09
