  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   3.69730988e-01   4.93416700e-01
     1       3   5.43819874e-01   1.88573979e-02
     1       4   3.97444904e-01   1.61917076e-02
     1       5   2.31261159e-01   3.06932230e-03
     1       6   7.92905979e-03   9.32336578e-03
     1       7   3.55530686e-02   7.00332315e-05
     1       8   2.71336077e-06   6.17855590e-04
     2       1   6.32789858e-01   2.05732427e-01
     2       2   1.19457948e-01   6.67066449e-02
     2       3   7.55775876e-03   1.41954918e-03
     2       4   2.47682996e-05   1.39884795e-04
     3       1   4.81136778e-01   5.75212753e-02
     3       2   7.27037489e-03   1.46096030e-01
     3       3   4.14375510e-03   5.60400941e-02
     3       4   1.50819314e-04   1.08028079e-03
     4       1   3.38901274e-01   3.50131218e-02
     4       2   1.24848267e-03   1.07527633e-01
     4       3   3.34518607e-04   6.75340632e-03
     4       4   2.34045548e-05   1.74137337e-04
     5       1   2.64312796e-01   5.12690913e-02
     5       2   8.06867846e-04   3.62753242e-02
     5       3   6.63876227e-04   5.40335553e-03
     5       4   9.69346402e-06   6.66606560e-05
     6       1   2.04569178e-01   5.19202490e-02
     6       2   1.26465922e-04   2.82464636e-02
     6       3   3.47815469e-04   6.25484735e-03
     6       4   1.53758002e-05   1.64746534e-04
     7       1   1.74188826e-01   4.99548660e-02
     7       2   2.49039953e-04   6.01235092e-02
     7       3   1.22801651e-04   3.64613981e-02
     7       4   6.98847242e-06   3.25100336e-04
     8       1   1.44245962e-01   4.73413650e-02
     8       2   8.42703271e-05   1.44048411e-02
     8       3   5.12024488e-05   2.05012837e-02
     8       4   1.24597821e-06   1.46389789e-03
     9       1   1.25572986e-01   4.54349126e-02
     9       2   2.69940813e-04   5.31318491e-03
     9       3   4.46598095e-05   6.27571815e-03
     9       4   8.38685535e-06   1.19140917e-04
    10       1   9.09350318e-02   4.74342251e-02
    10       2   3.62735778e-04   4.39291000e-03
    11       1   6.61151576e-02   3.59821213e-02
    11       2   3.15230166e-04   5.98900776e-03
    11       3   1.80097678e-04   5.95449554e-03
    11       4   1.36105982e-05   8.72322495e-04
    12       1   4.62924392e-02   2.99949678e-02
    12       2   7.99530357e-05   1.65060192e-02
    12       3   1.11851655e-04   2.97379949e-03
    13       1   2.65742976e-02   1.40099868e-02
    13       2   6.55509705e-05   1.65064890e-02
    13       3   4.41931541e-05   2.46240059e-03
    14       1   2.29568317e-02   1.44124411e-02
    14       2   4.13913634e-05   6.16634027e-03
    14       3   4.86414796e-05   2.07436090e-03
    15       1   1.82205071e-02   1.44850419e-02
    15       2   5.37559389e-05   8.41782068e-03
    15       3   5.95574592e-05   1.47167076e-03
    16       1   3.38785395e-02   1.06368039e-02
    16       2   7.25072011e-05   5.57104835e-03
    16       3   1.81672752e-05   2.89702583e-03
    17       1   6.68893071e-02   2.30140240e-02
    17       2   2.21052080e-05   2.78001985e-03
