  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       4       4       1       2       1       0
     2       7       3       1       4       0       0
     3      10       3       1       5       1       0
     4      13       3       1       6       1       0
     5      16       3       1       7       1       0
     6      19       3       1       8       1       0
     7      22       3       1       8       2       0
     8      25       3       1       8       2       0
     9      28       3       1       8       2       0
    10      31       3       1       8       2       0
    11      34       3       1       9       1       0
    12      37       3       1       9       2       0
    13      40       3       1       9       2       0
    14      43       3       1       9       2       0
    15      46       3       1       9       2       0
    16      49       3       1       9       2       0
    17      52       3       1       9       2       0
    18      55       3       1       9       2       0
    19      58       3       1       9       2       0
    20      61       3       1       9       2       0
    21      64       3       1       9       2       0
    22      67       3       1       9       2       0
    23      70       3       1       9       2       0
    24      73       3       1       9       2       0
    25      77       4       1       9       3       0
    26      80       3       1       9       2       0
    27      83       3       1       9       2       0
    28      86       3       1       9       2       0
    29      89       3       1       9       2       0
    30      92       3       1       9       2       0
    31      95       3       1      10       1       0
    32      98       3       1      10       2       0
    33     101       3       1      11       1       0
    34     104       3       1      12       1       0
    35     107       3       1      11       3       0
    36     110       3       1      10       3       0
    37     113       3       1      10       2       0
    38     116       3       1      11       1       0
    39     119       3       1      11       2       0
    40     122       3       1      11       2       0
    41     125       3       1      11       2       0
    42     128       3       1      11       2       0
    43     131       3       1      11       2       0
    44     134       3       1      11       2       0
    45     137       3       1      11       2       0
    46     140       3       1      11       2       0
    47     143       3       1      11       2       0
    48     146       3       1      11       2       0
    49     149       3       1      11       2       0
    50     152       3       1      11       2       0
    51     155       3       1      11       2       0
    52     158       3       1      11       2       0
    53     161       3       1      11       2       0
    54     164       3       1      11       2       0
    55     167       3       1      11       2       0
    56     170       3       1      11       2       0
    57     173       3       1      11       2       0
    58     176       3       1      11       2       0
    59     179       3       1      11       2       0
    60     182       3       1      11       2       0
    61     185       3       1      11       2       0
    62     188       3       1      11       2       0
    63     191       3       1      11       2       0
    64     194       3       1      11       2       0
    65     197       3       1      11       2       0
    66     200       3       1      11       2       0
    67     203       3       1      11       2       0
    68     206       3       1      11       2       0
    69     209       3       1      11       2       0
    70     212       3       1      12       1       0
    71     215       3       1      12       2       0
    72     218       3       1      12       2       0
    73     221       3       1      12       2       0
    74     224       3       1      12       2       0
    75     227       3       1      12       2       0
    76     230       3       1      12       2       0
    77     233       3       1      12       2       0
    78     236       3       1      12       2       0
    79     239       3       1      12       2       0
    80     242       3       1      12       2       0
    81     245       3       1      12       2       0
    82     248       3       1      12       2       0
    83     251       3       1      12       2       0
    84     254       3       1      12       2       0
    85     257       3       1      12       2       0
    86     260       3       1      13       1       0
    87     263       3       1      13       2       0
    88     266       3       1      13       2       0
    89     269       3       1      13       2       0
    90     272       3       1      13       2       0
    91     275       3       1      13       2       0
    92     278       3       1      13       2       0
    93     281       3       1      13       2       0
    94     284       3       1      13       2       0
    95     287       3       1      13       2       0
    96     290       3       1      13       2       0
    97     293       3       1      13       2       0
    98     296       3       1      13       2       0
    99     299       3       1      14       1       0
   100     302       3       1      14       2       0
   101     305       3       1      14       2       0
   102     308       3       1      14       2       0
   103     311       3       1      14       2       0
   104     314       3       1      14       2       0
   105     317       3       1      14       2       0
   106     320       3       1      14       2       0
   107     323       3       1      14       2       0
   108     326       3       1      14       2       0
   109     329       3       1      14       2       0
   110     332       3       1      14       2       0
   111     335       3       1      14       2       0
   112     338       3       1      14       2       0
   113     341       3       1      14       2       0
   114     344       3       1      14       2       0
   115     347       3       1      14       2       0
   116     350       3       1      14       2       0
   117     353       3       1      14       2       0
   118     356       3       1      14       2       0
   119     359       3       1      14       2       0
   120     362       3       1      14       2       0
   121     365       3       1      14       2       0
   122     368       3       1      14       2       0
   123     371       3       1      14       2       0
   124     374       3       1      14       2       0
   125     377       3       1      14       2       0
   126     380       3       1      14       2       0
   127     383       3       1      14       2       0
   128     386       3       1      14       2       0
   129     389       3       1      14       2       0
   130     392       3       1      14       2       0
   131     395       3       1      14       2       0
   132     398       3       1      13       3       0
   133     401       3       1      13       2       0
   134     404       3       1      13       2       0
   135     407       3       1      13       2       0
   136     410       3       1      13       2       0
   137     413       3       1      13       2       0
   138     416       3       1      13       2       0
   139     419       3       1      13       2       0
   140     422       3       1      13       2       0
   141     425       3       1      13       2       0
   142     428       3       1      13       2       0
   143     431       3       1      13       2       0
   144     434       3       1      13       2       0
   145     437       3       1      13       2       0
   146     440       3       1      13       2       0
   147     443       3       1      13       2       0
   148     446       3       1      13       2       0
   149     449       3       1      13       2       0
   150     452       3       1      13       2       0
   151     455       3       1      13       2       0
   152     458       3       1      13       2       0
   153     461       3       1      13       2       0
   154     464       3       1      13       2       0
   155     467       3       1      13       2       0
   156     470       3       1      13       2       0
   157     473       3       1      13       2       0
   158     476       3       1      13       2       0
   159     479       3       1      13       2       0
   160     482       3       1      13       2       0
   161     485       3       1      13       2       0
   162     488       3       1      13       2       0
   163     491       3       1      13       2       0
   164     494       3       1      13       2       0
   165     497       3       1      13       2       0
   166     500       3       1      13       2       0
   167     503       3       1      13       2       0
   168     506       3       1      13       2       0
   169     509       3       1      13       2       0
   170     512       3       1      13       2       0
   171     515       3       1      13       2       0
   172     518       3       1      13       2       0
   173     521       3       1      13       2       0
   174     524       3       1      13       2       0
   175     527       3       1      13       2       0
   176     530       3       1      13       2       0
   177     533       3       1      13       2       0
   178     536       3       1      13       2       0
   179     539       3       1      13       2       0
   180     542       3       1      13       2       0
   181     545       3       1      13       2       0
   182     548       3       1      13       2       0
   183     551       3       1      13       2       0
   184     554       3       1      13       2       0
   185     557       3       1      13       2       0
   186     560       3       1      13       2       0
   187     563       3       1      13       2       0
   188     566       3       1      13       2       0
   189     569       3       1      13       2       0
   190     572       3       1      13       2       0
   191     575       3       1      13       2       0
   192     578       3       1      13       2       0
   193     581       3       1      13       2       0
   194     584       3       1      13       2       0
   195     587       3       1      13       2       0
   196     590       3       1      13       2       0
   197     593       3       1      13       2       0
   198     596       3       1      13       2       0
   199     599       3       1      13       2       0
   200     602       3       1      13       2       0
