  TimeWindow  TotalIterations  Iterations  Convergence
     1       4       4       1
     2       7       3       1
     3      10       3       1
     4      13       3       1
     5      16       3       1
     6      19       3       1
     7      22       3       1
     8      25       3       1
     9      28       3       1
    10      31       3       1
    11      34       3       1
    12      37       3       1
    13      40       3       1
    14      43       3       1
    15      46       3       1
    16      49       3       1
    17      52       3       1
    18      55       3       1
    19      58       3       1
    20      61       3       1
    21      64       3       1
    22      67       3       1
    23      70       3       1
    24      73       3       1
    25      77       4       1
    26      80       3       1
    27      83       3       1
    28      86       3       1
    29      89       3       1
    30      92       3       1
    31      95       3       1
    32      98       3       1
    33     101       3       1
    34     104       3       1
    35     107       3       1
    36     110       3       1
    37     113       3       1
    38     116       3       1
    39     119       3       1
    40     122       3       1
    41     125       3       1
    42     128       3       1
    43     131       3       1
    44     134       3       1
    45     137       3       1
    46     140       3       1
    47     143       3       1
    48     146       3       1
    49     149       3       1
    50     152       3       1
    51     155       3       1
    52     158       3       1
    53     161       3       1
    54     164       3       1
    55     167       3       1
    56     170       3       1
    57     173       3       1
    58     176       3       1
    59     179       3       1
    60     182       3       1
    61     185       3       1
    62     188       3       1
    63     191       3       1
    64     194       3       1
    65     197       3       1
    66     200       3       1
    67     203       3       1
    68     206       3       1
    69     209       3       1
    70     212       3       1
    71     215       3       1
    72     218       3       1
    73     221       3       1
    74     224       3       1
    75     227       3       1
    76     230       3       1
    77     233       3       1
    78     236       3       1
    79     239       3       1
    80     242       3       1
    81     245       3       1
    82     248       3       1
    83     251       3       1
    84     254       3       1
    85     257       3       1
    86     260       3       1
    87     263       3       1
    88     266       3       1
    89     269       3       1
    90     272       3       1
    91     275       3       1
    92     278       3       1
    93     281       3       1
    94     284       3       1
    95     287       3       1
    96     290       3       1
    97     293       3       1
    98     296       3       1
    99     299       3       1
   100     302       3       1
   101     305       3       1
   102     308       3       1
   103     311       3       1
   104     314       3       1
   105     317       3       1
   106     320       3       1
   107     323       3       1
   108     326       3       1
   109     329       3       1
   110     332       3       1
   111     335       3       1
   112     338       3       1
   113     341       3       1
   114     344       3       1
   115     347       3       1
   116     350       3       1
   117     353       3       1
   118     356       3       1
   119     359       3       1
   120     362       3       1
   121     365       3       1
   122     368       3       1
   123     371       3       1
   124     374       3       1
   125     377       3       1
   126     380       3       1
   127     383       3       1
   128     386       3       1
   129     389       3       1
   130     392       3       1
   131     395       3       1
   132     398       3       1
   133     401       3       1
   134     404       3       1
   135     407       3       1
   136     410       3       1
   137     413       3       1
   138     416       3       1
   139     419       3       1
   140     422       3       1
   141     425       3       1
   142     428       3       1
   143     431       3       1
   144     434       3       1
   145     437       3       1
   146     440       3       1
   147     443       3       1
   148     446       3       1
   149     449       3       1
   150     452       3       1
   151     455       3       1
   152     458       3       1
   153     461       3       1
   154     464       3       1
   155     467       3       1
   156     470       3       1
   157     473       3       1
   158     476       3       1
   159     479       3       1
   160     482       3       1
   161     485       3       1
   162     488       3       1
   163     491       3       1
   164     494       3       1
   165     497       3       1
   166     500       3       1
   167     503       3       1
   168     506       3       1
   169     509       3       1
   170     512       3       1
   171     515       3       1
   172     518       3       1
   173     521       3       1
   174     524       3       1
   175     527       3       1
   176     530       3       1
   177     533       3       1
   178     536       3       1
   179     539       3       1
   180     542       3       1
   181     545       3       1
   182     548       3       1
   183     551       3       1
   184     554       3       1
   185     557       3       1
   186     560       3       1
   187     563       3       1
   188     566       3       1
   189     569       3       1
   190     572       3       1
   191     575       3       1
   192     578       3       1
   193     581       3       1
   194     584       3       1
   195     587       3       1
   196     590       3       1
   197     593       3       1
   198     596       3       1
   199     599       3       1
   200     602       3       1
