  TimeWindow  TotalIterations  Iterations  Convergence
     1       8       8       1
     2      11       3       1
     3      15       4       1
     4      20       5       1
     5      24       4       1
     6      28       4       1
     7      32       4       1
     8      36       4       1
     9      39       3       1
    10      43       4       1
    11      46       3       1
    12      49       3       1
    13      52       3       1
    14      56       4       1
    15      59       3       1
    16      62       3       1
    17      65       3       1
    18      68       3       1
    19      71       3       1
    20      75       4       1
    21      78       3       1
    22      81       3       1
    23      84       3       1
    24      86       2       1
    25      89       3       1
    26      92       3       1
    27      96       4       1
    28      99       3       1
    29     102       3       1
    30     105       3       1
    31     108       3       1
    32     111       3       1
    33     114       3       1
    34     117       3       1
    35     120       3       1
    36     123       3       1
    37     125       2       1
    38     128       3       1
    39     131       3       1
    40     134       3       1
