  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       8       8       1       6       1       0
     2      11       3       1       7       1       0
     3      15       4       1       8       2       0
     4      20       5       1      12       0       0
     5      24       4       1      15       0       0
     6      28       4       1      16       2       0
     7      32       4       1      18       1       0
     8      36       4       1      18       3       0
     9      39       3       1      18       2       0
    10      43       4       1      19       2       0
    11      46       3       1      20       1       0
    12      49       3       1      20       2       0
    13      52       3       1      21       1       0
    14      56       4       1      20       4       0
    15      59       3       1      21       1       0
    16      62       3       1      22       1       0
    17      65       3       1      23       1       0
    18      68       3       1      23       1       1
    19      71       3       1      21       4       0
    20      75       4       1      22       2       0
    21      78       3       1      22       1       1
    22      81       3       1      22       2       0
    23      84       3       1      22       1       1
    24      86       2       1      22       1       0
    25      89       3       1      22       2       0
    26      92       3       1      22       1       1
    27      96       4       1      21       4       0
    28      99       3       1      21       2       0
    29     102       3       1      22       1       0
    30     105       3       1      21       3       0
    31     108       3       1      21       2       0
    32     111       3       1      21       2       0
    33     114       3       1      21       2       0
    34     117       3       1      21       2       0
    35     120       3       1      20       2       1
    36     123       3       1      21       1       0
    37     125       2       1      21       0       1
    38     128       3       1      20       2       1
    39     131       3       1      21       1       0
    40     134       3       1      20       2       1
