  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   3.04923987e-01   4.82218502e-01
     1       3   1.85374411e-01   1.10954951e-02
     1       4   1.82469438e-02   2.79645430e-02
     1       5   6.28734497e-02   1.16937915e-02
     1       6   1.75106190e-02   9.41886145e-04
     1       7   9.07317366e-03   4.60425640e-04
     1       8   1.56231739e-08   5.05741226e-06
     2       1   5.57605228e-01   2.25146543e-01
     2       2   6.75334153e-04   2.90721825e-02
     2       3   2.11661988e-04   2.41609402e-03
     3       1   4.15618884e-02   2.36936852e-01
     3       2   1.46550439e-03   5.60660653e-02
     3       3   4.84340271e-04   1.10308873e-02
     3       4   4.59800367e-06   1.51404879e-04
     4       1   9.06761049e-01   8.51662200e-02
     4       2   1.93367163e-04   3.75549420e-02
     4       3   4.21037278e-04   1.56584573e-02
     4       4   1.75002446e-05   6.89333342e-03
     4       5   1.83579122e-07   1.45515802e-04
     5       1   1.69309161e+01   1.20492151e-01
     5       2   4.54207567e-04   5.23809248e-02
     5       3   1.03107234e-03   4.99357334e-02
     5       4   2.80367471e-06   2.35213348e-04
     6       1   8.43573109e-01   1.85606945e-01
     6       2   1.15715014e-04   2.66134508e-02
     6       3   2.98895636e-05   6.65303272e-03
     6       4   4.82781427e-06   8.42345569e-05
     7       1   1.78532906e+00   9.64876169e-02
     7       2   1.13539474e-05   2.82183644e-02
     7       3   6.04438353e-06   1.67549129e-02
     7       4   3.34386838e-06   2.16502393e-03
     8       1   7.23026909e-01   9.22748200e-02
     8       2   5.40908719e-06   3.20984746e-02
     8       3   1.03993791e-06   3.06015920e-02
     8       4   9.08749347e-07   8.77770308e-04
     9       1   2.29132304e-01   1.87724819e-01
     9       2   8.10174111e-07   3.92915812e-02
     9       3   4.73383684e-06   7.61978159e-04
    10       1   3.96802185e-01   1.17021082e-01
    10       2   3.57121128e-05   4.40465300e-02
    10       3   2.70253827e-05   5.63158797e-03
    10       4   9.11142084e-07   8.00265774e-05
    11       1   2.77434721e+00   5.83809251e-02
    11       2   5.59749606e-05   2.43284935e-02
    11       3   8.48871625e-06   1.34856808e-03
    12       1   2.90491451e+00   1.56103607e-01
    12       2   7.30636710e-05   1.50099878e-02
    12       3   1.23722391e-05   7.84150104e-04
    13       1   2.08574509e+00   1.25963333e-01
    13       2   7.56037360e-05   7.15143726e-03
    13       3   1.20361286e-05   4.04381797e-04
    14       1   8.49691341e-01   3.36259213e-02
    14       2   4.22449807e-06   3.46454637e-02
    14       3   1.55901534e-06   1.01139488e-02
    14       4   8.40594156e-08   1.51265589e-04
    15       1   3.73519141e-01   1.44845736e-01
    15       2   8.83534483e-06   9.32803838e-03
    15       3   4.67577547e-07   4.44314684e-04
    16       1   1.20341727e-01   1.34152920e-01
    16       2   2.67805233e-05   4.21647762e-02
    16       3   7.90446331e-07   7.02287409e-04
    17       1   1.14597249e+00   3.11827559e-02
    17       2   1.10682919e-05   2.48085780e-02
    17       3   4.87852388e-06   3.80021336e-04
    18       1   1.91510411e+01   1.18455244e-01
    18       2   4.95554566e-05   1.36715973e-02
    18       3   5.01781992e-05   2.86331357e-03
    19       1   5.78266211e-01   1.35162586e-01
    19       2   9.31819777e-06   7.84911097e-03
    19       3   1.98965969e-05   3.06140213e-04
    20       1   9.47981950e-01   4.25175454e-02
    20       2   1.73937461e-06   2.33971784e-02
    20       3   5.74939898e-07   1.17207066e-02
    20       4   2.47356257e-08   3.20436320e-05
    21       1   4.98363091e-01   9.87822244e-02
    21       2   5.01136067e-06   2.51790003e-02
    21       3   2.78746294e-07   1.39824920e-04
    22       1   7.79507314e-02   1.37305803e-01
    22       2   7.36492582e-06   5.56324130e-02
    22       3   4.10401500e-07   1.69568465e-04
    23       1   5.55439374e-01   5.94836758e-02
    23       2   9.97839562e-06   6.55110803e-02
