  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   6.42425988e-02   2.74374420e-03
     1       3   3.72160457e-05   5.91333894e-07
     1       4   2.14674594e-09   6.09153729e-11
     1       5   1.67842550e-12   3.62836852e-14
     2       1   2.79371476e+00   5.00424317e-01
     2       2   3.92340622e-01   5.14401655e-03
     2       3   4.48759350e-04   1.51974449e-06
     2       4   3.69772174e-08   2.14842939e-11
     2       5   1.16878636e-11   2.42365895e-13
     3       1   1.76030357e+00   2.21842600e+00
     3       2   3.76521339e-01   6.12203287e-03
     3       3   2.26473878e-04   1.35897021e-06
     3       4   1.37315264e-08   1.21025432e-10
     3       5   8.75734541e-12   7.33426596e-14
     4       1   1.29033188e+00   1.38738274e+00
     4       2   5.18020790e-01   1.04993687e-02
     4       3   5.48078210e-04   3.02292571e-06
     4       4   4.42399516e-08   5.95622139e-11
     4       5   1.47860997e-11   2.98860393e-13
     5       1   6.64255069e+00   5.44627890e-02
     5       2   4.78405351e-01   4.02680668e-03
     5       3   7.23077383e-04   1.30661149e-06
     5       4   6.45185771e-08   1.18131161e-11
     5       5   1.33406163e-11   0.00000000e+00
     6       1   9.03922134e-01   4.73097702e+00
     6       2   9.23060442e-02   3.21542191e-02
     6       3   9.07753653e-05   8.97209856e-06
     6       4   7.09712534e-09   2.53800572e-10
     6       5   2.67052809e-12   1.61770302e-12
     7       1   3.57380345e-02   1.66167188e-02
     7       2   3.68497086e-02   1.79190534e-02
     7       3   5.72620264e-05   5.83685456e-06
     7       4   5.10708706e-09   5.03059314e-11
     7       5   1.13801531e-12   3.53972667e-13
     8       1   6.92183065e+01   8.30181928e-01
     8       2   8.64478031e-01   5.31946582e-03
     8       3   8.42295349e-04   1.48029558e-06
     8       4   6.57521394e-08   4.24543862e-11
     8       5   2.44173538e-11   8.26449748e-15
     9       1   1.30484004e+00   6.49157727e-02
     9       2   1.17744826e-01   3.27194202e-03
     9       3   1.90285678e-04   1.07429986e-06
     9       4   1.70481690e-08   1.19393059e-11
     9       5   3.56601146e-12   1.22989656e-13
    10       1   2.16320991e+00   3.66696835e+00
    10       2   9.49222932e-01   2.04128609e-02
    10       3   8.91966349e-04   5.60953592e-06
    10       4   6.89565575e-08   1.74540056e-10
    10       5   2.59637096e-11   9.09682740e-14
    11       1   6.25296398e-01   6.89242161e-01
    11       2   5.48361115e-01   7.32498916e-03
    11       3   6.44975406e-04   2.19187241e-06
    11       4   5.38588471e-08   2.22061814e-11
    11       5   1.57221615e-11   6.85318080e-13
    12       1   1.37653632e+00   1.00575997e+00
    12       2   6.36678218e-02   2.61360433e-03
    12       3   3.41581186e-05   5.33604644e-07
    12       4   1.78751545e-09   6.51806599e-11
    12       5   1.64846013e-12   0.00000000e+00
    13       1   5.33506067e-01   9.52016003e+01
    13       2   7.78727171e-02   6.15239399e+01
    13       3   8.95007415e-05   1.85561436e-02
    13       4   7.38924558e-09   2.44411453e-07
    13       5   2.25669760e-12   1.53648248e-09
    13       6   1.66545949e-15   2.25667106e-14
