  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   2.43725946e+00   3.43047913e-01
     1       3   9.98657064e-02   3.42566760e-03
     1       4   3.88963798e-04   6.30061827e-06
     1       5   3.82953834e-07   3.62911552e-09
     1       6   1.39158867e-10   7.82096816e-13
     1       7   7.10541402e-15   0.00000000e+00
     2       1   1.21448685e+00   9.14490100e+00
     2       2   7.74321807e+00   8.75680156e-01
     2       3   3.07466877e-01   1.23885926e-02
     2       4   1.61797784e-03   2.96284657e-05
     2       5   2.00852765e-06   2.09786543e-08
     2       6   8.69455388e-10   5.64487343e-12
     2       7   1.53656101e-13   0.00000000e+00
     3       1   7.17267715e-01   3.40981666e-01
     3       2   1.94137127e+00   5.04447215e-01
     3       3   2.01050389e-01   8.59939128e-03
     3       4   1.16341403e-03   2.18219823e-05
     3       5   1.50519553e-06   1.59306640e-08
     3       6   6.67568776e-10   4.77919499e-12
     3       7   1.40774851e-13   0.00000000e+00
     4       1   3.47480633e-01   1.85004473e+00
     4       2   7.16727977e-01   1.70060894e-01
     4       3   1.06567707e-01   5.41033689e-03
     4       4   8.05155291e-04   1.60563778e-05
     4       5   1.15629450e-06   1.26394582e-08
     4       6   5.44207063e-10   3.70336459e-12
     4       7   8.63757118e-14   0.00000000e+00
     5       1   1.23871295e+00   6.23779552e+00
     5       2   7.77602275e-02   3.19685755e+01
     5       3   2.80704293e-02   3.30973317e+02
     5       4   2.17681609e-04   1.48302496e+02
     5       5   3.19162814e-07   1.06150725e-01
     5       6   1.52319282e-10   2.89900269e-05
     5       7   1.53210791e-14   5.56676411e-11
