  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   3.00503569e-01   4.97502157e-01
     1       3   2.11192177e-01   7.51197483e-04
     1       4   6.49066719e-02   9.19490075e-04
     1       5   3.33280536e-05   4.19816027e-04
     2       1   6.94980423e-01   2.16374137e-01
     2       2   2.46403719e-03   1.44823666e-02
     2       3   2.66766076e-04   5.10174081e-04
     3       1   5.10976381e-01   6.46984059e-02
     3       2   2.35604735e-04   1.15496240e-02
     3       3   1.65270060e-04   1.34394656e-03
     4       1   3.76605321e-01   2.71329513e-02
     4       2   3.88646046e-05   1.16044822e-02
     4       3   6.93270881e-06   6.07624906e-04
     5       1   2.95948067e-01   3.47630573e-02
     5       2   4.38908944e-05   1.00281702e-02
     5       3   2.16507773e-05   6.24735441e-04
     6       1   2.34129972e-01   4.48189415e-02
     6       2   7.19020355e-06   4.73061324e-03
     7       1   1.95901841e-01   4.72748856e-02
     7       2   8.46981745e-06   2.71045982e-03
     8       1   1.63871389e-01   4.85137631e-02
     8       2   1.04239897e-06   1.24713852e-03
     9       1   1.37925690e-01   4.83991712e-02
     9       2   2.93123563e-06   1.58525933e-03
    10       1   1.10170401e-01   4.68459252e-02
    10       2   1.66939347e-06   1.25121282e-03
    11       1   8.36785923e-02   4.27776937e-02
    11       2   6.49150277e-07   1.36746055e-03
    12       1   6.29357378e-02   3.58351611e-02
    12       2   3.32323716e-07   1.58341714e-03
    13       1   4.27865700e-02   2.97149580e-02
    13       2   5.92379811e-07   2.79557472e-03
    14       1   2.83193984e-02   2.20011831e-02
    14       2   3.01492030e-07   1.24128660e-03
    15       1   1.07149043e-02   1.65910789e-02
    15       2   3.21055734e-07   2.34796283e-03
    16       1   1.40028376e-02   9.07677454e-03
    16       2   5.17012396e-07   2.54885674e-03
    17       1   3.91108231e-02   6.93704388e-03
    17       2   7.58065966e-07   4.26059779e-03
    18       1   5.63741852e-02   1.58949763e-02
    18       2   7.69795777e-07   2.60236299e-03
    19       1   7.78457893e-02   2.13452098e-02
    19       2   1.41777505e-06   2.41841771e-03
    20       1   9.82797835e-02   2.90483053e-02
    20       2   5.04140185e-07   1.59291205e-03
    21       1   1.28053775e-01   3.29328374e-02
    21       2   9.98804417e-07   1.94536511e-03
    22       1   1.61273518e-01   3.93703890e-02
    22       2   5.65424909e-07   2.50298268e-03
    23       1   2.03357841e-01   4.32357762e-02
    23       2   1.10725725e-06   4.10613296e-03
    24       1   2.43369877e-01   4.67003519e-02
    24       2   1.48401759e-06   3.92507389e-03
    25       1   2.92775684e-01   4.59934913e-02
    25       2   2.40296660e-06   3.48861914e-03
    26       1   3.64212373e-01   4.30869285e-02
    26       2   3.73147569e-06   2.81511808e-03
    27       1   4.68110546e-01   4.00589348e-02
    27       2   4.06201733e-06   2.22534106e-03
    28       1   6.68703261e-01   3.55311920e-02
    28       2   8.87652240e-06   1.85150258e-03
    29       1   8.60285357e-01   3.21569187e-02
    29       2   8.08012034e-06   9.79252650e-04
    30       1   9.90442132e-01   2.36587563e-02
    30       2   3.08449634e-05   1.92227991e-03
    31       1   5.32043414e-01   1.59881746e-02
    31       2   3.51349563e-05   3.73453354e-03
    32       1   3.83814238e-01   6.82985310e-03
    32       2   1.44068007e-05   1.85670260e-03
    33       1   4.82051995e-01   4.17758063e-03
    33       2   2.08757701e-06   2.24104012e-03
    34       1   4.19829018e-01   1.16244344e-02
    34       2   1.23034338e-06   1.10797951e-03
    35       1   3.69044797e-01   1.70542511e-02
    35       2   4.90587807e-07   3.94303898e-04
    36       1   3.10450392e-01   2.61893591e-02
    36       2   2.65804293e-06   1.06353172e-03
    37       1   2.61721396e-01   3.23967988e-02
    37       2   1.14470757e-06   7.05528181e-04
    38       1   2.12305226e-01   3.81832560e-02
    38       2   2.23300716e-06   1.13060161e-03
    39       1   1.78317057e-01   3.96565234e-02
    39       2   6.78730689e-07   1.18472180e-03
    40       1   1.51047542e-01   4.05681314e-02
    40       2   2.13891174e-07   8.79077099e-04
    41       1   1.28651226e-01   4.08449863e-02
    41       2   2.98472145e-07   1.89240013e-03
    42       1   1.08171775e-01   4.01194096e-02
    42       2   2.46078558e-07   8.77488348e-04
    43       1   8.29449177e-02   3.85260959e-02
    43       2   3.83667252e-07   3.14238714e-03
    44       1   6.26376113e-02   3.28465224e-02
