  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.59034136e-06   1.06599560e-07
     1       3   3.82278750e-14   0.00000000e+00
     2       1   1.16926587e-02   7.49033418e-01
     2       2   8.01321666e-06   1.85381781e-07
     2       3   3.28113534e-13   0.00000000e+00
     3       1   1.97053576e-02   5.52683949e-01
     3       2   1.45754886e-05   1.52603119e-07
     3       3   6.24653577e-13   0.00000000e+00
     4       1   2.80014253e-02   4.32394530e-01
     4       2   2.13359151e-05   1.24830728e-07
     4       3   9.30398631e-13   0.00000000e+00
     5       1   3.66908966e-02   3.52500459e-01
     5       2   2.83620815e-05   1.04328358e-07
     5       3   1.24876397e-12   0.00000000e+00
     6       1   4.59053991e-02   2.95560976e-01
     6       2   3.57344606e-05   8.89045261e-08
     6       3   1.58270492e-12   0.00000000e+00
     7       1   5.58080968e-02   2.52738885e-01
     7       2   4.35520811e-05   7.69242356e-08
     7       3   1.93734480e-12   0.00000000e+00
     8       1   6.66081903e-02   2.19166122e-01
     8       2   5.19407932e-05   6.73219574e-08
     8       3   2.31807236e-12   0.00000000e+00
     9       1   7.85829678e-02   1.91958518e-01
     9       2   6.10658277e-05   5.94132763e-08
     9       3   2.73320368e-12   0.00000000e+00
    10       1   9.21127740e-02   1.69302739e-01
    10       2   7.11516776e-05   5.27482107e-08
    10       3   3.19208788e-12   0.00000000e+00
    11       1   1.07739000e-01   1.50001869e-01
    11       2   8.25150142e-05   4.70120906e-08
    11       3   3.71020677e-12   3.78733171e-13
    12       1   1.26265288e-01   1.33233094e-01
    12       2   9.56220427e-05   4.19884232e-08
    12       3   4.30737803e-12   0.00000000e+00
    13       1   1.48945194e-01   1.18410729e-01
    13       2   1.11194721e-04   3.75223484e-08
    13       3   5.02011210e-12   0.00000000e+00
    14       1   1.77857206e-01   1.05104842e-01
    14       2   1.30422808e-04   3.34842414e-08
    14       3   5.89714639e-12   0.00000000e+00
    15       1   2.16729439e-01   9.29908166e-02
    15       2   1.55429837e-04   2.97889023e-08
    15       3   7.04013161e-12   0.00000000e+00
    16       1   2.73001003e-01   8.18168575e-02
    16       2   1.90437210e-04   2.63690568e-08
    16       3   8.64308615e-12   0.00000000e+00
    17       1   3.64006119e-01   7.13823251e-02
    17       2   2.45255144e-04   2.31648857e-08
    17       3   1.11598463e-11   0.00000000e+00
    18       1   5.41714490e-01   6.15227681e-02
    18       2   3.49243806e-04   2.01296174e-08
    18       3   1.59466509e-11   0.00000000e+00
    19       1   1.06599739e+00   5.20991940e-02
    19       2   6.49034430e-04   1.72130484e-08
    19       3   2.97261505e-11   0.00000000e+00
    20       1   1.77055734e+03   4.29900307e-02
    20       2   1.02586341e+04   1.43915832e-08
    20       3   4.71579305e-04   0.00000000e+00
    20       4   0.00000000e+00   0.00000000e+00
    21       1   1.00000006e+00   3.40847588e-02
    21       2   5.08991459e-04   1.16217382e-08
    21       3   2.35665068e-11   0.00000000e+00
    22       1   4.75894703e-01   2.52784912e-02
    22       2   2.07692618e-04   8.87687962e-09
    22       3   9.69638799e-12   0.00000000e+00
    23       1   2.97103924e-01   1.64669266e-02
    23       2   1.01137474e-04   6.12485108e-09
    23       3   4.79945660e-12   0.00000000e+00
    24       1   2.04349654e-01   7.54115274e-03
    24       2   4.26111135e-05   3.33364461e-09
    24       3   2.12572728e-12   0.00000000e+00
    25       1   1.45678614e-01   1.61828129e-03
    25       2   2.62689681e-06   4.66516302e-10
    25       3   3.01436298e-13   0.00000000e+00
    26       1   1.03687874e-01   1.11487648e-02
    26       2   2.88057884e-05   2.52246330e-09
    26       3   1.12878350e-12   0.00000000e+00
    27       1   7.08222284e-02   2.12155833e-02
    27       2   5.61599015e-05   5.68687698e-09
    27       3   2.37783269e-12   0.00000000e+00
    28       1   4.31858981e-02   3.20261503e-02
    28       2   8.19083672e-05   9.09003193e-09
    28       3   3.55243683e-12   0.00000000e+00
    29       1   1.84631125e-02   4.38514159e-02
    29       2   1.07730089e-04   1.28100732e-08
    29       3   4.71368912e-12   0.00000000e+00
    30       1   4.93877141e-03   5.70596189e-02
    30       2   1.35043558e-04   1.69751947e-08
    30       3   5.95467036e-12   0.00000000e+00
    31       1   2.83192196e-02   7.21721061e-02
    31       2   1.65332131e-04   2.17443348e-08
    31       3   7.32725878e-12   0.00000000e+00
    32       1   5.29689642e-02   8.99606291e-02
    32       2   2.00448845e-04   2.73633733e-08
    32       3   8.91708927e-12   0.00000000e+00
    33       1   8.04513579e-02   1.11627684e-01
    33       2   2.43042989e-04   3.41998547e-08
    33       3   1.08337885e-11   0.00000000e+00
    34       1   1.13021011e-01   1.39166858e-01
    34       2   2.97331829e-04   4.29112917e-08
    34       3   1.32922995e-11   0.00000000e+00
    35       1   1.54452602e-01   1.76155263e-01
    35       2   3.70746233e-04   5.46048502e-08
    35       3   1.66053037e-11   0.00000000e+00
    36       1   2.12048359e-01   2.29734271e-01
    36       2   4.78007970e-04   7.15469271e-08
    36       3   2.14464019e-11   0.00000000e+00
    37       1   3.02611801e-01   3.16551358e-01
    37       2   6.53332616e-04   9.90016164e-08
    37       3   2.93515216e-11   0.00000000e+00
    38       1   4.76313267e-01   4.86526933e-01
    38       2   9.99214297e-04   1.52767947e-07
    38       3   4.49552993e-11   5.44603045e-14
    39       1   9.83980458e-01   9.89221288e-01
    39       2   2.02788424e-03   3.11778900e-07
    39       3   9.13586521e-11   0.00000000e+00
    40       1   4.87504195e+02   2.72635032e+06
    40       2   1.85709224e+04   6.26787586e+00
    40       3   8.37027866e-04   6.57882399e-07
    40       4   0.00000000e+00   0.00000000e+00
    41       1   1.00000011e+00   1.00000005e+00
    41       2   2.06115165e-03   3.17460338e-07
    41       3   9.30961088e-11   0.00000000e+00
    42       1   4.95459612e-01   4.97290823e-01
    42       2   1.03259261e-03   1.58441596e-07
    42       3   4.66988670e-11   0.00000000e+00
    43       1   3.22424933e-01   3.27291075e-01
    43       2   6.86900181e-04   1.04663468e-07
    43       3   3.11037049e-11   0.00000000e+00
    44       1   2.32202704e-01   2.40439833e-01
    44       2   5.11849059e-04   7.71906735e-08
    44       3   2.32123514e-11   0.00000000e+00
    45       1   1.74889984e-01   1.86816204e-01
    45       2   4.04954419e-04   6.02210242e-08
    45       3   1.83862260e-11   0.00000000e+00
    46       1   1.33754953e-01   1.49772125e-01
    46       2   3.32013987e-04   4.85019781e-08
    46       3   1.51034730e-11   0.00000000e+00
    47       1   1.01527218e-01   1.22165479e-01
    47       2   2.78324545e-04   3.97596647e-08
    47       3   1.26783560e-11   0.00000000e+00
    48       1   7.44547570e-02   1.00418233e-01
    48       2   2.36480998e-04   3.28744810e-08
    48       3   1.07973632e-11   0.00000000e+00
    49       1   5.03061182e-02   8.25356704e-02
    49       2   2.02302158e-04   2.72084457e-08
    49       3   9.25588457e-12   0.00000000e+00
    50       1   2.75469446e-02   6.73139198e-02
    50       2   1.73190117e-04   2.23804297e-08
    50       3   7.94578324e-12   0.00000000e+00
    51       1   4.92674604e-03   5.39795658e-02
    51       2   1.47366865e-04   1.81501796e-08
    51       3   6.78797373e-12   0.00000000e+00
    52       1   1.87943934e-02   4.20092506e-02
    52       2   1.23462372e-04   1.43512404e-08
    52       3   5.71838946e-12   0.00000000e+00
    53       1   4.51159472e-02   3.10323046e-02
    53       2   1.00237008e-04   1.08615367e-08
    53       3   4.67912945e-12   0.00000000e+00
    54       1   7.61986356e-02   2.07748324e-02
