  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       4       4       1       2       1       0
     2       8       4       1       2       3       0
     3      12       4       1       2       3       0
     4      16       4       1       2       3       0
     5      20       4       1       2       3       0
     6      24       4       1       2       3       0
     7      28       4       1       2       3       0
     8      32       4       1       2       3       0
     9      36       4       1       2       3       0
    10      40       4       1       2       3       0
    11      44       4       1       2       3       0
    12      48       4       1       2       3       0
    13      52       4       1       2       3       0
    14      56       4       1       2       3       0
    15      60       4       1       2       3       0
    16      64       4       1       2       3       0
    17      68       4       1       2       3       0
    18      72       4       1       2       3       0
    19      76       4       1       2       3       0
    20      80       4       1       2       3       0
    21      84       4       1       2       3       0
    22      88       4       1       2       3       0
    23      92       4       1       2       3       0
    24      96       4       1       2       3       0
    25     101       5       1       2       4       0
    26     105       4       1       2       3       0
    27     109       4       1       2       3       0
    28     113       4       1       2       3       0
    29     117       4       1       2       3       0
    30     121       4       1       2       3       0
    31     125       4       1       2       3       0
    32     129       4       1       2       3       0
    33     133       4       1       2       3       0
    34     137       4       1       2       3       0
    35     141       4       1       2       3       0
    36     145       4       1       2       3       0
    37     149       4       1       2       3       0
    38     153       4       1       2       3       0
    39     157       4       1       2       3       0
    40     161       4       1       2       3       0
    41     165       4       1       2       3       0
    42     169       4       1       2       3       0
    43     173       4       1       2       3       0
    44     177       4       1       2       3       0
    45     181       4       1       2       3       0
    46     185       4       1       2       3       0
    47     189       4       1       2       3       0
    48     193       4       1       2       3       0
    49     197       4       1       2       3       0
    50     202       5       1       2       4       0
