  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
    43       2   6.09518539e-05   3.26144164e-03
    44       1   3.10154048e-01   2.98326463e-02
    44       2   1.37298051e-04   5.70323668e-03
    44       3   4.04369952e-05   8.02039262e-04
    45       1   4.47164833e-01   2.94438515e-02
    45       2   6.87279360e-05   2.89869115e-03
    46       1   6.47091344e-01   3.19143319e-02
    46       2   7.74132822e-05   1.18758984e-03
    47       1   8.77671879e-01   2.46885303e-02
    47       2   4.79595093e-04   4.95312349e-03
    48       1   9.64558652e-01   1.85812961e-02
    48       2   3.19683087e-04   3.36004476e-03
    49       1   8.84184491e-01   1.81639934e-02
    49       2   9.87806396e-04   5.49680382e-03
    49       3   4.41875504e-04   2.23212594e-03
    50       1   9.67115751e-01   1.15062235e-02
    50       2   8.20432840e-04   2.73347019e-03
    51       1   2.29726648e+00   6.47638561e-03
    51       2   1.13406301e-03   1.38374280e-03
    52       1   8.36921180e-01   9.70329944e-03
    52       2   1.12701232e-03   4.68308989e-03
    53       1   5.70123325e-01   9.96651575e-03
    53       2   8.08801282e-04   7.15780002e-03
    53       3   3.73959051e-04   3.09689661e-03
    54       1   4.95417477e-01   2.00092034e-02
    54       2   8.06613020e-05   1.03989641e-03
    55       1   3.99585919e-01   2.52124870e-02
    55       2   2.41687412e-04   5.03380985e-03
    55       3   4.45523332e-05   9.33988863e-04
    56       1   3.21249798e-01   2.21910092e-02
    56       2   5.79896077e-05   2.27098131e-03
    57       1   2.73966272e-01   2.34774717e-02
    57       2   7.20283184e-05   3.21563610e-03
    58       1   2.50849048e-01   3.33597661e-02
    58       2   3.57816692e-05   1.98615465e-03
    59       1   2.17777552e-01   3.63522709e-02
    59       2   9.05497852e-06   1.29283283e-03
    60       1   1.88242835e-01   3.70843815e-02
    60       2   2.51746026e-05   3.02777679e-03
    61       1   1.70080517e-01   4.30059274e-02
    61       2   8.65983498e-06   3.20098025e-03
    62       1   1.44412395e-01   5.02541504e-02
    62       2   3.98940976e-05   4.78392506e-03
    63       1   1.22518991e-01   4.54606237e-02
    63       2   3.58908110e-05   4.76553666e-03
    64       1   1.09189065e-01   4.28710422e-02
    64       2   1.15041911e-05   2.47812560e-03
    65       1   1.01760685e-01   4.62862887e-02
    65       2   1.45064090e-05   3.24256914e-03
    66       1   8.88660802e-02   4.40420442e-02
    66       2   2.81255367e-05   5.28570656e-03
    66       3   1.11252393e-05   2.36744077e-03
    67       1   7.99642697e-02   3.67023113e-02
    67       2   3.29235914e-05   7.15607456e-03
    67       3   1.24209927e-05   1.94022457e-03
    68       1   7.51769721e-02   3.80039818e-02
    68       2   8.26497221e-06   3.10749971e-03
    69       1   6.95525055e-02   4.23404867e-02
    69       2   1.69740549e-05   6.18652168e-03
    69       3   1.95864607e-05   6.75635413e-03
    69       4   1.33553687e-05   5.57417909e-03
    69       5   9.88144746e-06   4.73730370e-03
    70       1   5.68168282e-02   3.73137406e-02
    70       2   1.87301074e-05   4.78514799e-03
    71       1   4.66072985e-02   3.18414517e-02
    71       2   6.51363374e-06   1.26873914e-03
    72       1   3.99108647e-02   3.25601160e-02
    72       2   1.11449821e-05   2.82587481e-03
    73       1   3.15908247e-02   2.89432623e-02
    73       2   1.00786724e-05   2.53642946e-03
    74       1   2.51744187e-02   1.66339939e-02
    74       2   9.62885540e-06   3.63346438e-03
    75       1   1.81830498e-02   1.27204626e-02
    75       2   3.91987135e-06   2.14972692e-03
    76       1   1.46914379e-02   1.11134947e-02
    76       2   1.66329411e-05   4.72000716e-03
    77       1   9.29349657e-03   7.90522078e-03
    77       2   3.12347428e-06   1.61392956e-03
    78       1   1.08656426e-02   1.06661330e-02
    78       2   1.03872343e-05   3.85721340e-03
    79       1   1.20182531e-02   5.69516198e-03
    79       2   9.98463261e-06   2.77429014e-03
    80       1   1.39660661e-02   6.63769879e-03
    80       2   8.67748276e-06   2.22832722e-03
    81       1   2.49457383e-02   1.42097810e-02
    81       2   5.69696820e-06   1.30633887e-03
    82       1   3.23216764e-02   2.08259959e-02
    82       2   4.81734755e-06   1.35860748e-03
    83       1   3.91041642e-02   2.14541612e-02
    83       2   9.42830593e-06   1.30832753e-03
    84       1   4.57991719e-02   2.80655497e-02
    84       2   9.99364824e-06   1.62666810e-03
    85       1   5.29484456e-02   3.71050484e-02
    85       2   3.28525284e-06   9.74718966e-04
    86       1   5.61524588e-02   3.59718293e-02
    86       2   3.37403844e-06   1.34354723e-03
    87       1   6.38132307e-02   3.40991132e-02
    87       2   7.72975713e-06   1.85004619e-03
    88       1   7.45236086e-02   3.89542896e-02
    88       2   1.53216162e-05   2.66290258e-03
    89       1   8.39345699e-02   4.11000797e-02
    89       2   8.19648944e-06   1.37285787e-03
    90       1   9.36952998e-02   3.69374800e-02
    90       2   2.01015143e-05   3.61356767e-03
    91       1   1.10491865e-01   3.88366225e-02
    91       2   7.01017956e-06   2.76711156e-03
    92       1   1.29752871e-01   4.55135239e-02
    92       2   3.81716139e-05   5.85816293e-03
    92       3   3.75025008e-05   5.93726343e-03
    92       4   3.72375742e-05   5.80047521e-03
    92       5   3.28864629e-05   4.66291467e-03
    93       1   1.36135146e-01   4.54799655e-02
    93       2   3.06854338e-05   2.93691225e-03
    94       1   1.43767652e-01   4.00779907e-02
    94       2   2.11842630e-05   3.61494056e-03
    95       1   1.58897126e-01   4.16547125e-02
    95       2   1.31675334e-05   1.58771097e-03
    96       1   1.73696041e-01   4.04230593e-02
    96       2   1.27061634e-05   1.01186337e-03
    97       1   1.80315459e-01   3.14830025e-02
    97       2   4.19274690e-05   2.60635641e-03
    98       1   1.96671708e-01   2.53302761e-02
    98       2   7.39278153e-05   5.10557126e-03
    98       3   1.67582272e-05   9.91815462e-04
    99       1   2.30793056e-01   2.67310863e-02
    99       2   5.91358762e-06   9.22588440e-04
   100       1   2.54653280e-01   2.40856762e-02
   100       2   4.69855395e-05   2.01356472e-03
   101       1   2.62412971e-01   1.88450590e-02
   101       2   1.74025834e-05   1.61868746e-03
   102       1   2.65205801e-01   1.67068073e-02
   102       2   6.79013512e-05   1.27813222e-03
   103       1   1.88446554e-01   1.69951192e-02
   103       2   1.38553224e-04   2.76048717e-03
   104       1   1.08170402e-01   7.46180043e-03
   104       2   2.24937631e-04   5.13670907e-03
   104       3   9.37530464e-05   1.33322755e-03
   105       1   1.66556059e-01   5.03217033e-03
   105       2   1.00052810e-04   1.76636982e-03
   106       1   1.72527569e-01   7.44624583e-03
   106       2   2.77191399e-05   8.15224356e-04
   107       1   1.69847510e-01   9.99230014e-03
   107       2   7.74229202e-05   3.76255461e-03
   108       1   1.83945891e-01   1.93394050e-02
   108       2   5.01013550e-05   1.96006610e-03
   109       1   1.75809732e-01   2.15487868e-02
   109       2   8.58280970e-05   2.84312477e-03
   110       1   1.77759528e-01   1.91041651e-02
   110       2   5.63605943e-05   3.03644854e-03
   111       1   1.73930736e-01   2.41980489e-02
   111       2   3.55198364e-05   2.59001969e-03
   112       1   1.66667332e-01   2.89256217e-02
   112       2   1.69816508e-05   1.33693221e-03
   113       1   1.53605920e-01   2.86262919e-02
   113       2   3.67078833e-05   2.86206312e-03
   114       1   1.48133443e-01   3.06229349e-02
   114       2   1.40736532e-05   2.06237641e-03
   115       1   1.40074426e-01   3.90562220e-02
   115       2   1.76359368e-05   2.39338281e-03
   116       1   1.20929458e-01   4.16335294e-02
   116       2   1.64552709e-05   2.93387783e-03
   117       1   1.03771529e-01   3.85142399e-02
   117       2   1.84236100e-05   2.81355660e-03
   118       1   9.53630443e-02   3.96210699e-02
   118       2   1.02275314e-05   1.78261225e-03
   119       1   8.69713648e-02   4.23543844e-02
   119       2   2.18951250e-05   3.94081950e-03
   120       1   7.68096564e-02   3.60946211e-02
   120       2   1.73843660e-05   4.20103439e-03
   121       1   6.94928267e-02   3.15176793e-02
   121       2   1.12659686e-05   2.10308243e-03
   122       1   6.69371344e-02   3.38648930e-02
   122       2   6.47049847e-06   2.21577636e-03
   123       1   6.03062217e-02   3.46245698e-02
   123       2   4.57932345e-06   1.92243801e-03
   124       1   5.22099743e-02   2.95957297e-02
   124       2   5.85885731e-06   1.63563784e-03
   125       1   4.47024214e-02   2.82307801e-02
   125       2   9.63883181e-06   2.50826156e-03
   126       1   3.72243447e-02   2.99043237e-02
   126       2   9.41615667e-06   2.50450068e-03
   127       1   2.77188836e-02   2.29618207e-02
   127       2   1.24903112e-05   4.16282613e-03
   128       1   2.26684903e-02   1.51064276e-02
   128       2   9.61671956e-06   3.46379790e-03
   129       1   1.79301710e-02   1.32050138e-02
   129       2   1.07197328e-05   3.47339812e-03
   130       1   1.10126715e-02   9.92445077e-03
   130       2   1.21986524e-05   3.93387942e-03
   131       1   6.42910943e-03   6.05666990e-03
   131       2   3.72543171e-06   1.84769754e-03
   132       1   8.30940649e-03   6.87721465e-03
   132       2   4.46797263e-06   1.32547466e-03
   133       1   1.33885696e-02   5.38978376e-03
   133       2   1.14785611e-05   3.10130064e-03
   134       1   1.45581593e-02   8.21354023e-03
   134       2   9.22005981e-06   3.02075498e-03
   135       1   2.14108597e-02   1.41584893e-02
   135       2   4.39485300e-06   1.62404903e-03
   136       1   2.80592757e-02   1.51772622e-02
   136       2   6.30081929e-06   1.50506283e-03
   137       1   3.62176248e-02   1.76331841e-02
   137       2   8.98251798e-06   3.16176261e-03
   138       1   4.55864137e-02   2.55739042e-02
   138       2   2.06211229e-05   4.95002754e-03
