  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       5       5       1       2       2       0
     2      10       5       1       2       4       0
     3      15       5       1       2       4       0
     4      20       5       1       2       4       0
     5      26       6       1       2       5       0
     6      31       5       1       2       4       0
     7      36       5       1       2       4       0
     8      41       5       1       2       4       0
     9      46       5       1       2       4       0
    10      52       6       1       2       5       0
    11      57       5       1       2       4       0
    12      62       5       1       2       4       0
    13      67       5       1       2       4       0
    14      72       5       1       2       4       0
    15      78       6       1       2       5       0
    16      83       5       1       2       4       0
    17      88       5       1       2       4       0
    18      93       5       1       2       4       0
    19      98       5       1       2       4       0
    20     104       6       1       2       5       0
