  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   1.65382377e-01   7.10893786e-01
     1       3   9.18167196e-01   5.57184176e-01
     1       4   4.57127628e-01   7.59474927e-01
     1       5   2.44960335e-01   5.04524471e-01
     1       6   1.37941710e-01   3.75414798e-01
     1       7   2.09450384e-02   3.56923800e-01
     1       8   9.66668233e-03   3.16519047e-01
     1       9   1.01632366e-02   2.69945635e-01
     1      10   1.41666702e-01   1.49384499e-01
     1      11   1.56759524e-01   3.10672556e-01
     1      12   1.66452617e-01   6.57533014e-02
     1      13   8.60554995e-02   5.06283527e-02
     1      14   2.69056664e-01   1.31716855e-02
     1      15   1.97938957e-01   1.35541419e-02
     1      16   9.13664156e-02   4.71182645e-03
     1      17   2.23344203e-02   1.60626946e-04
     1      18   1.26591903e-02   2.71838788e-04
     1      19   8.94052062e-04   4.36094227e-05
     2       1   3.68662035e-01   9.05949005e-02
     2       2   1.93069732e+00   1.68228935e-01
     2       3   1.83685230e+00   1.65139704e-01
     2       4   1.81800482e+00   5.11893231e-02
     2       5   1.85975562e+00   6.41554834e-02
     2       6   2.06460130e+00   1.36455897e-01
     2       7   2.06010402e+00   1.20165797e-01
     2       8   1.04265348e+00   1.25246400e-01
     2       9   9.77968585e-01   1.13256419e-01
     2      10   1.64389510e+00   7.13534328e-02
     2      11   5.60719366e-01   8.90680004e-02
     2      12   3.69901027e-01   1.00342401e-01
     2      13   1.61721252e-01   1.13499466e-01
     2      14   8.24369788e-02   1.93538904e-01
     2      15   2.11012003e-01   3.04748833e-02
     2      16   1.08328710e-01   9.40215482e-03
     2      17   4.89183014e-03   1.15578313e-02
     2      18   9.41696463e-03   8.38865384e-03
     2      19   3.51230088e-03   2.94159603e-03
