  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   2.17292842e+00   7.66233780e-01
     1       3   1.13302964e+00   4.29257256e-01
     1       4   3.72256421e-01   4.07378551e-01
     1       5   1.42663924e-01   2.82854148e-01
     1       6   1.44482401e-01   6.87877559e-01
     1       7   1.26528732e-01   6.24105486e-01
     1       8   5.70548939e-02   1.58698205e-01
     1       9   9.69770825e-02   2.89848856e-02
     1      10   6.79183818e-03   8.97685895e-03
     1      11   1.05245186e-02   1.29310017e-02
     1      12   1.74642111e-03   5.50608001e-02
     1      13   1.67744363e-03   1.12412475e-02
     1      14   6.18164455e-04   3.33236447e-03
     2       1   2.75063577e+00   1.35923536e-01
     2       2   5.33396022e+00   3.44088926e-01
     2       3   3.54802449e+00   6.23880120e-01
     2       4   1.92886759e-01   3.54423253e+00
     2       5   2.79179597e-02   6.93115762e-01
     2       6   3.78143120e-02   2.82327478e-01
     2       7   5.68653423e-02   6.23184779e-02
     2       8   4.63456935e-02   4.81430340e-02
     2       9   1.14167320e-02   4.79513665e-03
     2      10   6.24635637e-03   3.66839062e-03
     2      11   3.19410174e-03   9.47912933e-04
     3       1   2.76159139e-01   3.33447026e-01
     3       2   9.68400084e-03   2.41708097e-01
     3       3   5.34418402e-02   5.28166644e-02
     3       4   4.17866987e-02   5.33349267e-02
     3       5   1.46215778e-02   1.49066964e-02
     3       6   5.72607623e-03   1.11763906e-02
     3       7   5.56450014e-03   5.08721913e-03
     3       8   1.43647454e-03   1.92397636e-03
     4       1   9.67951156e-02   1.02302715e-01
     4       2   5.97936235e-01   6.16089205e-01
     4       3   4.99545175e-02   2.18339829e-01
     4       4   6.32738084e-02   1.00417908e-01
     4       5   2.02641951e-02   3.64199358e-02
     4       6   2.04016684e-03   2.20337000e-03
