  TimeWindow  Iteration  ResRel(Mass-Left-Mesh:Displacement-Left)  ResRel(Mass-Left-Mesh:Displacement-Right)
     1       1   1.00000000e+00   1.00000000e+00
     1       2   9.91656848e-08   6.73226049e-09
     1       3   1.11129384e-16   1.26591519e-15
     2       1   2.89934114e-03   7.49758890e-01
     2       2   4.96780252e-07   1.16596241e-08
     2       3   1.33741837e-15   0.00000000e+00
     3       1   4.84548293e-03   5.54840637e-01
     3       2   8.96514788e-07   9.61082273e-09
     3       3   2.57580373e-15   0.00000000e+00
     4       1   6.80830089e-03   4.36232170e-01
     4       2   1.29916992e-06   7.88948001e-09
     4       3   3.60812134e-15   0.00000000e+00
     5       1   8.79326390e-03   3.58143441e-01
     5       2   1.70557610e-06   6.63054996e-09
     5       3   4.77729301e-15   0.00000000e+00
     6       1   1.08061081e-02   3.03090433e-01
     6       2   2.11660332e-06   5.69486766e-09
     6       3   6.09362040e-15   0.00000000e+00
     7       1   1.28529145e-02   2.62219683e-01
     7       2   2.53317169e-06   4.97769076e-09
     7       3   7.10353695e-15   0.00000000e+00
     8       1   1.49401969e-02   2.30657993e-01
     8       2   2.95626356e-06   4.41186798e-09
     8       3   8.39155271e-15   0.00000000e+00
     9       1   1.70750015e-02   2.05521557e-01
     9       2   3.38693721e-06   3.95422707e-09
     9       3   9.49647826e-15   0.00000000e+00
    10       1   1.92650232e-02   1.85000595e-01
    10       2   3.82634283e-06   3.57623545e-09
    10       3   1.06595826e-14   0.00000000e+00
    11       1   2.15187422e-02   1.67903944e-01
    11       2   4.27574132e-06   3.25841672e-09
    11       3   1.22656765e-14   0.00000000e+00
    12       1   2.38455869e-02   1.53416320e-01
    12       2   4.73652661e-06   2.98711508e-09
    12       3   1.33269624e-14   0.00000000e+00
    13       1   2.62561296e-02   1.40961213e-01
    13       2   5.21025251e-06   2.75244928e-09
    13       3   1.47288676e-14   0.00000000e+00
    14       1   2.87623253e-02   1.30119568e-01
    14       2   5.69866542e-06   2.54713897e-09
    14       3   1.62347333e-14   0.00000000e+00
    15       1   3.13778049e-02   1.20579513e-01
    15       2   6.20374444e-06   2.36568356e-09
    15       3   1.77207754e-14   0.00000000e+00
    16       1   3.41182394e-02   1.12104159e-01
    16       2   6.72775111e-06   2.20387138e-09
    16       3   1.91910137e-14   0.00000000e+00
    17       1   3.70017976e-02   1.04510331e-01
    17       2   7.27329179e-06   2.05840894e-09
    17       3   2.06491278e-14   0.00000000e+00
    18       1   4.00497256e-02   9.76541401e-02
    18       2   7.84339671e-06   1.92669568e-09
    18       3   2.24096883e-14   0.00000000e+00
    19       1   4.32870907e-02   9.14209602e-02
    19       2   8.44162112e-06   1.80663228e-09
    19       3   2.41913307e-14   0.00000000e+00
    20       1   4.67437462e-02   8.57183194e-02
    20       2   9.07217649e-06   1.69652364e-09
    20       3   2.58317312e-14   0.00000000e+00
    21       1   5.04555991e-02   8.04707637e-02
    21       2   9.74010268e-06   1.59502115e-09
    21       3   2.76703781e-14   0.00000000e+00
    22       1   5.44662984e-02   7.56160820e-02
    22       2   1.04514970e-05   1.50091531e-09
    22       3   2.97418958e-14   0.00000000e+00
    23       1   5.88295177e-02   7.11024897e-02
    23       2   1.12138239e-05   1.41327240e-09
    23       3   3.22884907e-14   0.00000000e+00
    24       1   6.36120916e-02   6.68864985e-02
    24       2   1.20363396e-05   1.33126939e-09
    24       3   3.43420158e-14   0.00000000e+00
    25       1   6.88984042e-02   6.29312838e-02
    25       2   1.29306870e-05   1.25423805e-09
    25       3   3.70475369e-14   0.00000000e+00
    26       1   7.47966574e-02   5.92054201e-02
    26       2   1.39117436e-05   1.18155542e-09
    26       3   3.99397825e-14   0.00000000e+00
    27       1   8.14480283e-02   5.56818901e-02
    27       2   1.49988611e-05   1.11274479e-09
    27       3   4.27971010e-14   0.00000000e+00
    28       1   8.90404044e-02   5.23372995e-02
    28       2   1.62177232e-05   1.04734611e-09
    28       3   4.64636101e-14   0.00000000e+00
    29       1   9.78296063e-02   4.91512512e-02
    29       2   1.76032156e-05   9.84970562e-10
    29       3   5.05359305e-14   0.00000000e+00
    30       1   1.08173342e-01   4.61058389e-02
